"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Future perfect continuous: emphasis on duration","By the time she retires, she _____ at that hospital for 35 years.","will have been working","will have been worked","will have being working","will been working","The future perfect continuous is formed with 'will have been + -ing'. The distractors all mangle this auxiliary chain ('been worked', 'have being', missing 'have')."
"Future perfect continuous form","By midnight, they _____ for twelve hours straight.","will have been painting","will have been paint","will been painting","will have be painting","The correct form is 'will have been + present participle'. '*will have been paint' uses a bare infinitive, '*will been' drops 'have', and '*will have be painting' uses 'be' instead of 'been'."
"Future perfect: completed quantity by a future point","By the end of the tour, the band _____ over 80 concerts.","will have played","will have play","will has played","will been played","The future perfect is 'will have + past participle'. '*will have play' uses a bare infinitive, '*will has' wrongly inflects the auxiliary, and '*will been played' drops 'have' and turns the verb passive."
"Narrative past perfect: form","The streets were wet. It _____ heavily during the night.","had rained","had rain","had been rain","was rained","The past perfect is 'had + past participle'. '*had rain' lacks the participle, '*had been rain' is malformed, and '*was rained' turns an intransitive verb passive, which is impossible."
"Past perfect continuous: form","His eyes were red because he _____ at the screen all day.","had been staring","had been stare","had being staring","was been staring","The past perfect continuous is 'had been + -ing'. '*had been stare' drops the -ing, '*had being' uses the wrong form of 'be', and '*was been' is ungrammatical."
"Present perfect continuous: form","I _____ this book for three weeks and I'm only halfway through.","have been reading","have been read","has been reading","am been reading","Present perfect continuous is 'have/has been + -ing'. '*have been read' is passive and wrong with an active object, '*has been' disagrees with 'I', and '*am been' is ungrammatical."
"Past perfect continuous: interrupted duration","They _____ for an hour when the fire alarm went off.","had been waiting","had been wait","had being waited","were been waiting","The past perfect continuous is 'had been + -ing'. '*had been wait' omits the -ing, '*had being waited' uses the wrong participle form, and '*were been' is ungrammatical."
"Future perfect vs future continuous: meaning","This time next year, I _____ my degree, so I'll be free to travel.","will have completed","will have completing","will has completed","will be completed","The sentence requires a completed action before a future point — future perfect 'will have + past participle'. '*will have completing', '*will has', and '*will be completed' (passive, no agent-friendly reading here) are all grammatically wrong forms."
"Tense in time clauses: no future after 'as soon as'","I'll call you as soon as I _____ at the hotel.","arrive","will arrive","will be arrive","am arrived","After 'as soon as', 'when', 'before', 'after', and 'until', English uses the present, not 'will'. '*will arrive', '*will be arrive', and '*am arrived' are all ungrammatical in a time clause."
"Future continuous: form","Don't call at 8 — we _____ dinner then.","will be having","will be have","will have been","will being have","Future continuous is 'will be + -ing'. '*will be have' drops the -ing, '*will have been' is future perfect (no main verb here), and '*will being have' is ungrammatical."
"Future perfect passive: form","By Friday, the report _____ to every department.","will have been sent","will have sent been","will be sent have","will been sent","Future perfect passive is 'will have been + past participle'. The other three scramble the auxiliary order in ways that are ungrammatical in any context."
"Past perfect: sequencing","When I got to the station, the train _____.","had already left","had already leave","had already leaving","was already leaved","The earlier action takes past perfect: 'had + past participle'. '*had already leave' uses a bare infinitive, '*had already leaving' uses a present participle where a past participle is required, and '*leaved' is not a word (the past participle of 'leave' is 'left')."
"Nevertheless: which sentence uses it correctly?","Which sentence uses 'nevertheless' in a grammatically well-formed way?","The results were disappointing; nevertheless, the team decided to continue.","The results were disappointing nevertheless the team decided to continue.","The results were disappointing, nevertheless team decided to continue.","The results were disappointing; nevertheless the team to continue decided.","'Nevertheless' is a sentence adverb that needs proper punctuation (semicolon or new sentence) and a well-formed clause after it. The other options have run-on punctuation, a missing article, or scrambled word order."
"Discourse marker at clause-final position","Which sentence places 'nonetheless' in a grammatically acceptable position?","The evidence was weak. She pressed ahead with the claim nonetheless.","The evidence was weak. She nonetheless pressed the claim with ahead.","The evidence was weak. She ahead with the claim pressed nonetheless.","The evidence was weak. She the claim nonetheless pressed ahead with.","'Nonetheless' can appear at the end of a clause. The other three contain word-order errors that are ungrammatical in any context."
"Moreover: form and placement","Which sentence is grammatically well-formed?","The restaurant was the best in town. Moreover, it was the cheapest.","The restaurant was the best in town. Moreover it the cheapest was.","The restaurant the best in town was. Moreover, was it the cheapest.","The restaurant was best town in the. Moreover, cheapest was it the.","Only the first sentence has correct English word order and article placement. The other three contain structural errors in every context."
"In contrast: linking parallel data","Which sentence is grammatically well-formed?","Male participants improved by 40%. In contrast, female participants showed no change.","Male participants improved by 40%. In contrast, female participants no change showed.","Male participants by 40% improved. In contrast, showed female participants no change.","Male participants improved 40% by. In contrast, no change female participants showed.","Only the first sentence has standard English word order. The other three contain verb-object inversions and misplaced prepositions that are ungrammatical in any context."
