"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Ακαδημαϊκό: υπόθεση","Μια ___ είναι μια προκαταρκτική εξήγηση που πρέπει να ελεγχθεί με έρευνα.","υπόθεση","διακοπή","πλειοψηφία","αποθήκη","Η υπόθεση είναι μια αρχική εκτίμηση που ο ερευνητής διατυπώνει πριν συλλέξει στοιχεία. Η διακοπή, η πλειοψηφία και η αποθήκη δεν έχουν καμία σχέση με ερευνητικές εξηγήσεις."
"Ακαδημαϊκό: μεθοδολογία","Η ___ της έρευνας περιγράφει πώς συλλέχθηκαν και αναλύθηκαν τα δεδομένα.","μεθοδολογία","αρτοποιία","κυκλοφορία","ταχυδρομείο","Η μεθοδολογία είναι το σύνολο των μεθόδων που χρησιμοποιεί ο ερευνητής. Αρτοποιία, κυκλοφορία και ταχυδρομείο ανήκουν σε τελείως διαφορετικά πεδία."
"Ακαδημαϊκό: συμπέρασμα","Στο τέλος της έρευνας, ο επιστήμονας κατέληξε σε ένα σαφές ___.","συμπέρασμα","γηπεδάρχης","σαμπουάν","ορεκτικό","Το συμπέρασμα είναι η λογική κατάληξη μιας έρευνας. Τα άλλα ουσιαστικά αφορούν τελείως άσχετους τομείς."
"Ακαδημαϊκό: ανάλυση","Η ___ των δεδομένων έδειξε σημαντικές διαφορές μεταξύ των δύο ομάδων.","ανάλυση","παπούτσι","μαξιλάρι","τηλεκοντρόλ","Η ανάλυση είναι η συστηματική εξέταση δεδομένων για να εξαχθούν συμπεράσματα. Τα άλλα ουσιαστικά δεν σχετίζονται με ακαδημαϊκές διαδικασίες."
"Ακαδημαϊκό: εμπειρικός","Τα ___ στοιχεία βασίζονται στην παρατήρηση και το πείραμα, όχι μόνο στη θεωρία.","εμπειρικά","σοκολατένια","τυχαιότητα","μαγειρεμένα","Τα εμπειρικά στοιχεία προέρχονται από άμεση παρατήρηση ή πείραμα. Σοκολατένια και μαγειρεμένα δεν περιγράφουν επιστημονικά δεδομένα. Τυχαιότητα είναι ουσιαστικό και δεν μπορεί να σταθεί ως επίθετο στη θέση αυτή."
"Ακαδημαϊκό: βιβλιογραφία","Στο τέλος του άρθρου παρατίθεται η πλήρης ___ με όλες τις πηγές.","βιβλιογραφία","οδοντογλυφίδα","μπαλκόνι","χαρτοπετσέτα","Η βιβλιογραφία είναι η λίστα των πηγών που χρησιμοποιήθηκαν σε μια εργασία. Τα άλλα ουσιαστικά ανήκουν σε άσχετα πεδία."
"Ακαδημαϊκό: ευρήματα","Τα ___ της έρευνας δημοσιεύτηκαν σε διεθνές επιστημονικό περιοδικό.","ευρήματα","μαστίχες","βεντάλιες","παντόφλες","Τα ευρήματα είναι τα αποτελέσματα και οι ανακαλύψεις μιας έρευνας. Τα άλλα ουσιαστικά δεν ανήκουν σε ακαδημαϊκό λεξιλόγιο."
"Ακαδημαϊκό: αναφορά","Πρέπει να συμπεριλάβεις ___ κάθε φορά που χρησιμοποιείς τη δουλειά άλλου.","αναφορά","ανεμιστήρα","παγωτό","ασανσέρ","Η αναφορά (ή παραπομπή) είναι η τυπική αναφορά σε μια πηγή. Τα άλλα ουσιαστικά ανήκουν σε τελείως άσχετους τομείς."
"Ακαδημαϊκό: αξιόπιστος","Για μια επιστημονική εργασία, οι πηγές πρέπει να είναι ___.","αξιόπιστες","ψητές","κυρτές","χαρτένιες","Αξιόπιστες σημαίνει ότι οι πηγές είναι έγκυρες και επαληθεύσιμες. Ψητές, κυρτές και χαρτένιες δεν περιγράφουν ποιότητα πηγών."
"Ακαδημαϊκό: παράδειγμα","Η ανακάλυψη προκάλεσε αλλαγή ___ στον τομέα της βιολογίας.","παραδείγματος","τιμολογίου","σκαλοπατιού","κουζινιού","Το παράδειγμα (paradigm) είναι το βασικό θεωρητικό πλαίσιο ενός επιστημονικού κλάδου. Τα άλλα ουσιαστικά ανήκουν σε τελείως άσχετους τομείς."
