"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Present simple: -es spelling","'He ___ his homework every night.' Which is correct?","does","dos","do","is doing","Verbs ending in -o add -es with he/she/it: 'He does.' Not 'dos' — that is not a word."
"Present simple: -ies spelling","'She ___ very hard at school.' Which is correct?","studies","studys","study","is study","When a verb ends in consonant + y, change y to -ies: 'study' becomes 'studies.'"
"Present simple: -ches spelling","'He ___ English to children.' Which is correct?","teaches","teachs","teach","teached","Verbs ending in -ch add -es: 'teach' becomes 'teaches.' Not 'teachs.'"
"Present simple: stative verb","'I ___ this is a good idea.' Which is correct?","think","thinking","thinked","thinks","With 'I', use the base form: 'I think.' 'Thinks' is for he/she/it; 'thinked' is not a word; 'thinking' alone has no auxiliary."
"Present simple: stative 'know'","'She ___ the answer.' Which is correct?","knows","is knowing","knowing","know","'Know' is a state verb. We say 'She knows,' never 'She is knowing.'"
"Present simple: stative 'want'","'They ___ a new car.' Which is correct?","want","wants","is want","wanten","'They' takes the base form: 'They want.' 'Wants' is for he/she/it; the others are not real forms."
"Present simple: adverb placement","'She ___ late for work.' Which is correct?","is never","are never","be never","is nevers","Adverbs like 'never' go after 'be': 'She is never late.' With 'she' use 'is', not 'are' or bare 'be'."
"Present simple: frequency adverb","'He ___ eats breakfast.' Which is correct?","always","is always","always is","does always","With normal verbs, the adverb goes before the verb: 'He always eats.' Not after."
"Present continuous: spelling -ing","'She is ___ in the pool.' Which is correct?","swimming","swiming","swimmming","swimeing","Double the final consonant: 'swim' becomes 'swimming.' One m is wrong."
"Present continuous: -ie to -ying","'The baby is ___ on the bed.' Which is correct?","lying","lieing","laiing","leing","Verbs ending in -ie change to -ying: 'lie' becomes 'lying.' Not 'lieing.'"
"Present continuous: drop -e","'He is ___ dinner right now.' Which is correct?","making","makeing","makking","mading","Drop the final -e before adding -ing: 'make' becomes 'making.' Not 'makeing.'"
"Present continuous: state verb 'like'","Which sentence is correct?","I like chocolate.","I likes chocolate.","I liking chocolate.","I do liking chocolate.","With 'I' use the base form: 'I like.' 'Likes' is for he/she/it; the others are not grammatical forms."
"Present continuous: state verb 'belong'","Which sentence is correct?","This book belongs to me.","This book is belonging to me.","This book belonging to me.","This book belong to me.","'Belong' is a state verb. Use present simple: 'belongs.' Never 'is belonging.'"
"Present continuous: state verb 'need'","Which sentence is correct?","We need help.","We needs help.","We needing help.","We does need help.","'We' takes the base form: 'We need.' 'Needs' is for he/she/it; 'needing' without 'are' is incomplete; 'does need' requires he/she/it."
"be: contraction 'it's'","'___ cold today.' Which is correct?","It's","Its","Its'","It's's","'It's' = 'It is.' 'Its' (no apostrophe) means 'belonging to it' and cannot stand as a subject+verb here. The others are not real forms."
"be: contraction 'they're'","'___ from Brazil.' Which is correct?","They're","Their","There","Theyre","'They're' = 'They are.' 'Their' = belonging to them. 'There' = a place. Here: 'They are from Brazil.'"
"be: question formation","'___ your parents at home?' Which is correct?","Are","Do","Does","Is","With 'be,' put it before the subject for questions: 'Are your parents...?' Not 'Do your parents...?'"
"be vs do: question","'___ she a doctor?' Which is correct?","Is","Does","Do","Are","With 'be,' questions use 'Is she...?' 'Does/Do' is for action verbs; 'Are' does not agree with 'she'."
"have: auxiliary vs main","'She ___ a cat.' Which is correct?","has","have","haves","hases","With he/she/it use 'has': 'She has a cat.' 'Have' is for I/you/we/they; 'haves' and 'hases' are not words."
"do: auxiliary in negative","'He ___ like fish.' Which is correct?","doesn't","don't","isn't","not","Negatives with action verbs use 'doesn't' for he/she/it: 'He doesn't like.' Not 'don't.'"
"do: main verb vs auxiliary","'What does she ___ on Sundays?' Which is correct?","do","does","doing","is","After 'does,' use the base verb: 'What does she do?' Not 'does she does.'"
"Articles: zero article","'She lives in ___ France.' Which is correct?","(no article)","the","a","an","Most country names take no article: 'She lives in France.' 'The/a/an France' is ungrammatical in standard English."
"Articles: uncountable noun","'I need some ___ for the recipe.' Which is correct?","flour","an flour","a flours","an flours","'Flour' after 'some' is uncountable and takes no article. 'An flour' (an + consonant sound), 'a flours' (a + plural), and 'an flours' are all ungrammatical in every context."
"Articles: a vs an","'She is ___ honest person.' Which is correct?","an","a","ans","a'n","Use 'an' before a vowel SOUND. 'Honest' starts with a silent h — the sound is /ɒ/, so use 'an', not 'a'. 'Ans' and 'a'n' are not words."
"Articles: the vs a (specific)","'Please close ___ door.' Which is correct?","the","an","thee","teh","Before a consonant sound use 'the', not 'an'. 'Thee' is archaic and not a form of the article; 'teh' is a misspelling."
"Articles: a vs the (first mention)","'I saw ___ cat in the garden.' Which is correct?","a","an","ae","a'","Before a consonant sound use 'a': 'a cat.' 'An' is for vowel sounds; 'ae' and 'a'' are not words."
"Articles: zero article + meals","'We have ___ lunch at 12.' Which is correct?","(no article)","an","a lunchs","the lunchs","With meal names, no article is used: 'have lunch.' 'An lunch' is ungrammatical ('an' needs a vowel sound), and 'lunchs' is not a valid plural."
"Plurals: irregular 'children'","'The ___ are playing outside.' Which is correct?","children","childs","childrens","childes","The plural of 'child' is 'children.' It is irregular — not 'childs' or 'childrens.'"
"Plurals: irregular 'people'","'Many ___ like coffee.' Which is correct?","people","person","peoplies","peoplen","The plural of 'person' for a general group is 'people': 'many people.' 'Person' is singular (doesn't fit 'many'); 'peoplies' and 'peoplen' are not words."
"Plurals: irregular 'teeth'","'I brush my ___ twice a day.' Which is correct?","teeth","teeths","tooths","toothes","The plural of 'tooth' is 'teeth.' It is an irregular plural — no -s ending."
"Plurals: no-change 'sheep'","'There are five ___ on the farm.' Which is correct?","sheep","sheeps","sheepes","sheepies","'Sheep' is the same in singular and plural. Never add -s: 'five sheep.'"
"Plurals: no-change 'fish'","'I can see three ___ in the water.' Which is correct?","fish","fishs","fishen","fishies","The standard plural of 'fish' is 'fish' (unchanged). 'Fishs', 'fishen', and 'fishies' are not valid English plurals."
"Plurals: -ves rule","'Use two ___ to cut the paper.' Which is correct?","knives","knifes","knifs","knive","Nouns ending in -fe change to -ves: 'knife' becomes 'knives.' Not 'knifes.'"
"Negation: do-support error","'She ___ speak French.' Which is correct?","doesn't","don't","not","no","With he/she/it, negation needs 'doesn't': 'She doesn't speak.' 'Don't' is for I/you/we/they."
"Negation: no double negative","'I ___ anything.' Which is correct?","don't have","don't have no","have not nothing","doesn't have","In English, use one negative: 'I don't have anything.' Not 'don't have no' — that is a double negative."
"Negation: negative of 'be'","'They ___ ready yet.' Which is correct?","aren't","don't","doesn't","isn't","Negate 'be' directly: 'They aren't ready.' Don't use 'do' with 'be.'"
"Negation: negative question","'___ she like coffee?' Which is correct?","Doesn't","Don't","Isn't","Not","Negative questions with action verbs: 'Doesn't she like...?' Use 'doesn't' for he/she/it."
"Negation: 'not any' vs 'no'","'There are ___ chairs in the room.' Which is correct?","no","not","any not","none of","Before a noun: 'There are no chairs.' Or: 'There aren't any chairs.' Not 'not chairs' alone."
"Subject pronouns: who as subject","'___ wants ice cream?' Which is correct?","Who","Who does","Who do","Whom","When 'who' is the subject, don't add 'does': 'Who wants?' Not 'Who does want?'"
"Subject pronouns: it vs there","'___ is raining.' Which is correct?","It","There","The weather","Rain","For weather, use 'it': 'It is raining.' Not 'There is raining.'"
"Subject pronouns: it (time)","'___ is 3 o'clock.' Which is correct?","It","There","They","Is","For telling time, use 'it': 'It is 3 o'clock.' 'There is 3 o'clock' and 'They is 3 o'clock' are ungrammatical, and 'Is is 3 o'clock' is not a sentence."
"Subject pronouns: it (distance)","'___ is far from here.' Which is correct?","It","There","Here","This place is","Use 'it' for distance: 'It is far from here.' Not 'There is far.'"
"there is/are: uncountable","'___ milk in the fridge.' Which is correct?","There is","There are","There has","It is","'Milk' is uncountable — use 'There is': 'There is milk.' Not 'There are milk.'"
"there is/are: plural","'___ many books on the table.' Which is correct?","There are","There is","It is","They are","With plural nouns use 'There are': 'There are many books.' Not 'There is.'"
"there is/are: negative","'___ any sugar left.' Which is correct?","There isn't","There aren't","There doesn't","It isn't","'Sugar' is uncountable — use 'There isn't': 'There isn't any sugar.' Use 'isn't' not 'aren't.'"
"there is/are: question","'___ a bank near here?' Which is correct?","Is there","Are there","Does there","Has there","Questions flip the order: 'Is there a bank?' Not 'Does there' — we don't use 'do' with 'there is.'"
"there vs it: existential","'___ a problem with the car.' Which is correct?","There is","There has","There have","There are being","To say something exists, use 'there is' + singular noun. 'There has', 'there have', and 'there are being' are not valid existential forms."
"Present simple vs continuous","'I ___ to work every day.' Which is correct?","walk","am walking","walking","walks","Habits and routines use present simple: 'I walk to work every day.' Not continuous."
"Present simple vs continuous 2","'Look! She ___ .' Which is correct?","is running","runs","run","running","Actions happening RIGHT NOW use present continuous: 'She is running.' 'Look!' tells us it is now."
"be/do confusion","'___ you like pizza?' Which is correct?","Do","Are","Is","Does","Questions about likes use 'do' (not 'be'): 'Do you like?' 'Are you like?' is wrong."
