"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Αόριστος: εγώ (γράφω)","Χθες εγώ ___ ένα γράμμα.","έγραψα","έγραψε","έγραψες","γράψαμε","Ο αόριστος του 'γράφω' για 'εγώ' είναι 'έγραψα'. Το '-ε' ανήκει στο γ΄ ενικό, το '-ες' στο β΄ ενικό."
"Αόριστος: εσύ (ακούω)","Χθες εσύ ___ μουσική ολη την ώρα.","άκουσες","άκουσα","άκουσε","ακούσατε","Το β΄ ενικό του αορίστου τελειώνει σε '-ες': 'άκουσες'. Το '-α' είναι α΄ ενικό, το '-ε' γ΄ ενικό."
"Αόριστος: αυτός (πίνω)","Ο Νίκος ___ έναν καφέ το πρωί.","ήπιε","ήπια","ήπιες","ήπιαμε","Το γ΄ ενικό του αορίστου τελειώνει σε '-ε': 'ήπιε'. Το '-α' είναι α΄ ενικό, το '-ες' β΄ ενικό."
"Αόριστος: εμείς (μιλάω)","Εμείς ___ πολλή ώρα στο τηλέφωνο.","μιλήσαμε","μιλήσατε","μιλήσαν","μίλησα","Το α΄ πληθυντικό του αορίστου τελειώνει σε '-αμε': 'μιλήσαμε'. Το '-ατε' είναι β΄ πληθυντικό."
"Αόριστος: εσείς (διαβάζω)","Εσείς ___ το βιβλίο χθες;","διαβάσατε","διαβάσαμε","διάβασα","διάβασε","Το β΄ πληθυντικό του αορίστου τελειώνει σε '-ατε': 'διαβάσατε'. Το '-αμε' είναι α΄ πληθυντικό."
"Αόριστος: αυτοί (ανοίγω)","Αυτοί ___ τα παράθυρα.","άνοιξαν","άνοιξε","ανοίξαμε","άνοιξα","Το γ΄ πληθυντικό του αορίστου τελειώνει σε '-αν': 'άνοιξαν'. Το '-ε' είναι γ΄ ενικό."
"Αόριστος: εγώ (αγαπώ)","Εγώ ___ αυτή την ταινία πολύ.","αγάπησα","αγάπησε","αγαπήσαμε","αγάπησες","Τα ρήματα σε '-ώ' (ομάδα 2) κάνουν αόριστο σε '-ησα': 'αγάπησα'. Το '-ε' είναι γ΄ ενικό."
"Αόριστος: εσύ (κλείνω)","Εσύ ___ την πόρτα χθες βράδυ;","έκλεισες","έκλεισα","έκλεισε","κλείσαμε","Το β΄ ενικό του αορίστου τελειώνει σε '-ες': 'έκλεισες'. Το '-α' είναι α΄ ενικό, το '-ε' γ΄ ενικό."
"Αόριστος: αυτή (φεύγω)","Η Μαρία ___ νωρίς από το γραφείο.","έφυγε","έφυγα","έφυγες","φύγαμε","Το γ΄ ενικό του αορίστου τελειώνει σε '-ε': 'έφυγε'. Το '-α' είναι α΄ ενικό, το '-ες' β΄ ενικό."
"Αόριστος: εμείς (βλέπω)","Εμείς ___ μια ωραία ταινία χθες.","είδαμε","είδατε","είδε","είδα","Το α΄ πληθυντικό του αορίστου τελειώνει σε '-αμε': 'είδαμε'. Το '-ατε' είναι β΄ πληθυντικό."
"Αόριστος: εσείς (τρώω)","Πού εσείς ___ χθες το βράδυ;","φάγατε","φάγαμε","έφαγε","έφαγα","Το β΄ πληθυντικό του αορίστου τελειώνει σε '-ατε': 'φάγατε'. Το '-αμε' είναι α΄ πληθυντικό."
"Αόριστος: αυτοί (γράφω)","Οι μαθητές ___ μια έκθεση.","έγραψαν","έγραψε","γράψατε","έγραψα","Το γ΄ πληθυντικό του αορίστου τελειώνει σε '-αν': 'έγραψαν'. Το '-ε' είναι γ΄ ενικό."
"Αόριστος: εγώ (πηγαίνω)","Εγώ ___ στην αγορά το πρωί.","πήγα","πήγε","πήγαμε","πήγατε","Ο αόριστος του 'πηγαίνω' για 'εγώ' είναι 'πήγα'. Το '-ε' είναι γ΄ ενικό, το '-αμε' α΄ πληθυντικό."
"Αόριστος: εσύ (ρωτάω)","Εσύ ___ τον δάσκαλο για τη δουλειά;","ρώτησες","ρώτησα","ρώτησε","ρωτήσατε","Τα ρήματα σε '-ώ/-άω' κάνουν αόριστο σε '-ησα'. Β΄ ενικό: 'ρώτησες'. Το '-α' είναι α΄ ενικό."
"Αόριστος: αυτός (αγοράζω)","Ο Πέτρος ___ ένα καινούριο αυτοκίνητο.","αγόρασε","αγόρασα","αγόρασες","αγοράσαμε","Γ΄ ενικό αορίστου: '-ε'. 'Αγόρασε'. Το '-α' είναι α΄ ενικό, το '-αμε' α΄ πληθυντικό."
"Αόριστος: εμείς (φεύγω)","Εμείς ___ από το σπίτι στις 8.","φύγαμε","φύγατε","έφυγε","έφυγα","Α΄ πληθυντικό αορίστου: '-αμε'. 'Φύγαμε'. Το '-ατε' είναι β΄ πληθυντικό, το '-ε' γ΄ ενικό."
"Αόριστος: εσείς (κοιτάζω)","Εσείς ___ την ταμπέλα στο κατάστημα;","κοιτάξατε","κοιτάξαμε","κοίταξε","κοίταξα","Β΄ πληθυντικό αορίστου: '-ατε'. 'Κοιτάξατε'. Το '-αμε' είναι α΄ πληθυντικό."
"Αόριστος: αυτοί (μιλάω)","Τα παιδιά ___ όλο το απόγευμα.","μίλησαν","μίλησε","μιλήσαμε","μίλησα","Γ΄ πληθυντικό αορίστου: '-αν'. 'Μίλησαν'. Το '-ε' είναι γ΄ ενικό, το '-αμε' α΄ πληθυντικό."
"Αδύνατη αντωνυμία: με","Η Άννα ___ είδε στον δρόμο.","με","μου","εμένα","σε","Η αδύνατη αντωνυμία αιτιατικής α΄ ενικού είναι 'με'. Το 'μου' είναι γενική/δοτική, το 'εμένα' είναι τονική αντωνυμία."
"Αδύνατη αντωνυμία: σε","Ο Γιώργης ___ τηλεφώνησε χθες.","σε","σου","εσένα","σας","Αιτιατική β΄ ενικού: 'σε'. Το 'σου' είναι γενική/δοτική. Το 'εσένα' είναι τονική αντωνυμία."
"Αδύνατη αντωνυμία: τον (αρσενικό)","Γνωρίζεις τον Νίκο; Ναι, ___ γνωρίζω καλά.","τον","τους","τις","την","Αιτιατική γ΄ ενικού αρσενικού: 'τον'. Ο Νίκος είναι αρσενικό. Το 'την' είναι θηλυκό, το 'τους' πληθυντικό."
"Αδύνατη αντωνυμία: την (θηλυκό)","Γνωρίζεις τη Μαρία; Ναι, ___ γνωρίζω καλά.","την","τον","τους","τις","Αιτιατική γ΄ ενικού θηλυκού: 'την'. Η Μαρία είναι θηλυκό. Το 'τον' είναι αρσενικό, το 'τους/τις' πληθυντικό."
"Αδύνατη αντωνυμία: το (ουδέτερο)","Είδες το βιβλίο μου; Ναι, ___ είδα στο τραπέζι.","το","τον","την","τους","Αιτιατική γ΄ ενικού ουδετέρου: 'το'. Το βιβλίο είναι ουδέτερο. Το 'τον/την' είναι ενικό άλλου γένους."
"Αδύνατη αντωνυμία: μας","Η δασκάλα ___ ρώτησε στην τάξη.","μας","με","σε","σας","Αιτιατική α΄ πληθυντικού: 'μας'. Το 'με' είναι α΄ ενικό, το 'σας' είναι β΄ πληθυντικό."
"Αδύνατη αντωνυμία: σας","Ο διευθυντής ___ κάλεσε στο γραφείο.","σας","μας","σε","τους","Αιτιατική β΄ πληθυντικού: 'σας'. Το 'μας' είναι α΄ πληθυντικό, το 'σε' β΄ ενικό."
"Αδύνατη αντωνυμία: τους (αρσενικό πλ.)","Βλέπεις τους φίλους μου; Ναι, ___ βλέπω εκεί.","τους","τις","τα","μας","Αιτιατική γ΄ πληθυντικού αρσενικού: 'τους'. 'Τις' είναι θηλυκό πληθυντικό, 'τα' ουδέτερο πληθυντικό."
"Αδύνατη αντωνυμία: τις (θηλυκό πλ.)","Βλέπεις τις αδερφές μου; Ναι, ___ βλέπω.","τις","τους","τα","την","Αιτιατική γ΄ πληθυντικού θηλυκού: 'τις'. Το 'τους' είναι αρσενικό πληθυντικό, το 'τα' ουδέτερο πληθυντικό."
"Αδύνατη αντωνυμία: τα (ουδέτερο πλ.)","Βλέπεις τα παιδιά εκεί; Ναι, ___ βλέπω.","τα","τους","τις","το","Αιτιατική γ΄ πληθυντικού ουδετέρου: 'τα'. Το 'τους' είναι αρσενικό πληθυντικό, το 'το' ουδέτερο ενικό."
"Αδύνατη αντωνυμία: θέση πριν ρήμα","___ αγαπώ πολύ, μαμά.","Σε","Εσένα","Εσύ","Της","Η αδύνατη αντωνυμία 'σε' τοποθετείται πριν από το ρήμα. Το 'εσένα' είναι τονική, το 'εσύ' είναι υποκείμενο."
"Αδύνατη αντωνυμία: με + αόριστος","Η Ελένη ___ κάλεσε στο πάρτυ.","με","εμένα","εγώ","μου","Η αδύνατη αντωνυμία αιτιατικής 'με' πηγαίνει πριν το ρήμα. Το 'εγώ' είναι υποκείμενο, το 'μου' είναι γενική."
"Μέλλοντας με θα: εγώ","Αύριο εγώ ___ στη θάλασσα.","θα πάω","θα πας","θα πάει","θα πάμε","Ο μέλλοντας σχηματίζεται με 'θα' + ρήμα. Α΄ ενικό: 'θα πάω'. Το 'θα πας' είναι β΄ ενικό."
"Μέλλοντας με θα: εσύ","Εσύ ___ το βιβλίο αύριο;","θα διαβάσεις","θα διαβάσω","θα διαβάσει","θα διαβάσουμε","Β΄ ενικό μέλλοντα: 'θα διαβάσεις'. Το '-ω' είναι α΄ ενικό, το '-ει' γ΄ ενικό."
"Μέλλοντας με θα: αυτός","Ο Κώστας ___ στο πάρτυ απόψε.","θα έρθει","θα έρθω","θα έρθεις","θα έρθουμε","Γ΄ ενικό μέλλοντα: 'θα έρθει'. Το '-ω' είναι α΄ ενικό, το '-ουμε' α΄ πληθυντικό."
"Μέλλοντας με θα: εμείς","Εμείς ___ το μεσημέρι μαζί.","θα φάμε","θα φάτε","θα φάει","θα φάω","Α΄ πληθυντικό μέλλοντα: 'θα φάμε'. Το '-ατε' είναι β΄ πληθυντικό, το '-ει' γ΄ ενικό."
"Μέλλοντας με θα: εσείς","Εσείς ___ σε ξενοδοχείο;","θα μείνετε","θα μείνουμε","θα μείνει","θα μείνω","Β΄ πληθυντικό μέλλοντα: 'θα μείνετε'. Το '-ουμε' είναι α΄ πληθυντικό, το '-ει' γ΄ ενικό."
