"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Arabic A2 Grammar 2","البنتان ___ إلى البيت. (رجعَ)","رجعتا","رجعتْ","رجعوا","رجعنا","المثنى المؤنث الغائب يأخذ ألف الاثنين: رجعتا."
"Arabic A2 Grammar 2","أنتما ___ الرسالةَ. (كتبَ)","كتبتما","كتبتم","كتبتُ","كتبا","المخاطب المثنى (مذكر ومؤنث) يأخذ: كتبتما."
"Arabic A2 Grammar 2","الولدان ___ من المدرسة. (خرجَ)","خرجا","خرجوا","خرجَ","خرجتا","المثنى المذكر الغائب يأخذ ألف الاثنين: خرجا."
"Arabic A2 Grammar 2","أنتنَّ ___ الطعامَ. (طبخَ)","طبختنَّ","طبختم","طبختِ","طبخنَ","المخاطب الجمع المؤنث يأخذ: طبختنَّ."
"Arabic A2 Grammar 2","هنَّ ___ الكتابَ. (قرأَ)","قرأنَ","قرأوا","قرأتْ","قرأتا","الغائب الجمع المؤنث يأخذ نون النسوة: قرأنَ."
"Arabic A2 Grammar 2","الطبيبةُ ___ المريضَ بعنايةٍ. (فحصَ)","فحصتْ","فحصَ","فحصوا","فحصتُ","الفاعل مؤنث مفرد غائب يأخذ تاء التأنيث الساكنة: فحصتْ."
"Arabic A2 Grammar 2","أنتَ ___ الجوابَ الصحيح. (عرفَ)","عرفتَ","عرفتُ","عرفتِ","عرفَ","المخاطب المفرد المذكر: عرفتَ. الفرق بين تَ (أنتَ) وتُ (أنا) وتِ (أنتِ)."
"Arabic A2 Grammar 2","السيّاراتُ ___ فجأةً. (وقفَ)","وقفتْ","وقفوا","وقفَ","وقفنا","جمع التكسير لغير العاقل يُعامل معاملة المفرد المؤنث: وقفتْ."
"Arabic A2 Grammar 2","الأمهاتُ ___ أطفالهنَّ. (حملَ)","حملنَ","حملوا","حملتْ","حملتا","جمع المؤنث السالم للعاقل يأخذ نون النسوة: حملنَ."
"Arabic A2 Grammar 2","القاضي ___ بالعدل. (حكمَ)","حكمَ","حكمتْ","حكموا","حكمتُ","القاضي مذكر مفرد غائب رغم الياء في آخره: حكمَ."
"Arabic A2 Grammar 2","أنتِ سوف ___ في المسابقة. (فازَ)","تفوزين","تفوزُ","يفوزُ","أفوزُ","المخاطب المفرد المؤنث مع المضارع: سوف تفوزين."
"Arabic A2 Grammar 2","هما سـ___ في الفندق. (نامَ)","ينامان","ينامُ","ينامون","تنامان","المثنى المذكر الغائب مع المضارع: سـينامان."
"Arabic A2 Grammar 2","أنتنَّ سوف ___ الهديةَ. (فتحَ)","تَفتحنَ","يَفتحنَ","تَفتحُ","نَفتحُ","المخاطب الجمع المؤنث مع المضارع: سوف تَفتحنَ."
"Arabic A2 Grammar 2","لن ___ عن الحقيقة. (سكتَ / أنا)","أسكتَ","يسكتَ","سكتُّ","نسكتَ","'لن' تنفي المستقبل وتنصب المضارع. المتكلم المفرد: لن أسكتَ."
"Arabic A2 Grammar 2","هل سـ___ الضيوفُ قبل المغرب؟ (وصلَ)","يصلُ","يصلون","تصلُ","نصلُ","الضيوف جمع تكسير لغير العاقل أحياناً لكن هنا للعاقل، والفعل يسبق الفاعل فيبقى مفرداً: يصلُ."
"Arabic A2 Grammar 2","نحن لن ___ هذا الخطأ. (نسيَ)","ننسى","ينسى","أنسى","تنسى","'لن' + المضارع المنصوب. المتكلم الجمع: لن ننسى."
"Arabic A2 Grammar 2","الطفلةُ سوف ___ في الحفلة. (غنّى)","تُغنّي","يُغنّي","تُغنّين","نُغنّي","الغائب المفرد المؤنث مع المضارع: سوف تُغنّي."
"Arabic A2 Grammar 2","أنتَ سـ___ من هذا الكتاب كثيراً. (استفادَ)","تستفيدُ","يستفيدُ","أستفيدُ","نستفيدُ","المخاطب المفرد المذكر مع المضارع: سـتستفيدُ."
"Arabic A2 Grammar 2","متى سوف ___ النتائجُ؟ (ظهرَ)","تظهرُ","يظهرُ","تظهرين","نظهرُ","النتائج جمع تكسير لغير العاقل يُعامل معاملة المؤنث المفرد: تظهرُ."
"Arabic A2 Grammar 2","هنَّ سـ___ في المشروع. (شاركَ)","يُشاركنَ","تُشاركُ","يُشاركون","نُشاركُ","الغائب الجمع المؤنث مع المضارع: سـيُشاركنَ."
"Arabic A2 Grammar 2","الأستاذُ كافأ___ على الاجتهاد. (أنا)","ـني","ـنا","ـكَ","ـهُ","ضمير المفعول للمتكلم المفرد: كافأني. لاحظ النون قبل الياء."
"Arabic A2 Grammar 2","الطبيبُ نصح___ بالراحة. (هي)","ـها","ـهُ","ـهم","ـكِ","ضمير المفعول للغائب المفرد المؤنث: نصحها."
"Arabic A2 Grammar 2","هل دعوتَ___ إلى الحفلة؟ (هم)","ـهم","ـهنَّ","ـنا","ـكم","ضمير المفعول للغائب الجمع المذكر: دعوتَهم."
"Arabic A2 Grammar 2","اتصلتُ بـ___. (أنتَ) ← ما الضمير المناسب بعد حرف الجر؟","ـكَ","ـكِ","ـني","ـهُ","ضمير الجر للمخاطب المفرد المذكر: بكَ. اتصلتُ بكَ."
"Arabic A2 Grammar 2","القائدُ أرسل___ إلى الميدان. (هنَّ)","ـهنَّ","ـهم","ـها","ـكنَّ","ضمير المفعول للغائب الجمع المؤنث: أرسلهنَّ."
"Arabic A2 Grammar 2","سلّمتُ عليـ___ أمس. (أنتِ)","ـكِ","ـكَ","ـها","ـني","ضمير الجر للمخاطب المفرد المؤنث: عليكِ."
"Arabic A2 Grammar 2","ساعدتُ___ في المشروع. (أنتم)","ـكم","ـكنَّ","ـهم","ـنا","ضمير المفعول للمخاطب الجمع المذكر: ساعدتُكم."
"Arabic A2 Grammar 2","الكتابُ أفاد___ كثيراً. (نحن)","ـنا","ـني","ـكم","ـهم","ضمير المفعول للمتكلم الجمع: أفادنا."
"Arabic A2 Grammar 2","أعطيتُ___ الهديةَ. (هو) ← لاحظ أنّ الضمير هنا مفعول أول.","ـهُ","ـهِ","ـها","ـني","ضمير المفعول للغائب المفرد المذكر: أعطيتُهُ. بعد الفعل يبقى مضموماً."
"Arabic A2 Grammar 2","منـ___ تعلّمتُ الصبرَ. (هي) ← لاحظ حرف الجر 'من'.","ـها","ـهِ","ـهُ","ـني","ضمير الجر للغائب المفرد المؤنث: منها. الهاء مع المؤنث تبقى 'ها'."
"Arabic A2 Grammar 2","كان المعلم___ مجتهد___. (جمع مذكر سالم بعد كان)","ـون ... ـين","ـين ... ـين","ـون ... ـون","ـات ... ـات","اسم كان مرفوع بالواو (المعلمون) وخبرها منصوب بالياء (مجتهدين)."
"Arabic A2 Grammar 2","جاء ___. (مهندس - جمع مذكر سالم - مرفوع)","المهندسون","المهندسين","المهندسات","المهندسان","جمع المذكر السالم في حالة الرفع: المهندسون (بالواو والنون)."
"Arabic A2 Grammar 2","ما جمع 'صديق'؟ (جمع تكسير)","أصدقاء","صديقون","صديقات","صديقين","'صديق' جمعه جمع تكسير: أصدقاء. على وزن أفعلاء."
"Arabic A2 Grammar 2","ما جمع 'درس'؟","دروس","درسات","أدراس","درسون","'درس' جمعه جمع تكسير: دروس. على وزن فُعول."
"Arabic A2 Grammar 2","ما جمع 'طبيب'؟","أطبّاء","طبيبون","طبيبات","طبائب","'طبيب' جمعه جمع تكسير: أطبّاء. على وزن أفعّلاء."
"Arabic A2 Grammar 2","ما جمع 'شارع'؟","شوارع","شارعات","شارعون","شوارعات","'شارع' جمعه جمع تكسير: شوارع. على وزن فوَاعل."
"Arabic A2 Grammar 2","شكرتُ ___. (معلمة - جمع مؤنث سالم - منصوب)","المعلماتِ","المعلماتُ","المعلماتٍ","المعلمون","جمع المؤنث السالم يُنصب بالكسرة بدلاً من الفتحة: المعلماتِ."
"Arabic A2 Grammar 2","ما جمع 'ضيف'؟","ضيوف","ضيفات","ضيفون","ضوائف","'ضيف' جمعه جمع تكسير: ضيوف. على وزن فُعول."
"Arabic A2 Grammar 2","في المكتبة كُتُبٌ ___. (كثير - جمع تكسير لغير العاقل)","كثيرةٌ","كثيرون","كثيرين","كثيراتٌ","جمع التكسير لغير العاقل يُوصف بصفة مفردة مؤنثة: كثيرةٌ."
"Arabic A2 Grammar 2","هؤلاء ___ ممتازون. ← ما الصحيح: 'عاملون' أم 'عمّال'؟","عمّال","عاملون","عاملين","عاملات","'عمّال' جمع تكسير لـ'عامل'. كلاهما صحيح لكن 'عمّال' أكثر شيوعاً في الاستعمال."
"Arabic A2 Grammar 2","لم أذهبْ ___ كنتُ متعباً.","لأنّي","لأنّ","لكنّ","لأنّهُ","'لأنّ' مع ضمير المتكلم تصبح 'لأنّي': لأنّي كنتُ متعباً."
"Arabic A2 Grammar 2","درستُ كثيراً ___ نجحتُ.","فـ","ثمّ","أو","لكن","'فـ' هنا تدل على السببية والنتيجة السريعة: درستُ فنجحتُ."
"Arabic A2 Grammar 2","الطقسُ جميلٌ ___ بارد.","لكنّهُ","لكن","لأنّهُ","وهو","'لكنّ' مع ضمير الغائب: لكنّهُ بارد. 'لكنّ' تنصب الاسم."
"Arabic A2 Grammar 2","لا أعرفُ ___ هو في البيت ___ في المكتب.","أ ... أم","هل ... أو","إذا ... أو","أنْ ... و","'أ...أم' تُستخدم للسؤال غير المباشر عن أحد خيارين: لا أعرفُ أهو في البيت أم في المكتب."
"Arabic A2 Grammar 2","___ الجوَّ باردٌ اليوم. (بداية جملة)","إنَّ","أنَّ","أنْ","لأنَّ","'إنَّ' (مكسورة الهمزة) تأتي في بداية الجملة للتأكيد. 'أنَّ' (مفتوحة) تأتي في وسط الجملة."
"Arabic A2 Grammar 2","ذهبتُ إلى المطعم ___ إلى السينما ___ إلى البيت.","ثمّ ... ثمّ","و ... و","فـ ... فـ","أو ... أو","'ثمّ' تدل على الترتيب مع التراخي: ذهبتُ... ثمّ... ثمّ."
"Arabic A2 Grammar 2","أحتاجُ ___ أدرسَ أكثر.","أنْ","أنَّ","إنَّ","لأنَّ","'أنْ' المصدرية الخفيفة تأتي قبل الفعل المضارع المنصوب: أحتاجُ أنْ أدرسَ."
"Arabic A2 Grammar 2","___ أنَّ المطرَ كثيرٌ، خرجنا.","رغمَ","لأنَّ","لكنَّ","حتى","'رغمَ أنَّ' تفيد الاستدراك: رغم المطر الكثير، خرجنا."
"Arabic A2 Grammar 2","ظلَّ يدرسُ ___ فهمَ الدرسَ. ← حتى هنا تأتي مع فعل ماضٍ.","حتى","لأنَّ","ثمّ","فـ","'حتى' مع الفعل الماضي تدل على نهاية الحدث: ظلَّ يدرسُ حتى فهمَ."
"Arabic A2 Grammar 2","يجبُ ___ تحترمَ الكبارَ.","أنْ","أنَّ","لأنَّ","إذا","'أنْ' المصدرية تأتي بعد 'يجبُ' + المضارع المنصوب: يجبُ أنْ تحترمَ."
