"title","question","correct","wrong1","wrong2","wrong3","explanation"
"City: pavement","People walk on the ___ next to the road.","pavement","motorway","runway","highway","The pavement (or sidewalk) is the hard path beside a road where people walk."
"City: crossroads","Two streets cross each other at a ___.","crossroads","dead end","one-way street","cul-de-sac","A crossroads is the point where two roads cross each other."
"City: suburb","She lives in a quiet ___ outside the city centre.","suburb","basement","harbour","warehouse","A suburb is a residential area on the edge of a large city."
"City: skyscraper","That ___ is over 100 floors tall.","skyscraper","bungalow","cottage","cabin","A skyscraper is a very tall building found in cities, often with many floors."
"City: pedestrian","A ___ is someone who walks in the street.","pedestrian","passenger","cyclist","motorist","A pedestrian is a person walking, especially in an area with traffic."
"City: traffic jam","We were late because of a terrible ___.","traffic jam","shortcut","speed limit","parking space","A traffic jam is when vehicles are stuck and moving very slowly or not at all."
"City: block","The shop is two ___s from here.","block","floor","lane","roof","A block is the distance along a street between two cross streets in a city."
"City: alley","We took a narrow ___ between the two buildings.","alley","avenue","motorway","plaza","An alley is a narrow passage between or behind buildings."
"City: district","The financial ___ is in the centre of the city.","district","suburb","village","countryside","A district is an area of a city or town that has a particular use or character."
"City: public transport","Buses and trains are types of ___.","public transport","private parking","rush hour","road works","Public transport means buses, trains, and other vehicles that anyone can use for a fee."
"Nature: forest","We went for a walk through the ___ and saw many tall trees.","forest","desert","beach","field","A forest is a large area covered with trees and other plants growing close together."
"Nature: river","The ___ flows through the valley to the sea.","river","pond","puddle","well","A river is a large natural stream of water that flows to the sea or a lake."
"Nature: mountain","The ___ was so high that its peak was hidden in the clouds.","mountain","dune","cliff","boulder","A mountain is a very high area of land, much higher than a hill."
"Nature: coast","We spent the summer at the ___ and went to the beach every day.","coast","border","hedge","fence","The coast is the land next to or close to the sea."
"Nature: valley","The village is in a ___ between two mountains.","valley","peak","ridge","summit","A valley is a low area of land between hills or mountains, often with a river."
"Nature: waterfall","We could hear the ___ from a long way away.","waterfall","fountain","dam","drain","A waterfall is a stream of water that falls from a high place, such as a cliff."
"Nature: cliff","The sea crashes against the ___ far below us.","cliff","ditch","path","hedge","A cliff is a high, steep face of rock, often at the edge of the sea."
"Nature: meadow","The cows were eating grass in the ___.","meadow","jungle","swamp","cave","A meadow is a field of grass, sometimes with wild flowers."
"Nature: island","You can only reach the ___ by boat.","island","peninsula","cape","bay","An island is a piece of land completely surrounded by water."
"Nature: lake","We took a boat out on the ___ surrounded by hills.","lake","stream","ditch","puddle","A lake is a large area of fresh water surrounded by land."
"Descriptions: enormous","The new shopping centre is ___.","enormous","tiny","narrow","shallow","Enormous means extremely large. It is much stronger than just 'big'."
"Descriptions: tiny","The baby held my finger with her ___ hand.","tiny","enormous","wide","thick","Tiny means extremely small. It is much stronger than just 'small'."
"Descriptions: ancient","They visited an ___ temple that was built 2000 years ago.","ancient","modern","recent","brand-new","Ancient means very, very old, usually hundreds or thousands of years old."
"Descriptions: modern","The city has many ___ buildings made of glass and steel.","modern","ancient","historic","traditional","Modern means relating to the present time or recent times, using new technology or design."
"Descriptions: steep","The road up the hill was very ___.","steep","flat","level","tall","Steep means rising or falling at a sharp angle, making it hard to walk up."
"Descriptions: narrow","The street was too ___ for two cars to pass.","narrow","wide","broad","spacious","Narrow means having a small distance from one side to the other."
"Descriptions: deep","The swimming pool is two metres ___ at one end.","deep","shallow","low","short","Deep means going a long way down from the surface."
"Descriptions: shallow","The water here is only 30 cm deep, so it is very ___.","shallow","deep","tall","high","Shallow means not deep; having only a short distance from top to bottom."
"Descriptions: crowded","The train was so ___ that I had to stand.","crowded","empty","deserted","abandoned","Crowded means full of people, with very little space."
"Descriptions: peaceful","The countryside was quiet and ___.","peaceful","noisy","chaotic","hectic","Peaceful means calm and quiet, without noise or worry."
"Landscape: hill","From the top of the ___ we could see the whole town.","hill","ditch","tunnel","cave","A hill is a raised area of land, smaller than a mountain."
"Landscape: stream","A small ___ ran through the garden.","stream","ocean","sea","harbour","A stream is a small, narrow river."
"Landscape: field","The farmer grows wheat in this ___.","field","garden","greenhouse","balcony","A field is a large open area of land, often used for farming."
"Landscape: path","We followed a ___ through the woods.","path","motorway","highway","runway","A path is a narrow way for walking, often through the countryside."
"Landscape: bridge","We crossed the ___ over the river.","bridge","tunnel","dam","dock","A bridge is a structure built over a river, road, or railway so people can cross."
"Landscape: pond","There were ducks swimming in the small ___ in our garden.","pond","waterfall","cave","hedge","A pond is a small area of still water, smaller than a lake."
"Landscape: desert","It almost never rains in the ___.","desert","rainforest","marsh","jungle","A desert is a large, dry area of land with very little rain and few plants."
"Landscape: cave","The explorers found a ___ in the side of the mountain.","cave","tower","attic","balcony","A cave is a large natural hole in the side of a hill or cliff, or underground."
"Urban vs Rural: rural","They moved to a ___ area to enjoy the quiet life.","rural","urban","industrial","commercial","Rural means relating to the countryside, far from cities."
"Urban vs Rural: urban","Traffic is a big problem in ___ areas.","urban","rural","remote","isolated","Urban means relating to a city or town."
"Urban vs Rural: pollution","Cars and factories cause air ___.","pollution","recycling","conservation","irrigation","Pollution is damage to air, water, or land caused by harmful substances."
"Urban vs Rural: commute","Her daily ___ to work takes one hour by train.","commute","holiday","vacation","excursion","A commute is the regular journey between home and work."
"Urban vs Rural: harvest","Farmers collect the ___ in autumn.","harvest","delivery","shipment","package","The harvest is the time when crops are collected from the fields."
"Urban vs Rural: wildlife","The nature reserve protects local ___.","wildlife","livestock","pets","cattle","Wildlife means animals and plants that live in natural conditions, not kept by people."
"City vs Nature: scenery","The ___ in the mountains was beautiful.","scenery","traffic","pavement","parking","Scenery is the natural features of a landscape that you can see, like mountains and trees."
"City vs Nature: view","The hotel room has a wonderful ___ of the lake.","view","glimpse","shadow","outline","A view is what you can see from a particular place."
"Descriptions: vast","The Sahara is a ___ desert.","vast","tiny","narrow","short","Vast means extremely large in area or amount."
"Descriptions: stunning","The sunset over the ocean was absolutely ___.","stunning","ugly","plain","dull","Stunning means extremely beautiful or impressive."
"Descriptions: remote","The village is very ___; the nearest town is 50 km away.","remote","central","nearby","local","Remote means far away from towns and cities, not easy to reach."
"Landscape: shore","We walked along the ___ and collected shells.","shore","ridge","summit","plateau","The shore is the land along the edge of the sea or a lake."
