"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Πόλη: πεζοδρόμιο","Οι πεζοί περπατούν στο ___ δίπλα στον δρόμο.","πεζοδρόμιο","πάρκινγκ","φανάρι","σταυροδρόμι","Το 'πεζοδρόμιο' είναι το τμήμα του δρόμου που προορίζεται για τους πεζούς."
"Πόλη: σταυροδρόμι","Στο ___ τα αυτοκίνητα πρέπει να προσέχουν.","σταυροδρόμι","φανάρι","είσοδο","κτίριο","Το 'σταυροδρόμι' είναι το σημείο όπου δύο ή περισσότεροι δρόμοι τέμνονται."
"Πόλη: συνοικία","Μένω σε μια ήσυχη ___ κοντά στο κέντρο.","συνοικία","πλατεία","αποθήκη","στάση","Η 'συνοικία' είναι μια γειτονιά ή περιοχή μιας πόλης."
"Πόλη: ουρανοξύστης","Εκείνο το τεράστιο κτίριο των 40 ορόφων είναι ___.","ουρανοξύστης","ανακτόρο","καμπαναριό","αποθήκη","Ο 'ουρανοξύστης' είναι ένα πολύ ψηλό κτίριο, χαρακτηριστικό των μεγάλων πόλεων."
"Πόλη: πλατεία","Στο κέντρο της πόλης υπάρχει μια μεγάλη ___ με σιντριβάνι.","πλατεία","στάση","σταθμός","κυκλοφορία","Η 'πλατεία' είναι ένας ανοιχτός χώρος στην πόλη, συχνά περιτριγυρισμένος από κτίρια."
"Πόλη: στενό","Το στενό πέρασμα ανάμεσα σε δύο κτίρια ονομάζεται ___.","στενό","λεωφόρος","γέφυρα","αυλή","Το 'στενό' είναι ένας πολύ στενός δρόμος, συχνά μεταξύ κτιρίων."
"Πόλη: φανάρι","Τη νύχτα το ___ φωτίζει τον δρόμο.","φανάρι","σηματοδότης","πινακίδα","μπαλκόνι","Το 'φανάρι' είναι ένας κολόνα με φως που φωτίζει τους δρόμους τη νύχτα."
"Πόλη: πεζός","Ένα άτομο που περπατά στον δρόμο είναι ___.","πεζός","ποδηλάτης","οδηγός","επιβάτης","Ο 'πεζός' είναι άνθρωπος που μετακινείται με τα πόδια."
"Πόλη: πάρκινγκ","Άφησα το αυτοκίνητο στο ___ κοντά στον σταθμό.","πάρκινγκ","αγορά","αποβάθρα","λιμάνι","Το 'πάρκινγκ' είναι ένας χώρος όπου μπορείς να αφήσεις το αυτοκίνητό σου."
"Πόλη: πινακίδα","Η ___ δείχνει ότι η στάθμευση απαγορεύεται εδώ.","πινακίδα","σηματοδότης","πύλη","τοίχος","Η 'πινακίδα' είναι σήμα που δίνει πληροφορίες ή κανόνες."
"Πόλη: σηματοδότης","Όταν ο ___ είναι κόκκινος, τα αυτοκίνητα σταματούν.","σηματοδότης","πινακίδα","αποχέτευση","πύλη","Ο 'σηματοδότης' ρυθμίζει την κυκλοφορία με κόκκινο, κίτρινο και πράσινο φως."
"Πόλη: στάση","Περιμένω το λεωφορείο στη ___.","στάση","βιτρίνα","εκδοτήριο","περίπτερο","Η 'στάση' είναι το σημείο όπου σταματά το λεωφορείο για τους επιβάτες."
"Πόλη: σιντριβάνι","Στη μέση της πλατείας υπάρχει ένα ___ με νερό.","σιντριβάνι","παγκάκι","σκάλα","κιγκλίδωμα","Το 'σιντριβάνι' είναι μια κατασκευή από την οποία αναβλύζει νερό, συχνά διακοσμητική."
"Πόλη: παγκάκι","Ας καθίσουμε στο ___ στο πάρκο.","παγκάκι","καρέκλα","σκάλα","κιγκλίδωμα","Το 'παγκάκι' είναι μια μακρόστενη θέση καθίσματος στα πάρκα και τις πλατείες."
"Πόλη: διάβαση","Οι πεζοί περνούν τον δρόμο στη ___ πεζών.","διάβαση","είσοδο","αποβάθρα","εγκατάσταση","Η 'διάβαση πεζών' είναι το ασφαλές σημείο όπου οι πεζοί μπορούν να περάσουν τον δρόμο."
"Πόλη: περίχωρα","Μένουν σε μια ήσυχη περιοχή στα ___ της πόλης.","περίχωρα","κέντρο","υπόγειο","βιτρίνα","Τα 'περίχωρα' είναι τα εξωτερικά τμήματα μιας πόλης, μακριά από το κέντρο."
"Πόλη: λεωφόρος","Η πλατεία Συντάγματος βρίσκεται στη μεγάλη ___ του κέντρου.","λεωφόρο","στενό","σοκάκι","ρύμη","Η 'λεωφόρος' είναι ένας πολύ φαρδύς κεντρικός δρόμος."
"Φύση: δάσος","Πάμε για περίπατο στο ___ ανάμεσα στα δέντρα.","δάσος","χωράφι","έρημο","λίμνη","Το 'δάσος' είναι μια περιοχή με πολλά δέντρα."
"Φύση: ποτάμι","Το ___ κατεβαίνει από το βουνό και φτάνει στη θάλασσα.","ποτάμι","λίμνη","βάλτος","πηγάδι","Το 'ποτάμι' είναι ένα φυσικό ρεύμα νερού που ρέει προς τη θάλασσα."
"Φύση: λόφος","Το σπίτι είναι χτισμένο στον ___, με υπέροχη θέα.","λόφο","κοιλάδα","βάλτο","σπήλαιο","Ο 'λόφος' είναι μια έξαρση του εδάφους, χαμηλότερη από βουνό."
"Φύση: λίμνη","Το καλοκαίρι κολυμπάμε στη ___ κοντά στα βουνά.","λίμνη","έρημο","χείμαρρο","κανάλι","Η 'λίμνη' είναι μια μεγάλη ποσότητα γλυκού νερού, περιτριγυρισμένη από ξηρά."
"Φύση: μονοπάτι","Ακολουθούμε το ___ που περνά μέσα από το δάσος.","μονοπάτι","γέφυρα","τοίχο","ράγες","Το 'μονοπάτι' είναι ένα στενό πέρασμα μέσα στη φύση."
"Φύση: λιβάδι","Τα παιδιά παίζουν στο ___ γεμάτο γρασίδι.","λιβάδι","στέγη","μονοπάτι","μπαλκόνι","Το 'λιβάδι' είναι ένα ανοιχτό έδαφος καλυμμένο με γρασίδι."
"Φύση: καταρράκτης","Το νερό πέφτει από ψηλά και σχηματίζει έναν υπέροχο ___.","καταρράκτη","πηγή","βάλτο","φράγμα","Ο 'καταρράκτης' είναι νερό που πέφτει από ψηλά, συχνά εντυπωσιακό."
"Φύση: πηγή","Το νερό του ποταμιού αρχίζει από την ___ στο βουνό.","πηγή","εκβολή","καταρράκτη","κύμα","Η 'πηγή' είναι το σημείο από όπου βγαίνει νερό φυσικά από το έδαφος."
"Φύση: ακτή","Στις διακοπές πάμε στην ___ για να δούμε τη θάλασσα.","ακτή","βουνό","πεδιάδα","κοιλάδα","Η 'ακτή' είναι η περιοχή της ξηράς κοντά στη θάλασσα."
"Φύση: κλαδί","Το πουλί κάθεται σε ένα ___ του δέντρου.","κλαδί","φράγμα","λουλούδι","θάμνο","Το 'κλαδί' είναι ένα τμήμα του δέντρου που μεγαλώνει από τον κορμό."
"Φύση: θάμνος","Το χαμηλό, πυκνό φυτό στον κήπο είναι ένας ___.","θάμνος","κλαδί","λουλούδι","μανιτάρι","Ο 'θάμνος' είναι ένα χαμηλό φυτό με πολλά κλαδιά και φύλλα."
"Φύση: ρίζα","Το τμήμα του δέντρου που βρίσκεται κάτω από το έδαφος είναι η ___.","ρίζα","φλοιός","φύλλο","μπουμπούκι","Η 'ρίζα' είναι το τμήμα του φυτού που μεγαλώνει στο έδαφος και απορροφά νερό."
"Φύση: κύμα","Στη θάλασσα, τα ___ σηκώνονται και σπάνε στην ακτή.","κύματα","σύννεφα","αστέρια","βάρκες","Τα 'κύματα' είναι κινήσεις του νερού που κατευθύνονται προς την ακτή."
"Φύση: γκρεμός","Τα ψηλά βράχια πάνω από τη θάλασσα σχηματίζουν έναν ___.","γκρεμό","παραλία","κόλπο","αμμόλοφο","Ο 'γκρεμός' είναι μια απότομη βραχώδης κατηφόρα, συχνά δίπλα στη θάλασσα."
"Φύση: βάλτος","Το πολύ υγρό έδαφος με λίγο νερό ονομάζεται ___.","βάλτος","έρημος","λιβάδι","περιβόλι","Ο 'βάλτος' είναι μια περιοχή με υγρό έδαφος, συχνά με υδρόβια φυτά."
"Φύση: ηλιοβασίλεμα","Όταν ο ήλιος δύει το βράδυ, βλέπουμε ένα υπέροχο ___.","ηλιοβασίλεμα","ανατολή","καταιγίδα","ουράνιο τόξο","Το 'ηλιοβασίλεμα' είναι η στιγμή που ο ήλιος χάνεται στον ορίζοντα το βράδυ."
"Περιγραφές: ευρύχωρος","Το διαμέρισμα είναι πολύ ___, χωρούν όλα τα έπιπλα.","ευρύχωρο","θορυβώδες","παλιό","υγρό","'Ευρύχωρος' σημαίνει ότι υπάρχει πολύς χώρος, το αντίθετο του στενό."
"Περιγραφές: ήσυχος","Η συνοικία είναι πολύ ___, δεν ακούγεται σχεδόν κανένας θόρυβος.","ήσυχη","απομονωμένη","πολυσύχναστη","επικίνδυνη","'Ήσυχος' σημαίνει γαλήνιος, χωρίς πολύ θόρυβο ή αναταραχή."
"Περιγραφές: πολυσύχναστος","Η πλατεία ήταν τόσο ___ που δεν μπορούσα να περπατήσω.","πολυσύχναστη","άδεια","ήσυχη","καθαρή","'Πολυσύχναστος' σημαίνει γεμάτος κόσμο, με πάρα πολλούς ανθρώπους."
"Περιγραφές: απότομος","Ο δρόμος που ανεβαίνει στον λόφο είναι πολύ ___.","απότομος","επίπεδος","φαρδύς","κοντός","'Απότομος' περιγράφει μια πολύ κεκλιμένη ανηφόρα ή κατηφόρα."
"Περιγραφές: σκιερός","Κάτω από τα δέντρα υπάρχει ένα ___ μέρος που δροσίζει.","σκιερό","ηλιόλουστο","αεράτο","υγρό","'Σκιερός' σημαίνει προστατευμένος από τον ήλιο, με σκιά."
"Περιγραφές: ανθισμένος","Την άνοιξη ο κήπος είναι όλος ___.","ανθισμένος","ξερός","παγωμένος","σκονισμένος","'Ανθισμένος' σημαίνει γεμάτος λουλούδια, σε άνθηση."
"Περιγραφές: άγριος","Εκείνη η περιοχή δεν είναι καλλιεργημένη, είναι εντελώς ___.","άγρια","τακτοποιημένη","καλλιεργημένη","ασφαλτοστρωμένη","'Άγριος' σημαίνει που δεν έχει αγγίξει ο άνθρωπος, φυσικός και ελεύθερος."
"Περιγραφές: βαθύς","Η λίμνη είναι πολύ ___, δεν αγγίζεις τον βυθό.","βαθιά","ρηχή","φαρδιά","κρύα","'Βαθύς' δηλώνει μεγάλη απόσταση από την επιφάνεια ως τον πυθμένα."
"Περιγραφές: ξερός","Το καλοκαίρι το έδαφος γίνεται ___ χωρίς βροχή.","ξερό","βρεγμένο","παγωμένο","γόνιμο","'Ξερός' σημαίνει χωρίς νερό ή υγρασία."
"Περιγραφές: σκονισμένος","Ο αμαξωτός δρόμος χωρίς άσφαλτο είναι πολύ ___.","σκονισμένος","παγωμένος","ασφαλτοστρωμένος","ανθισμένος","'Σκονισμένος' σημαίνει καλυμμένος με σκόνη."
"Περιγραφές: στενός","Το σοκάκι είναι πολύ ___ για τα αυτοκίνητα.","στενό","φαρδύ","ψηλό","κοντό","'Στενός' είναι το αντίθετο του φαρδύς, με λίγο χώρο από τη μια μεριά ως την άλλη."
"Περιγραφές: αρχαίος","Η εκκλησία στο κέντρο είναι ένα ___ κτίριο.","αρχαίο","σύγχρονο","στενό","φωτεινό","'Αρχαίος' σημαίνει πολύ παλιός, που υπάρχει από πολύ καιρό."
"Περιγραφές: υγρός","Μετά τη βροχή το δάσος είναι ___ και δροσερό.","υγρό","ξερό","σκονισμένο","ζεστό","'Υγρός' σημαίνει ελαφρώς βρεγμένος, με νερό στον αέρα."
"Περιγραφές: φωτεινός","Το διαμέρισμα έχει μεγάλα παράθυρα και είναι πολύ ___.","φωτεινό","σκοτεινό","μικρό","κρύο","'Φωτεινός' σημαίνει γεμάτος φως."
"Περιγραφές: παγωμένος","Τον χειμώνα το μονοπάτι στο βουνό γίνεται ___.","παγωμένο","λασπωμένο","απότομο","στενό","'Παγωμένος' σημαίνει καλυμμένος με πάγο, πολύ κρύος και ολισθηρός."
"Περιγραφές: γραφικός","Από τον λόφο υπάρχει ένα ___ τοπίο που αξίζει να δεις.","γραφικό","κρυμμένο","υπόγειο","κλειστό","'Γραφικός' σημαίνει ότι προσφέρει μια ωραία, ζωντανή εικόνα του τοπίου."
"Περιγραφές: φιλόξενος","Η ταβέρνα της γειτονιάς είναι μικρή αλλά πολύ ___.","φιλόξενη","κομψή","σκονισμένη","θορυβώδης","'Φιλόξενος' σημαίνει που κάνει τους ανθρώπους να αισθάνονται καλόδεχτοι και άνετα."
