"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Begroeting: goedemorgen","Je ziet je buurman om 8 uur. Wat zeg je?","Goedemorgen","Goedenavond","Goedenacht","Welterusten","Om 8 uur 's ochtends zeg je 'Goedemorgen'."
"Begroeting: goedemiddag","Het is 14:00. Je komt op kantoor. Wat zeg je?","Goedemiddag","Goedemorgen","Goedenavond","Goedenacht","Om 14:00 zeg je 'Goedemiddag'."
"Begroeting: goedenavond","Het is 20:00 en je gaat op bezoek. Wat zeg je?","Goedenavond","Goedemorgen","Goedemiddag","Welterusten","Om 20:00 zeg je 'Goedenavond'."
"Afscheid: tot ziens","Je gaat weg uit de winkel. Wat zeg je?","Tot ziens","Hallo","Goedemorgen","Hoi","'Tot ziens' is een beleefde manier om afscheid te nemen."
"Afscheid: welterusten","Je gaat slapen. Wat zeg je?","Welterusten","Goedemorgen","Tot ziens","Goedemiddag","Als je gaat slapen, zeg je 'Welterusten'."
"Begroeting: informeel","Welk woord is een informele begroeting?","Hoi","Tot ziens","Welterusten","Dank u wel","'Hoi' is een informele begroeting. De andere woorden zijn geen begroeting."
"Afscheid: tot morgen","Je collega gaat naar huis. Morgen zie je hem weer. Wat zeg je?","Tot morgen","Tot volgende week","Goedemorgen","Hallo","Als je iemand morgen weer ziet, zeg je 'Tot morgen'."
"Begroeting: hoe gaat het","Je vriend vraagt: 'Hoe gaat het?' Wat antwoord je?","Goed, dank je","Tot ziens","Goedenacht","Dag","'Goed, dank je' is een normaal antwoord op 'Hoe gaat het?'"
"Beleefdheid: alstublieft","Je vraagt iets aan een onbekende. Welk woord hoort erbij?","Alstublieft","Welterusten","Tot ziens","Doei","'Alstublieft' gebruik je als je beleefd iets vraagt of geeft."
"Beleefdheid: dank u wel","Iemand helpt je in de winkel. Wat zeg je?","Dank u wel","Hallo","Tot morgen","Goedenacht","'Dank u wel' is de beleefde manier om te bedanken."
"Nummer: 7","'Er zijn ___ dagen in een week.' Welk nummer past?","zeven","zes","acht","vijf","Een week heeft zeven dagen."
"Nummer: 12","'Een jaar heeft ___ maanden.' Welk nummer past?","twaalf","tien","elf","dertien","Een jaar heeft twaalf maanden."
"Nummer: 24","'Een dag heeft ___ uren.' Welk nummer past?","vierentwintig","twintig","tweeëntwintig","dertig","Een dag heeft vierentwintig uren."
"Nummer: 60","'Een uur heeft ___ minuten.' Welk nummer past?","zestig","vijftig","zeventig","veertig","Een uur heeft zestig minuten."
"Nummer: 100","Welk woord is het getal 100?","honderd","negentig","duizend","tachtig","100 is 'honderd' in het Nederlands."
"Nummer: 15","'Ik ben ___ jaar oud.' Het getal is 15. Welk woord past?","vijftien","veertien","vijftig","dertien","15 is 'vijftien' in het Nederlands."
