"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Collocation: make/do","She needs to _____ a decision before Friday.","make a decision","do a decision","makes a decision","making a decision","'Make a decision' is the standard English collocation. The modal 'needs to' requires the bare infinitive 'make'."
"Collocation: make/do","He's been _____ research on climate change for years.","doing research","making research","having research","taking research","'Do research' is the correct collocation. We use 'do' with work-like activities: do homework, do research, do business."
"Collocation: make/do","Could you _____ a favour?","do me","make me","maked me","doing me","'Do someone a favour' is the fixed collocation. Many languages use 'make' here, making this a common error."
"Collocation: make/do","The company _____ a huge profit last quarter.","made","maked","doed","done","'Make a profit' is the fixed financial collocation, and the past tense of 'make' is irregular: 'made'."
"Collocation: make/do","I always _____ best in exams.","do my","does my","doing my","done my","'Do your best' is the standard collocation. With the subject 'I' in present simple, use the base form 'do'."
"Collocation: take/have","Let's _____ a break — we've been working for hours.","take","taked","taking","takes","'Take a break' is the standard collocation. After 'Let's' use the bare infinitive 'take'."
"Collocation: take/have","She _____ a deep breath before stepping on stage.","took","taked","taken","taking","'Take a breath' is the correct collocation. The past tense of 'take' is irregular: 'took'."
"Collocation: take/have","He _____ a quick shower and left for work.","had","haved","haves","having","'Have a shower' is the standard BrE collocation. The past tense of 'have' is 'had'."
"Collocation: take/have","We need to _____ into account that prices have risen.","take","takes","taked","taking","'Take into account' is a fixed expression meaning to consider something. After 'need to' use the bare infinitive."
"Collocation: strong/heavy","There was _____ on the motorway this morning.","heavy traffic","heavy traffics","a heavy traffic","heavies traffic","'Heavy traffic' is the correct collocation. 'Traffic' is uncountable, so no plural and no indefinite article."
"Collocation: strong/heavy","This coffee is too weak — I prefer a _____ one in the morning.","strong","strongness","strongly","stronged","'Strong coffee' is the collocation. The other options are the noun, adverb and a non-existent verb form — none can modify 'one' as an adjective here."
"Collocation: strong/heavy","There's been _____ all week.","heavy rain","heavy rains","a heavy rain","heavily rain","'Heavy rain' is the standard weather collocation. 'Rain' here is uncountable, so no plural and no article."
"Collocation: strong/heavy","She has a very _____ — I can barely understand her.","strong accent","strongly accent","strongest accent","stronger accent","'Strong accent' is the natural collocation. After 'very' use the base adjective 'strong', not the comparative, superlative or adverb."
"Collocation: strong/heavy","He was under _____ to meet the deadline.","enormous pressure","enormous pressures","an enormous pressure","enormously pressure","'Under enormous pressure' is a standard phrase. 'Pressure' in this abstract sense is uncountable — no plural, no indefinite article."
"False friend: actual","It's hard to believe, but the _____ cost was double the estimate.","actual","actually","actualness","actualise","'Actual' means 'real' or 'true' in English. Only the adjective form fits before 'cost'; the others are the adverb, noun and verb forms."
"False friend: actually","_____, I think you might be wrong about that.","Actually","Actualy","Actualily","Actualmente","'Actually' means 'in fact.' The other options are misspellings or foreign-language forms — they are not English words."
"False friend: sensible","Wearing a helmet is the _____ thing to do.","sensible","sensibly","sensibleness","sensibilities","'Sensible' means practical and showing good judgment. Only the adjective form fits before 'thing'; the others are adverb and noun forms."
"False friend: sensitive","Be careful what you say — she's very _____ about her weight.","sensitive","sensitively","sensitiveness","sensitivities","'Sensitive' means easily hurt or affected. After 'very' we need the adjective, not the adverb or noun forms."
"False friend: eventually","He kept applying for jobs and _____ got one.","eventually","eventual","eventualness","eventualise","'Eventually' means 'in the end, after a long time.' Only the adverb modifies the verb 'got'; the others are the adjective, noun and verb forms."
"False friend: sympathetic","She was very _____ when I told her about my problems.","sympathetic","sympatheticly","sympathetical","sympathic","'Sympathetic' means showing understanding for someone's suffering. The other options are misspellings — they are not English words."
"False friend: pretend","He _____ to be asleep when his mother came in.","pretended","pretend","pretends","pretending","'Pretend' means to act as if something is true when it isn't. The past tense form 'pretended' is required by 'when his mother came in'."
"False friend: assist","A nurse will _____ the doctor during the operation.","assist","assists","assisted","assisting","'Assist' means to help in a professional capacity. After the modal 'will' we need the bare infinitive 'assist'."
"False friend: comprehensive","We need a _____ review of the entire project.","comprehensive","comprehensively","comprehensiveness","comprehended","'Comprehensive' means thorough and complete. Only the adjective form fits before the noun 'review'."
"False friend: library","I borrowed this book from the _____.","library","libary","librery","librarie","'Library' is a place to borrow books for free. The other options are misspellings — they are not English words."
"Fixed expression: binomial","We need to weigh up the _____ before making a decision.","pros and cons","cons and pros","pro and con","pros or cons","'Pros and cons' is a fixed binomial — the order never reverses, both nouns are plural, and the conjunction is 'and'."
"Fixed expression: binomial","_____, you'll have to face the truth.","Sooner or later","Later or sooner","Sooner and later","Soon or late","'Sooner or later' is a fixed binomial. The order is fixed, and the conjunction must be 'or', not 'and'."
"Fixed expression: binomial","The project has had its _____ over the years.","ups and downs","downs and ups","up and down","ups or downs","'Ups and downs' is a fixed binomial. The order is always 'ups' first, both nouns are plural, and the conjunction is 'and'."
"Fixed expression: binomial","She searched _____ for her missing keys.","high and low","low and high","high or low","highs and lows","'High and low' is a fixed adverbial binomial meaning 'everywhere'. The order is fixed and the forms are uninflected."
"Fixed expression: binomial","It was _____ whether the concert would go ahead.","touch and go","touch or go","touched and gone","touching and going","'Touch and go' means uncertain, risky. It's a fixed expression using the bare verb forms."
"Fixed expression: binomial","The terms and conditions are in _____.","black and white","white and black","blacks and whites","black or white","'In black and white' means clearly stated in writing. The colour order is fixed in this binomial."
"Fixed expression: binomial","We need to discuss the _____ of the plan.","nuts and bolts","nut and bolt","nuts or bolts","nutted and bolted","'Nuts and bolts' means the basic practical details. It's a fixed binomial with both nouns in the plural."
"Collocation: perks","The job has its _____ — free lunches and flexible hours.","perks","perkings","perkeds","perkses","'Perks' specifically means non-salary advantages like free meals or gym access. The other options are not valid English word forms."
"Semi-fixed phrase: the thing is","I'd love to come, but _____, I've already made plans.","the thing is","the thing be","the thing are","the things is","'The thing is' is a semi-fixed discourse marker used to introduce a problem. The other options violate subject-verb agreement or use a non-finite verb form."
"Semi-fixed phrase: as far as","_____, the project is on track.","As far as I'm concerned","So far as I concern","As long as I'm concerned","As far as I'm regarding","'As far as I'm concerned' means 'in my opinion.' It's a fixed phrase — don't swap 'concerned' for other words."
"Semi-fixed phrase: at the end of the day","_____, all that matters is being kind.","At the end of the day","In the end of the day","At the finish of the day","On the end of the day","'At the end of the day' is a fixed phrase meaning 'ultimately.' The preposition must be 'at', not 'in' or 'on'."
"Semi-fixed phrase: to be honest","_____, I didn't enjoy the film at all.","To be honest","For being honest","To being honest","In being honest","'To be honest' is a fixed hedging phrase. It always uses the bare infinitive 'to be', never '-ing' or 'for + -ing'."
"Semi-fixed phrase: on the other hand","The job pays well. _____, the hours are terrible.","On the other hand","In the other hand","At the other hand","On the another hand","'On the other hand' is a fixed phrase for introducing a contrasting point. The preposition is always 'on'."
"Semi-fixed phrase: as a matter of fact","_____, I've already finished the report.","As a matter of fact","As a matter of truth","In a matter of fact","As a case of fact","'As a matter of fact' is a fixed expression meaning 'actually' or 'in reality.' No part of it can be substituted."
"Semi-fixed phrase: by all means","'Can I use your phone?' '_____.'","By all means","By all ways","With all means","In all means","'By all means' is a fixed polite expression meaning 'of course, please do.' The preposition 'by' is essential."
"Semi-fixed phrase: for what it's worth","_____, I think you should take the job.","For what it's worth","For what it costs","For what it values","For what it means","'For what it's worth' is a hedging phrase meaning 'this may not matter much, but here's my opinion.' It's a fixed expression."
"Collocation: pay attention","You need to _____ attention in class.","pay","paying","paid","pays","'Pay attention' is the standard collocation. After 'need to' use the bare infinitive 'pay'."
"Collocation: reach","We finally _____ an agreement after hours of negotiation.","reached","reach","reaching","reachs","'Reach an agreement' is a standard collocation. The past tense is 'reached'; the plural 's' form would be 'reaches', not 'reachs'."
"Collocation: make a mistake","He _____ a terrible mistake by not checking the data.","made","maked","doed","maken","'Make a mistake' is the standard collocation. The past tense of 'make' is irregular: 'made'."
"Collocation: raise/rise","The company plans to _____ prices next month.","raise","rise","raises","rising","'Raise' is transitive (raise something). 'Rise' is intransitive and cannot take an object like 'prices'. After 'plans to' use the bare infinitive."
"Collocation: highly/absolutely","The restaurant comes _____ recommended.","highly","high","higher","highest","'Highly recommended' is the fixed collocation. The adverb 'highly' (meaning 'very much') is required here, not the adjective 'high'."
"False friend: fabric","The _____ of the building was damaged in the earthquake.","fabric","fabrics","fabricate","fabrication","'Fabric' in English can mean cloth OR the basic structure of a building/society. The other options are the plural, verb and related noun forms, which don't fit the singular subject."
"Fixed expression: flying colours","She passed the exam with _____.","flying colours","flied colours","flying colour","flown colours","'With flying colours' means with great success. 'Fly' here uses the '-ing' form and 'colours' is plural — both are fixed."
"Collocation: bitterly disappointed","He was _____ disappointed by the result.","bitterly","bitter","bitterness","bittered","'Bitterly disappointed' is a fixed collocation. Only the adverb form 'bitterly' can modify the past participle 'disappointed'."
"Semi-fixed phrase: needless to say","_____, we were all shocked by the news.","Needless to say","Needless for saying","Needless of saying","Needless saying","'Needless to say' is a fixed phrase meaning 'obviously.' It always uses the 'to + infinitive' form."
"Semi-fixed phrase: the point is","_____, we can't afford it right now.","The point is","The point are","The point be","The points is","'The point is' introduces the key argument. The other options violate subject-verb agreement or use a non-finite verb form."
