"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Arabic A2+ Grammar 2","كِلا ___ حاضران.","الطالبَيْن","الطالبان","الطلاب","الطالبتَيْن","بعد «كِلا» يأتي المثنى مجروراً بالإضافة وينتهي بـ «يْن». لكنّ خبره مرفوع بالألف والنون."
"Arabic A2+ Grammar 2","الكتابان اللذان ___ مفيدان.","قرأتُهما","قرأتُهم","قرأتُها","قرأتُه","الضمير العائد على المثنى هو «هما». اللذان اسم موصول للمثنى المذكر."
"Arabic A2+ Grammar 2","مررتُ بالمعلّمَيْن ___.","الجديدَيْن","الجديدان","الجُدُد","الجديدتَيْن","صفة المثنى المجرور تكون مجرورة أيضاً وتنتهي بـ «يْن». المعلّمَيْن مذكر فالصفة مذكرة."
"Arabic A2+ Grammar 2","هاتان المدينتان ___ بعيدتان.","ليستا","ليسا","ليست","ليسوا","ليستا لنفي المثنى المؤنث. هاتان تشير إلى مثنى مؤنث."
"Arabic A2+ Grammar 2","رأيتُ ___ اللتَيْن فازتا بالجائزة.","الطالبتَيْن","الطالبتان","الطالبات","الطالبة","المفعول به منصوب، والمثنى المؤنث المنصوب ينتهي بـ «تَيْن». اللتَيْن اسم موصول للمثنى المؤنث المنصوب."
"Arabic A2+ Grammar 2","جاءني ___ من صديقَيْن.","خِطابان","خِطابَيْن","خطابات","خِطاب","الفاعل مرفوع، والمثنى المرفوع ينتهي بـ «ان». «من صديقَيْن» جار ومجرور لا يؤثر على إعراب الفاعل."
"Arabic A2+ Grammar 2","أعجبتني ___ اللتان في الحديقة.","الشجرتان","الشجرتَيْن","الأشجار","الشجرة","الفاعل مرفوع، والمثنى المؤنث المرفوع ينتهي بـ «تان»."
"Arabic A2+ Grammar 2","رأيتُ الولدَيْن وكانا ___.","متعبَيْن","متعبان","متعبون","مُتعَب","خبر كان منصوب. المثنى المنصوب ينتهي بـ «يْن»."
"Arabic A2+ Grammar 2","سافر الرجلان و ___ معهما أبناؤهما.","سافر","سافرا","سافروا","سافرت","الفعل إذا تقدّم على الفاعل المثنى يأتي مفرداً. أبناؤهما فاعل مؤخر."
"Arabic A2+ Grammar 2","اشتريتُ عينَيْن ___ للنظارة.","جديدتَيْن","جديدَيْن","جديدتان","جُدُد","عينَيْن مؤنثة، فالصفة تكون مؤنثة أيضاً: جديدتَيْن (مثنى مؤنث منصوب)."
"Arabic A2+ Grammar 2","___ الرجل بعد أن سمع الخبر.","صامَ","يصوم","صائم","صاموا","الفعل الأجوف «صام» في الماضي مع المفرد الغائب المذكر: صامَ. حرف العلة (الألف) يظهر."
"Arabic A2+ Grammar 2","___ بالسيارة لساعتَيْن أمس.","سُقتُ","أسوق","سائق","يسوقون","الفعل الأجوف «ساق» في الماضي مع المتكلم: سُقتُ. حُذفت الألف وظهرت الضمة لأن أصله واوي."
"Arabic A2+ Grammar 2","هل ___ المال الذي أعطيتُك إيّاه؟","صُنتَ","تصون","صائن","صانوا","الفعل الأجوف «صان» في الماضي مع المخاطب: صُنتَ. حُذفت الألف وظهرت الضمة."
"Arabic A2+ Grammar 2","الطلاب لم ___ في الامتحان.","يَغيبوا","غابوا","غائبون","يغيبون","المضارع المجزوم بـ «لم» من «غاب»: يَغيبوا (حُذفت النون). حرف العلة يعود في المضارع."
"Arabic A2+ Grammar 2","نحن لن ___ من هذا المكان.","نَطير","طِرنا","طائرون","يطيرون","المضارع المنصوب بـ «لن» من «طار» مع المتكلم الجمع: نَطير. حرف العلة يظهر في المضارع."
"Arabic A2+ Grammar 2","هم ___ المعركة بعد ساعات.","خاضوا","يخوضون","خائضون","خُضتُ","«خاض» فعل أجوف واوي. الماضي مع جمع الغائبين: خاضوا. حرف العلة (الألف) يظهر مع واو الجماعة."
"Arabic A2+ Grammar 2","___ في النهر عندما كنتُ صغيراً.","كنتُ أعوم","عُمتُ","عائم","يعومون","للتعبير عن عادة في الماضي نستخدم «كنتُ + المضارع». أعوم مضارع من «عام»."
"Arabic A2+ Grammar 2","أنتِ ___ القرار بنفسكِ أمس.","اخترتِ","تختارين","مختارة","اختاروا","الفعل الأجوف «اختار» في الماضي مع المخاطبة: اخترتِ. حُذفت الألف."
"Arabic A2+ Grammar 2","هم ___ الأمر بينهم بالأمس.","داروا","يدورون","دائرون","دُرتُ","«دار» فعل أجوف واوي. الماضي مع جمع الغائبين: داروا."
"Arabic A2+ Grammar 2","لا ___ من المواجهة يا صديقي!","تَخَف","خِفتَ","خائف","يخافون","المضارع المجزوم بـ «لا» الناهية من «خاف»: تَخَف. حُذف حرف العلة (الألف) للجزم."
"Arabic A2+ Grammar 2","___ الصبرَ مفتاحُ النجاح، فلا تستعجل.","إنّ","أنّ","لكنّ","كأنّ","إنّ للتوكيد في بداية الكلام. خبرها هنا مضاف (مفتاحُ النجاح) وليس مفرداً. الفاء بعدها تربط بجملة أخرى."
"Arabic A2+ Grammar 2","___ البيتَ قريبٌ من المدرسة.","كأنّ","إنّ","أنّ","لأنّ","كأنّ للتشبيه، تنصب الاسم وترفع الخبر. البيتَ اسمها منصوب."
