"title","question","correct","wrong1","wrong2","wrong3","explanation"
"French A1+ Vocab 1","Le matin, avec le café, je mange un ___ avec du beurre.","croissant","poisson","fromage","poulet","Le croissant est une viennoiserie typique du petit-déjeuner français."
"French A1+ Vocab 1","Pour faire une salade, j'achète des ___ rouges.","tomates","chaises","voitures","crayons","Les tomates rouges sont un légume courant dans les salades."
"French A1+ Vocab 1","Quel fruit est jaune et long ?","la banane","la pomme","la fraise","la cerise","La banane est un fruit long et jaune."
"French A1+ Vocab 1","Je bois un verre de ___ avec mes céréales.","lait","pain","farine","sel","Le lait est une boisson blanche souvent bue au petit-déjeuner."
"French A1+ Vocab 1","Pour faire un sandwich, j'ai besoin de ___.","pain","eau","riz","thé","On utilise du pain pour faire un sandwich."
"French A1+ Vocab 1","Quelle viande vient du cochon ?","le jambon","le boeuf","le poulet","le canard","Le jambon est fait avec de la viande de cochon."
"French A1+ Vocab 1","Quel aliment est un produit laitier ?","le fromage","le riz","le pain","le poisson","Le fromage est fait avec du lait, c'est un produit laitier."
"French A1+ Vocab 1","Pour sucrer mon café, j'ajoute du ___.","sucre","sel","poivre","vinaigre","On ajoute du sucre pour rendre une boisson plus douce."
"French A1+ Vocab 1","Quelle boisson est chaude et contient de la caféine ?","le café","le jus","l'eau","le lait","Le café est une boisson chaude qui contient de la caféine."
"French A1+ Vocab 1","Quel fruit est rouge, petit et pousse en été ?","la fraise","la banane","le citron","la pastèque","La fraise est un petit fruit rouge d'été."
"French A1+ Vocab 1","Quel légume orange aime le lapin ?","la carotte","la salade","l'oignon","le champignon","La carotte est un légume orange que les lapins adorent."
"French A1+ Vocab 1","Pour faire une omelette, j'ai besoin de ___.","oeufs","pommes","oranges","bananes","On fait une omelette avec des oeufs."
"French A1+ Vocab 1","Comment s'appelle le repas du matin ?","le petit-déjeuner","le déjeuner","le dîner","le goûter","Le petit-déjeuner est le premier repas de la journée."
"French A1+ Vocab 1","Quel aliment vient de la mer ?","le poisson","le poulet","le porc","le boeuf","Le poisson vit dans la mer ou les rivières."
"French A1+ Vocab 1","Quel fruit jaune est très acide ?","le citron","la banane","la pomme","la poire","Le citron est un fruit jaune au goût très acide."
"French A1+ Vocab 1","Je vais à la ___ pour acheter du pain frais.","boulangerie","pharmacie","librairie","banque","On achète le pain à la boulangerie."
"French A1+ Vocab 1","Où est-ce qu'on achète la viande ?","à la boucherie","à la pharmacie","à la papeterie","à la bijouterie","On achète la viande chez le boucher, à la boucherie."
"French A1+ Vocab 1","Où est-ce qu'on achète beaucoup de choses différentes (nourriture, produits ménagers) ?","au supermarché","à la boulangerie","au café","au restaurant","Au supermarché, on trouve beaucoup de produits différents."
"French A1+ Vocab 1","À la caisse du magasin, je dois ___.","payer","dormir","cuisiner","nager","À la caisse, on paye les articles qu'on a choisis."
"French A1+ Vocab 1","Pour payer, je peux utiliser une carte ou de ___.","l'argent","l'eau","l'air","l'huile","On paye avec de l'argent (billets et pièces) ou avec une carte."
