"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Arabic A2+ Vocab 2","ما هو المكان الذي نشتري منه الأدوية؟","الصيدلية","المكتبة","المخبز","البقالة","الصيدلية هي المكان المخصص لبيع الأدوية والمستحضرات الطبية."
"Arabic A2+ Vocab 2","أين ننتظر الحافلة؟","محطة الحافلات","موقف السيارات","المطار","الميناء","محطة الحافلات هي المكان المخصص لانتظار الحافلات وركوبها."
"Arabic A2+ Vocab 2","ما هو المكان الذي نرسل منه الرسائل؟","مكتب البريد","البنك","المستشفى","المدرسة","مكتب البريد هو المكان المخصص لإرسال واستلام الرسائل والطرود."
"Arabic A2+ Vocab 2","ماذا نسمي الطريق الواسع في وسط المدينة؟","الشارع الرئيسي","الزقاق","الممر","الدرج","الشارع الرئيسي هو الطريق الواسع الكبير في المدينة."
"Arabic A2+ Vocab 2","ما هو المكان الذي نشاهد فيه الأفلام؟","السينما","المسرح","المتحف","المعرض","السينما هي المكان المخصص لعرض الأفلام ومشاهدتها."
"Arabic A2+ Vocab 2","أين يذهب الناس للصلاة في الإسلام؟","المسجد","الكنيسة","المعبد","الكنيس","المسجد هو مكان العبادة والصلاة عند المسلمين."
"Arabic A2+ Vocab 2","ما هو المكان الذي نضع فيه أموالنا؟","البنك","السوق","المتجر","المصنع","البنك هو المؤسسة المالية التي نحفظ فيها أموالنا."
"Arabic A2+ Vocab 2","ماذا نسمي المكان الذي تقف فيه السيارات؟","موقف السيارات","محطة القطار","المرآب","الطريق السريع","موقف السيارات هو المكان المخصص لإيقاف السيارات مؤقتاً."
"Arabic A2+ Vocab 2","ما هو المكان الذي نستعير منه الكتب؟","المكتبة العامة","المدرسة","الجامعة","دار النشر","المكتبة العامة هي المكان الذي نستعير منه الكتب مجاناً."
"Arabic A2+ Vocab 2","أين نذهب عندما نكون مرضى؟","المستشفى","المدرسة","المكتبة","الملعب","المستشفى هو المكان الذي يعالج فيه الأطباء المرضى."
"Arabic A2+ Vocab 2","ما هو المبنى الذي تعمل فيه الحكومة؟","البلدية","المصنع","الفندق","المطعم","البلدية هي مقر الحكومة المحلية في المدينة."
"Arabic A2+ Vocab 2","ماذا نسمي المكان الذي يلعب فيه الأطفال؟","الحديقة العامة","الملعب","الشاطئ","الفناء","الحديقة العامة هي المكان المفتوح الذي يلعب فيه الأطفال ويتنزه فيه الناس."
"Arabic A2+ Vocab 2","ما هو المكان الذي نتسوق فيه؟","السوق","المدرسة","المستشفى","المكتبة","السوق هو المكان الذي نشتري ونبيع فيه البضائع."
"Arabic A2+ Vocab 2","أين ينزل المسافرون عند زيارة مدينة جديدة؟","الفندق","المطعم","المتحف","الملعب","الفندق هو المكان الذي يقيم فيه المسافرون مؤقتاً."
"Arabic A2+ Vocab 2","ما هو الطريق الضيق بين المباني؟","الزقاق","الجسر","الميدان","الشارع الرئيسي","الزقاق هو ممر ضيق بين المباني في الأحياء القديمة."
"Arabic A2+ Vocab 2","ماذا نسمي المكان الذي تتقاطع فيه الشوارع؟","التقاطع","الجسر","النفق","الرصيف","التقاطع هو النقطة التي تلتقي فيها شوارع مختلفة."
"Arabic A2+ Vocab 2","ما هو المكان المفتوح الكبير في وسط المدينة؟","الميدان","الزقاق","النفق","المرآب","الميدان هو ساحة واسعة مفتوحة في وسط المدينة."
"Arabic A2+ Vocab 2","ما هو الشيء الذي ينمو في الغابة؟","الأشجار","الأزهار","الطحالب","الصبار","الأشجار هي النباتات الكبيرة التي تنمو في الغابات."
"Arabic A2+ Vocab 2","ماذا نسمي المساحة المائية الكبيرة المحاطة بالأرض؟","البحيرة","النهر","الشلال","الجدول","البحيرة مساحة مائية كبيرة محاطة بالأرض من جميع الجهات."
"Arabic A2+ Vocab 2","ما هو الذي يجري من الجبل إلى البحر؟","النهر","البحيرة","البركة","المستنقع","النهر هو مجرى مائي طبيعي يجري من المرتفعات إلى البحر."
"Arabic A2+ Vocab 2","ماذا نسمي الأرض المرتفعة جداً؟","الجبل","التل","الوادي","السهل","الجبل هو أرض مرتفعة جداً، أعلى بكثير من التل."
"Arabic A2+ Vocab 2","ما هو الذي يسقط من السماء في الشتاء الشديد البرودة؟","الثلج","المطر","البَرَد","الندى","الثلج يسقط عندما تكون درجة الحرارة تحت الصفر."
"Arabic A2+ Vocab 2","ماذا نسمي المنطقة المنخفضة بين جبلين؟","الوادي","القمة","الهضبة","السهل","الوادي هو المنطقة المنخفضة الممتدة بين الجبال."
"Arabic A2+ Vocab 2","ما هو الحيوان الذي يعيش في الغابة ويأكل العسل؟","الدب","الذئب","الثعلب","الأرنب","الدب حيوان كبير يعيش في الغابات ويحب أكل العسل."
"Arabic A2+ Vocab 2","ماذا نسمي الأرض المسطحة الواسعة؟","السهل","الجبل","التل","الوادي","السهل هو أرض مسطحة واسعة بدون ارتفاعات كبيرة."
"Arabic A2+ Vocab 2","ما هو الذي يضيء السماء أثناء العاصفة؟","البرق","الرعد","الريح","الضباب","البرق هو الضوء الساطع الذي نراه في السماء أثناء العاصفة."
"Arabic A2+ Vocab 2","ماذا نسمي المنطقة الجافة جداً التي لا ينمو فيها شيء كثير؟","الصحراء","الغابة","المرج","البستان","الصحراء منطقة جافة قاحلة قليلة النباتات والأمطار."
"Arabic A2+ Vocab 2","ما هو الذي يغطي الأرض في الصباح الباكر؟","الندى","الثلج","الجليد","الرمل","الندى هو قطرات الماء الصغيرة التي تظهر على الأرض والنباتات في الصباح."
"Arabic A2+ Vocab 2","ماذا نسمي الشاطئ الذي يلتقي فيه البحر بالأرض؟","الساحل","الجزيرة","الخليج","المضيق","الساحل هو الشريط من الأرض الذي يلتقي فيه البحر بالأرض."
"Arabic A2+ Vocab 2","ما هو الطائر الذي يخرج في الليل؟","البومة","النسر","الحمامة","العصفور","البومة طائر ليلي يخرج للصيد في الظلام."
"Arabic A2+ Vocab 2","ماذا نسمي المكان الذي ينبت فيه العشب الأخضر؟","المرج","الصحراء","الجبل","الكهف","المرج هو أرض مسطحة مغطاة بالعشب الأخضر."
"Arabic A2+ Vocab 2","ما هو الذي يسقط من الماء من مكان مرتفع؟","الشلال","النبع","البحيرة","المستنقع","الشلال هو سقوط الماء من ارتفاع عالٍ بقوة."
"Arabic A2+ Vocab 2","ماذا نسمي قطعة الأرض المحاطة بالماء من جميع الجهات؟","الجزيرة","شبه الجزيرة","الساحل","الخليج","الجزيرة هي قطعة أرض محاطة بالماء من كل الجهات."
"Arabic A2+ Vocab 2","ما هو الحشرة التي تصنع العسل؟","النحلة","الفراشة","النملة","الذبابة","النحلة حشرة مفيدة تصنع العسل وتلقّح الأزهار."
"Arabic A2+ Vocab 2","ما هي الكلمة التي تصف الشخص الذي لا يخاف؟","شجاع","جبان","خجول","كسول","شجاع تعني أن الشخص لا يخاف ويواجه المواقف الصعبة بقوة."
"Arabic A2+ Vocab 2","ما هو عكس كلمة «كريم»؟","بخيل","حريص","قنوع","حذر","بخيل هو عكس كريم، ويعني الشخص الذي لا يحب إنفاق المال أو العطاء."
"Arabic A2+ Vocab 2","ماذا نقول عن شخص يتكلم كثيراً؟","ثرثار","صامت","هادئ","خجول","ثرثار تصف الشخص الذي يتكلم كثيراً بدون توقف."
"Arabic A2+ Vocab 2","ما هي الصفة التي تصف الشخص الذي يحب العمل؟","مجتهد","كسول","صبور","فضولي","مجتهد تعني أن الشخص يعمل بجد ونشاط."
"Arabic A2+ Vocab 2","ما هو عكس كلمة «صادق»؟","كاذب","ماكر","منافق","مغرور","كاذب هو عكس صادق، ويعني الشخص الذي لا يقول الحقيقة."
"Arabic A2+ Vocab 2","ماذا نقول عن الطعام الذي فيه كثير من الملح؟","مالح","حلو","حامض","مر","مالح يصف الطعام الذي يحتوي على كمية كبيرة من الملح."
"Arabic A2+ Vocab 2","ما هي الكلمة التي تصف الجو عندما لا نرى شيئاً بوضوح؟","ضبابي","مشمس","صافٍ","غائم","ضبابي يصف الجو عندما يكون الضباب كثيفاً ولا نستطيع الرؤية بوضوح."
"Arabic A2+ Vocab 2","ما هو عكس كلمة «عميق»؟","ضحل","طويل","واسع","بعيد","ضحل هو عكس عميق، ويعني قليل العمق."
"Arabic A2+ Vocab 2","ماذا نقول عن شخص يساعد الآخرين دائماً؟","متعاون","أناني","عنيد","متكبر","متعاون تصف الشخص الذي يحب مساعدة الآخرين والعمل معهم."
"Arabic A2+ Vocab 2","ما هي الصفة التي تصف الشيء الذي لا يتحرك؟","ثابت","متحرك","سريع","نشيط","ثابت يعني أن الشيء لا يتحرك ويبقى في مكانه."
"Arabic A2+ Vocab 2","ما هو عكس كلمة «رطب»؟","جاف","دافئ","بارد","لزج","جاف هو عكس رطب، ويعني خالٍ من الماء والرطوبة."
"Arabic A2+ Vocab 2","ماذا نقول عن الشخص الذي يفكر في نفسه فقط؟","أناني","كريم","متواضع","لطيف","أناني تصف الشخص الذي يهتم بنفسه فقط ولا يفكر في الآخرين."
"Arabic A2+ Vocab 2","ما هي الكلمة التي تصف الصوت العالي جداً؟","مزعج","جميل","غريب","مألوف","مزعج يصف الصوت العالي الذي يسبب الانزعاج وعدم الراحة."
"Arabic A2+ Vocab 2","ما هو عكس كلمة «ناعم»؟","خشن","سميك","ثقيل","صلب","خشن هو عكس ناعم، ويصف السطح غير الأملس."
"Arabic A2+ Vocab 2","ماذا نقول عن الشخص الذي يحترم الكبار؟","مؤدب","وقح","متهور","عنيد","مؤدب تصف الشخص الذي يحترم الآخرين ويتصرف بلطف."
"Arabic A2+ Vocab 2","ما هي الصفة التي تصف الطقس عندما تكون الشمس ساطعة؟","مشمس","غائم","ممطر","عاصف","مشمس يصف الطقس عندما تكون الشمس ظاهرة والسماء صافية."
