"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Μεταφορές: το τρένο","Πώς λέγεται το όχημα που ταξιδεύει πάνω σε ράγες από πόλη σε πόλη;","το τρένο","το λεωφορείο","το αεροπλάνο","το πλοίο","Το τρένο κινείται πάνω σε ράγες. Μπορείς να πάρεις το τρένο από την Αθήνα στη Θεσσαλονίκη."
"Μεταφορές: το λεωφορείο","Ποιο δημόσιο όχημα κινείται στον δρόμο χωρίς ράγες ή ηλεκτρικά καλώδια, και σταματά σε στάσεις για να επιβιβαστούν επιβάτες;","το λεωφορείο","το τρένο","το τραμ","το τρόλεϊ","Το λεωφορείο κινείται στον δρόμο χωρίς ράγες ή καλώδια. Το τραμ έχει ράγες, το τρόλεϊ έχει ηλεκτρικά καλώδια, αλλά το λεωφορείο δεν χρειάζεται τίποτα από αυτά."
"Μεταφορές: το μετρό","Πώς λέγεται το μέσο μεταφοράς που κινείται κάτω από τη γη;","το μετρό","το τρόλεϊ","το τραμ","το λεωφορείο","Το μετρό κινείται υπόγεια στις μεγάλες πόλεις. Η Αθήνα έχει μετρό."
"Μεταφορές: το τραμ","Ποιο όχημα κινείται πάνω σε ράγες μέσα στην πόλη, στον δρόμο;","το τραμ","το τρένο","το μετρό","το λεωφορείο","Το τραμ κινείται σε ράγες μέσα στην πόλη. Στην Αθήνα το τραμ πηγαίνει προς τον Πειραιά."
"Μεταφορές: το αεροπλάνο","Με ποιο μέσο ταξιδεύεις σε μια χώρα που είναι πολύ μακριά, πετώντας;","το αεροπλάνο","το πλοίο","το τρένο","το λεωφορείο","Το αεροπλάνο πετά και σε πάει σε μακρινά μέρη. Αναχωρεί από το αεροδρόμιο."
"Μεταφορές: το πλοίο","Ποιο μεγάλο μέσο μεταφοράς ταξιδεύει στη θάλασσα;","το πλοίο","η βάρκα","το αεροπλάνο","το τρένο","Το πλοίο είναι μεγάλο μέσο που ταξιδεύει στη θάλασσα. Μπορείς να πάρεις πλοίο για τα ελληνικά νησιά."
"Μεταφορές: το ταξί","Ποιο όχημα μπορείς να παραγγείλεις για να σε πάει όπου θέλεις;","το ταξί","το λεωφορείο","το τρένο","το τραμ","Το ταξί σε πάει όπου θέλεις. Μπορείς να σταματήσεις ένα ταξί στον δρόμο ή να το παραγγείλεις."
"Μεταφορές: το ποδήλατο","Πώς λέγεται το δίτροχο όχημα που κινείς με τα πεντάλ;","το ποδήλατο","το μηχανάκι","το σκούτερ","η μοτοσικλέτα","Το ποδήλατο έχει δύο τροχούς και πεντάλ. Πολλοί άνθρωποι χρησιμοποιούν ποδήλατο στην πόλη."
"Μεταφορές: η μοτοσικλέτα","Ποιο δίτροχο όχημα έχει ισχυρό κινητήρα, φτάνει σε μεγάλες ταχύτητες στον αυτοκινητόδρομο και απαιτεί δίπλωμα κατηγορίας Α;","η μοτοσικλέτα","το ποδήλατο","το σκούτερ","το τρόλεϊ","Η μοτοσικλέτα έχει ισχυρό κινητήρα και χρειάζεσαι δίπλωμα κατηγορίας Α για να την οδηγείς."
"Μεταφορές: το πλοίο (φέρι)","Πώς λέγεται το πλοίο που μεταφέρει ανθρώπους και αυτοκίνητα από λιμάνι σε λιμάνι;","το φέρι","το κρουαζιερόπλοιο","η βάρκα","ο ρυμουλκός","Το φέρι (ferry) μεταφέρει επιβάτες και οχήματα. Μπορείς να πάρεις φέρι για τη Σαντορίνη."
"Μεταφορές: η στάση","Πώς λέγεται το σημείο στον δρόμο όπου σταματά το λεωφορείο για να επιβιβαστούν επιβάτες;","η στάση","η αποβάθρα","η πύλη","το εισιτήριο","Η στάση είναι το σημείο όπου σταματά το λεωφορείο ή το τρόλεϊ. Βλέπεις εκεί πινακίδες με τα δρομολόγια."
"Μεταφορές: ο σταθμός","Πώς λέγεται το μέρος όπου αναχωρούν και φτάνουν τα τρένα;","ο σταθμός","το αεροδρόμιο","το λιμάνι","η στάση","Ο σταθμός είναι ο τόπος όπου φτάνουν και αναχωρούν τα τρένα. Ο Σταθμός Λαρίσης είναι γνωστός στην Αθήνα."
"Μεταφορές: η αποβάθρα","Σε ποιο μέρος του σταθμού περιμένεις και ανεβαίνεις στο τρένο;","η αποβάθρα","η στάση","η πύλη","η αίθουσα αναμονής","Η αποβάθρα είναι το ανυψωμένο τμήμα του σταθμού όπου σταματά το τρένο και επιβιβάζονται οι επιβάτες."
"Μεταφορές: το αεροδρόμιο","Από πού αναχωρούν τα αεροπλάνα;","το αεροδρόμιο","το λιμάνι","ο σταθμός","η στάση","Τα αεροπλάνα αναχωρούν από το αεροδρόμιο. Το αεροδρόμιο της Αθήνας λέγεται Ελευθέριος Βενιζέλος."
"Μεταφορές: το λιμάνι","Από πού αναχωρούν τα πλοία;","το λιμάνι","το αεροδρόμιο","ο σταθμός","η στάση","Τα πλοία αναχωρούν από το λιμάνι. Ο Πειραιάς είναι το μεγαλύτερο λιμάνι της Ελλάδας."
"Μεταφορές: το εισιτήριο","Τι πρέπει να αγοράσεις πριν επιβιβαστείς στο λεωφορείο ή στο τρένο;","το εισιτήριο","το διαβατήριο","τη βαλίτσα","το πρόγραμμα","Το εισιτήριο χρειάζεσαι για να ταξιδέψεις με δημόσια συγκοινωνία. Χωρίς εισιτήριο μπορεί να πάρεις πρόστιμο."
"Ταξίδια: η βαλίτσα","Σε τι βάζεις τα ρούχα σου όταν πας διακοπές;","η βαλίτσα","η ντουλάπα","ο καναπές","το κουτί","Η βαλίτσα είναι μεγάλη και βάζεις μέσα ρούχα και άλλα πράγματα για το ταξίδι."
"Ταξίδια: το διαβατήριο","Ποιο έγγραφο χρειάζεσαι για να ταξιδέψεις σε χώρα εκτός Ευρώπης;","το διαβατήριο","η ταυτότητα","η άδεια οδήγησης","η κάρτα επιβίβασης","Το διαβατήριο χρειάζεται για ταξίδια εκτός Ευρώπης. Το δείχνεις στον έλεγχο στο αεροδρόμιο."
"Ταξίδια: η κάρτα επιβίβασης","Ποιο έγγραφο δείχνεις στην πύλη πριν επιβιβαστείς στο αεροπλάνο;","η κάρτα επιβίβασης","το διαβατήριο","το εισιτήριο","η ταυτότητα","Η κάρτα επιβίβασης έχει τον αριθμό της θέσης σου. Τη δείχνεις στην πύλη πριν μπεις στο αεροπλάνο."
"Ταξίδια: οι αποσκευές","Πώς λέμε όλα όσα παίρνεις μαζί σου όταν ταξιδεύεις;","οι αποσκευές","η βαλίτσα","το σακίδιο","η τσάντα","Οι αποσκευές είναι όλα όσα παίρνεις μαζί: βαλίτσες, τσάντες, σακίδια. Στο αεροπλάνο υπάρχουν χειραποσκευές και αποσκευές αμπαριού."
"Ταξίδια: η κράτηση","Πώς λέμε την πράξη να κλείσεις θέση σε ξενοδοχείο ή πτήση εκ των προτέρων;","η κράτηση","η επιβεβαίωση","η άφιξη","η αναχώρηση","Η κράτηση είναι όταν κλείνεις θέση εκ των προτέρων, π.χ. σε ξενοδοχείο ή πτήση."
"Ταξίδια: η καθυστέρηση","Πώς λέμε το γεγονός ότι το αεροπλάνο ή το τρένο φτάνει αργότερα από το πρόγραμμα;","η καθυστέρηση","η ακύρωση","η αλλαγή","η αναχώρηση","Η καθυστέρηση είναι όταν κάτι αργεί. Π.χ.: η πτήση έχει μία ώρα καθυστέρηση."
"Ταξίδια: η αναχώρηση","Πώς λέμε τη στιγμή που το τρένο ή το αεροπλάνο φεύγει;","η αναχώρηση","η άφιξη","η καθυστέρηση","η στάση","Η αναχώρηση είναι η στιγμή που φεύγεις. Το αντίθετο της αναχώρησης είναι η άφιξη."
"Ταξίδια: η άφιξη","Πώς λέμε τη στιγμή που φτάνεις στον προορισμό σου;","η άφιξη","η αναχώρηση","η σύνδεση","η διαδρομή","Η άφιξη είναι η στιγμή που φτάνεις. Το αντίθετο της άφιξης είναι η αναχώρηση."
"Ταξίδια: ο προορισμός","Πώς λέμε το μέρος όπου θέλεις να πας;","ο προορισμός","η αναχώρηση","η διαδρομή","η στάση","Ο προορισμός είναι ο τόπος όπου θέλεις να φτάσεις. Π.χ.: ο προορισμός μου είναι η Ρόδος."
"Ταξίδια: η πτήση","«Η ___ για Θεσσαλονίκη αναχωρεί στις 10:00 από την πύλη 5.» Ποια λέξη συμπληρώνει τη φράση;","η πτήση","η κρουαζιέρα","η διαδρομή","η μεταφορά","Η πτήση είναι το ταξίδι με αεροπλάνο. Π.χ.: η πτήση αναχωρεί από την πύλη 5."
