"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Present simple: I/you","'I ___ coffee every morning.' Which is correct?","drink","drinks","drinking","am drink","With I/you/we/they, use the base verb: 'I drink.' No -s needed."
"Present simple: he/she/it","'She ___ to work by bus.' Which is correct?","goes","go","going","is go","With he/she/it, add -s or -es: 'She goes.'"
"Present simple: negative","'He ___ like spicy food.' Which is correct?","doesn't","don't","isn't","not","With he/she/it, use 'doesn't' + base verb: 'He doesn't like.'"
"Present simple: negative","'They ___ live in London.' Which is correct?","don't","doesn't","aren't","not","With they/we/I/you, use 'don't' + base verb: 'They don't live.'"
"Present simple: question","'___ she speak French?' Which is correct?","Does","Do","Is","Has","For questions with he/she/it, start with 'Does': 'Does she speak?'"
"Present simple: question","'___ you want some tea?' Which is correct?","Do","Does","Are","Have","For questions with I/you/we/they, start with 'Do': 'Do you want?'"
"Present simple: he/she/it","'My brother ___ football on Saturdays.' Which is correct?","plays","play","is play","playing","With he/she/it (my brother = he), add -s: 'He plays.'"
"Present simple: I/you","'We ___ dinner at seven o'clock.' Which is correct?","eat","eats","eating","is eat","With we/I/you/they, use the base verb: 'We eat.' No -s needed."
"Present simple: negative","'I ___ understand this word.' Which is correct?","don't","doesn't","am not","isn't","With I, use 'don't' + base verb: 'I don't understand.'"
"Present continuous: I","'I ___ a book right now.' Which is correct?","am reading","reading","reads","is reading","With I, use 'am' + verb-ing: 'I am reading.' It is happening now."
"Present continuous: she","'She ___ on the phone at the moment.' Which is correct?","is talking","talks","talking","are talking","With she/he/it, use 'is' + verb-ing: 'She is talking.' It is happening now."
"Present continuous: they","'They ___ for the bus outside.' Which is correct?","are waiting","is waiting","waiting","waits","With they/we/you, use 'are' + verb-ing: 'They are waiting.'"
"Present continuous: he","'Look! He ___ in the pool.' Which is correct?","is swimming","swimming","swims","am swimming","With he/she/it, use 'is' + verb-ing: 'He is swimming.' It is happening now."
"Present continuous: we","'We ___ lunch in the garden today.' Which is correct?","are having","is having","having","has","With we, use 'are' + verb-ing: 'We are having.' It is happening now."
"Present continuous: negative","'She ___ right now; she is resting.' Which is correct?","isn't working","doesn't working","not working","aren't working","With she, use 'isn't' + verb-ing: 'She isn't working.'"
"Present continuous: question","'___ you coming to the party tonight?' Which is correct?","Are","Do","Is","Does","For present continuous questions with you, use 'Are': 'Are you coming?'"
"Present continuous: I","'I ___ to music while I cook.' Which is correct?","am listening","listening","listens","is listening","With I, use 'am' + verb-ing: 'I am listening.' It is happening right now."
"Present perfect: have/has","'I ___ this movie before.' Which is correct?","have seen","has seen","am seen","seeing","With I/you/we/they, use 'have' + past participle: 'I have seen.'"
"Present perfect: has","'She ___ three countries this year.' Which is correct?","has visited","have visited","is visited","visiting","With she/he/it, use 'has' + past participle: 'She has visited.'"
"Present perfect: for/since","'We have lived here ___ 2018.' Which is correct?","since","for","ago","at","Use 'since' with a specific point in time: 'since 2018.'"
"Present perfect: for/since","'He has worked there ___ five years.' Which is correct?","for","since","from","during","Use 'for' with a period of time: 'for five years.'"
"Present perfect: has","'My sister ___ just passed her driving test.' Which is correct?","has","have","is","does","With she/he/it (my sister = she), use 'has' + past participle: 'She has passed.'"
"Present perfect: yet","'I haven't called him back ___.' Which is correct?","yet","ago","since","still","Use 'yet' at the end of a negative sentence to mean 'up to now': 'I haven't called him back yet.'"
"Present perfect: already","'I have ___ eaten lunch, so I'm not hungry.' Which is correct?","already","yet","ever","still","Use 'already' in positive sentences to say something happened sooner than expected."
