"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Sostantivo astratto: consapevolezza","Quale parola indica la piena percezione delle proprie qualità e dei propri limiti?","consapevolezza","convenienza","abbondanza","lontananza","'Consapevolezza' (spesso 'consapevolezza di sé') è la piena percezione di sé. 'Convenienza' è utilità, 'abbondanza' è quantità, 'lontananza' è distanza."
"Sostantivo astratto: fiducia","Quale parola indica il credere nell'affidabilità di qualcuno?","fiducia","chiarezza","freddezza","stanchezza","'Fiducia' è credere nell'affidabilità di qualcuno. 'Chiarezza' è trasparenza nelle idee, 'freddezza' è distacco, 'stanchezza' è mancanza di energia."
"Sostantivo astratto: equilibrio","Quale parola indica una condizione di stabilità tra due forze opposte?","equilibrio","velocità","urgenza","abitudine","'Equilibrio' è la stabilità tra forze contrapposte. 'Velocità' è rapidità, 'urgenza' è premura, 'abitudine' è consuetudine."
"Sostantivo astratto: gratitudine","Quale parola indica il sentimento di riconoscenza verso chi ci ha fatto del bene?","gratitudine","curiosità","timidezza","noia","'Gratitudine' è riconoscenza. 'Curiosità' è desiderio di sapere, 'timidezza' è paura sociale, 'noia' è mancanza di interesse."
"Sostantivo astratto: saggezza","Quale parola indica la capacità di giudicare con equilibrio e profondità, spesso frutto dell'età?","saggezza","fretta","freddezza","stranezza","'Saggezza' è il giudizio equilibrato e profondo. 'Fretta' è rapidità, 'freddezza' è distacco, 'stranezza' è bizzarria."
"Sostantivo astratto: solidarietà","Quale parola indica il sostegno reciproco tra persone, soprattutto nei momenti difficili?","solidarietà","curiosità","vanità","pigrizia","'Solidarietà' è il sostegno reciproco. 'Curiosità' è desiderio di sapere, 'vanità' è attaccamento all'aspetto, 'pigrizia' è mancanza di voglia di agire."
"Sostantivo astratto: umiltà","Quale parola indica la virtù di chi non si ritiene superiore agli altri?","umiltà","ricchezza","bellezza","rapidità","'Umiltà' è non ritenersi superiori. 'Ricchezza' riguarda i beni, 'bellezza' è estetica, 'rapidità' è velocità."
"Sostantivo astratto: nostalgia","Quale parola indica il desiderio intenso di tornare a un tempo o a un luogo del passato?","nostalgia","paura","noia","stanchezza","'Nostalgia' è il desiderio del passato. 'Paura' è timore, 'noia' è mancanza di interesse, 'stanchezza' è mancanza di energia."
"Sostantivo astratto: tenacia","Quale parola indica la capacità di non arrendersi mai, resistendo a lungo alle difficoltà?","tenacia","allegria","curiosità","gentilezza","'Tenacia' è la capacità di non arrendersi. 'Allegria' è buonumore, 'curiosità' è desiderio di sapere, 'gentilezza' è cortesia."
"Sostantivo astratto: inquietudine","Quale parola indica uno stato vago di agitazione interiore?","inquietudine","allegria","sicurezza","noia","'Inquietudine' è agitazione interiore vaga. 'Allegria' è gioia, 'sicurezza' è certezza, 'noia' è mancanza di interesse."
"Sostantivo astratto: indifferenza","Quale parola indica la mancanza totale di interesse o emozione verso qualcosa?","indifferenza","allegria","tenerezza","fretta","'Indifferenza' è mancanza di interesse o emozione. 'Allegria' è gioia, 'tenerezza' è dolcezza, 'fretta' è rapidità."
"Sostantivo astratto: coerenza","Quale parola indica l'agire in modo conforme a ciò che si dice o si crede?","coerenza","bellezza","ricchezza","prontezza","'Coerenza' è l'accordo tra parole e azioni. 'Bellezza' è estetica, 'ricchezza' riguarda i beni, 'prontezza' è reattività."
"Sostantivo astratto: ambiguità","Quale parola indica la qualità di ciò che può essere interpretato in modi diversi?","ambiguità","brevità","solennità","leggerezza","'Ambiguità' è la possibilità di più interpretazioni. 'Brevità' è l'essere breve, 'solennità' è serietà formale, 'leggerezza' è mancanza di peso."
"Sostantivo astratto: appartenenza","Quale parola indica il sentirsi parte di un gruppo o di una comunità?","appartenenza","ricchezza","saggezza","freddezza","'Appartenenza' è il sentirsi parte di un gruppo ('senso di appartenenza'). 'Ricchezza' riguarda i beni, 'saggezza' è giudizio, 'freddezza' è distacco."
"Sostantivo astratto: contraddizione","Quale parola indica due affermazioni incompatibili tra loro?","contraddizione","esagerazione","ripetizione","descrizione","'Contraddizione' è l'incompatibilità tra affermazioni. 'Esagerazione' è amplificare, 'ripetizione' è ridire, 'descrizione' è raccontare."
"Sostantivo astratto: integrità","Quale parola indica l'adesione rigorosa a principi etici?","integrità","eleganza","abilità","pazienza","'Integrità' è l'adesione ai principi etici. 'Eleganza' è raffinatezza, 'abilità' è capacità tecnica, 'pazienza' è il saper aspettare."
"Sostantivo astratto: perseveranza","Quale parola indica la capacità di continuare nonostante le difficoltà?","perseveranza","velocità","allegria","bellezza","'Perseveranza' è il continuare nonostante gli ostacoli. 'Velocità' è rapidità, 'allegria' è gioia, 'bellezza' è estetica."
"Sostantivo astratto: presunzione","Quale parola indica l'atteggiamento di chi si sopravvaluta?","presunzione","timidezza","gentilezza","stanchezza","'Presunzione' è sopravvalutare sé stessi. 'Timidezza' è paura sociale, 'gentilezza' è cortesia, 'stanchezza' è mancanza di energia."
"Sostantivo astratto: rassegnazione","Quale parola indica l'accettazione passiva di qualcosa di negativo?","rassegnazione","allegria","curiosità","fretta","'Rassegnazione' è accettare passivamente il negativo. 'Allegria' è gioia, 'curiosità' è desiderio di sapere, 'fretta' è rapidità."
"Sostantivo astratto: lungimiranza","Quale parola indica la capacità di prevedere le conseguenze future delle proprie azioni?","lungimiranza","timidezza","pigrizia","allegria","'Lungimiranza' è vedere lontano nel tempo. 'Timidezza' è paura sociale, 'pigrizia' è mancanza di voglia, 'allegria' è gioia."
"Sostantivo astratto: serenità","Quale parola indica uno stato d'animo equilibrato e privo di turbamento?","serenità","ricchezza","rapidità","curiosità","'Serenità' è l'equilibrio interiore. 'Ricchezza' riguarda i beni, 'rapidità' è velocità, 'curiosità' è desiderio di sapere."
"Sostantivo astratto: diffidenza","Quale parola indica la tendenza a non fidarsi degli altri?","diffidenza","allegria","gentilezza","pigrizia","'Diffidenza' è non fidarsi. 'Allegria' è gioia, 'gentilezza' è cortesia, 'pigrizia' è mancanza di voglia."
"Sostantivo astratto: abnegazione","Quale parola indica il sacrificio totale di sé stessi per il bene altrui?","abnegazione","eleganza","curiosità","freddezza","'Abnegazione' è sacrificarsi per gli altri. 'Eleganza' è raffinatezza, 'curiosità' è desiderio di sapere, 'freddezza' è distacco."
"Sostantivo astratto: clemenza","Quale parola indica la disposizione a perdonare o a ridurre una punizione?","clemenza","rapidità","curiosità","timidezza","'Clemenza' è il perdonare o ridurre una pena: termine tipico del linguaggio giuridico. 'Rapidità' è velocità, 'curiosità' è desiderio di sapere, 'timidezza' è paura sociale."
"Sostantivo astratto: caparbietà","Quale parola indica una determinazione ostinata, anche a dispetto dei consigli contrari?","caparbietà","allegria","gentilezza","stanchezza","'Caparbietà' è determinazione ostinata. 'Allegria' è gioia, 'gentilezza' è cortesia, 'stanchezza' è mancanza di energia."
"Modo di dire: avere le mani in pasta","Il direttore ___ in tutti i progetti dell'azienda.","ha le mani in pasta","ha le mani bucate","ha le mani vuote","ha le mani d'oro","'Avere le mani in pasta' significa essere coinvolto in molte attività o affari. 'Avere le mani bucate' significa spendere troppo, 'avere le mani vuote' significa non avere nulla, 'avere le mani d'oro' significa essere abili manualmente."
"Modo di dire: prendere lucciole per lanterne","Non confondere le cose: stai ___!","prendendo lucciole per lanterne","prendendo il toro per le corna","prendendo due piccioni con una fava","prendendo la palla al balzo","'Prendere lucciole per lanterne' significa fraintendere completamente una situazione, scambiare una cosa per un'altra molto diversa."
"Modo di dire: Non tutte le ciambelle...","Il progetto è fallito, ma si sa: ___.","non tutte le ciambelle riescono col buco","l'abito non fa il monaco","chi dorme non piglia pesci","meglio tardi che mai","'Non tutte le ciambelle riescono col buco' significa che non tutto va sempre come previsto. È un modo per consolare dopo un insuccesso."
"Modo di dire: avere il dente avvelenato","Da anni cova rancore: ___ contro il suo ex socio.","ha il dente avvelenato","ha le mani bucate","ha il pollice verde","ha la testa tra le nuvole","'Avere il dente avvelenato' significa provare rancore duraturo verso qualcuno."
"Modo di dire: tirare acqua al proprio mulino","In quella discussione, ognuno cercava solo di ___.","tirare acqua al proprio mulino","gettare acqua sul fuoco","essere un pesce fuor d'acqua","fare un buco nell'acqua","'Tirare acqua al proprio mulino' significa agire solo nel proprio interesse. 'Gettare acqua sul fuoco' significa calmare una situazione, 'fare un buco nell'acqua' significa fallire."
"Modo di dire: fare orecchie da mercante","Gli ho chiesto aiuto più volte, ma lui continua a ___.","fare orecchie da mercante","fare il passo più lungo della gamba","fare il diavolo a quattro","fare le ore piccole","'Fare orecchie da mercante' significa fingere di non sentire, ignorare volutamente."
