"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Αφηρημένη έννοια: ελευθερία","Τι σημαίνει η λέξη «ελευθερία»;","Η δυνατότητα να κάνεις ό,τι θέλεις χωρίς περιορισμό","Η υποχρέωση να ακολουθείς τους κανόνες","Η ικανότητα να λύνεις δύσκολα προβλήματα","Ένα αίσθημα λύπης και απογοήτευσης","Η «ελευθερία» σημαίνει ότι είσαι ελεύθερος να επιλέγεις και να ενεργείς χωρίς να σε περιορίζει κανείς."
"Αφηρημένη έννοια: δικαιοσύνη","Τι σημαίνει η λέξη «δικαιοσύνη»;","Η δίκαιη και ίση μεταχείριση όλων","Η δύναμη να ελέγχεις τους άλλους","Η επιθυμία να εκδικηθείς κάποιον","Η ικανότητα να θυμάσαι λεπτομέρειες","Η «δικαιοσύνη» αφορά τη δίκαιη μεταχείριση: κάθε άνθρωπος αντιμετωπίζεται ισότιμα σύμφωνα με τους νόμους και τις αρχές."
"Αφηρημένη έννοια: θάρρος","Τι σημαίνει «θάρρος»;","Η δύναμη να κάνεις κάτι δύσκολο ή τρομακτικό παρά τον φόβο σου","Η ανικανότητα να νιώθεις πόνο","Η επιθυμία να αποφύγεις κάθε κίνδυνο","Η συνήθεια να λες πάντα την αλήθεια","Το «θάρρος» είναι η δύναμη να αντιμετωπίζεις αυτό που σε φοβίζει. Δεν σημαίνει απουσία φόβου, αλλά δράση παρά τον φόβο."
"Αφηρημένη έννοια: εμπιστοσύνη","Ποια λέξη ταιριάζει; «Μετά το ψέμα, έχασε την ___ της σε αυτόν.»","εμπιστοσύνη","υπομονή","περιέργεια","αδυναμία","Η «εμπιστοσύνη» είναι η πεποίθηση ότι κάποιος είναι αξιόπιστος και ειλικρινής. Μπορείς να χάσεις ή να κερδίσεις την εμπιστοσύνη κάποιου."
"Αφηρημένη έννοια: ευθύνη","Τι σημαίνει «ευθύνη»;","Η υποχρέωση να φροντίσεις κάτι ή να δεχτείς τις συνέπειες","Η ικανότητα να αντιδράς γρήγορα σε κίνδυνο","Ένα επίσημο έγγραφο που αποδεικνύει κάτι","Ένα αίσθημα ανακούφισης μετά από δύσκολη κατάσταση","Η «ευθύνη» σημαίνει ότι κάποιος έχει καθήκον να διασφαλίσει ότι κάτι πάει καλά και αποδέχεται τις συνέπειες αν δεν πάει."
"Αφηρημένη έννοια: αξιοπρέπεια","Τι σημαίνει «αξιοπρέπεια»;","Η αίσθηση ότι αξίζεις σεβασμό και ότι φέρεσαι με τιμή","Η ικανότητα να κερδίζεις χρήματα εύκολα","Η επιθυμία να γίνεις διάσημος","Η συνήθεια να βοηθάς τους άλλους","Η «αξιοπρέπεια» είναι η αίσθηση της αξίας και του σεβασμού που αξίζει κάθε άνθρωπος. Σχετίζεται με το να φέρεσαι με τιμή."
"Αφηρημένη έννοια: αλληλεγγύη","Τι σημαίνει «αλληλεγγύη»;","Η υποστήριξη και η ενότητα ανάμεσα σε ανθρώπους που αντιμετωπίζουν κοινές δυσκολίες","Η διαφωνία μεταξύ δύο ομάδων","Η ανικανότητα να αντιμετωπίσεις μόνος τα προβλήματά σου","Η τάση να ακολουθείς τους νόμους","Η «αλληλεγγύη» εκφράζει την ενότητα και την αλληλοϋποστήριξη — ανθρώπους που στέκονται ο ένας δίπλα στον άλλο σε δύσκολες στιγμές."
"Αφηρημένη έννοια: ισότητα","Ποια λέξη ταιριάζει; «Η ___ των δύο φύλων είναι θεμελιώδες δικαίωμα.»","ισότητα","ιδιοτέλεια","υπεροψία","απειλή","Η «ισότητα» σημαίνει ότι όλοι έχουν τα ίδια δικαιώματα και ευκαιρίες, ανεξάρτητα από φύλο, καταγωγή ή άλλα χαρακτηριστικά."
"Αφηρημένη έννοια: αδικία","Τι σημαίνει «αδικία»;","Η άνιση ή άδικη μεταχείριση ανθρώπων","Η αδυναμία να πάρεις μια απόφαση","Η επιθυμία να είσαι μόνος","Ένα αίσθημα ικανοποίησης για κάτι που πέτυχες","Η «αδικία» είναι το αντίθετο της δικαιοσύνης — όταν κάποιος αντιμετωπίζεται άνισα ή παράνομα."
"Αφηρημένη έννοια: συνείδηση","Τι σημαίνει «συνείδηση» στη φράση «η συνείδησή μου δεν μου το επιτρέπει»;","Η εσωτερική αίσθηση που σου λέει τι είναι σωστό ή λάθος","Η ικανότητα να θυμάσαι γεγονότα από το παρελθόν","Η ευαισθησία που νιώθεις μπροστά στον πόνο των άλλων","Η ικανότητα να αντιλαμβάνεσαι τι σκέφτονται οι άλλοι","Η «συνείδηση» είναι η εσωτερική φωνή που σε οδηγεί να διακρίνεις το σωστό από το λάθος και να ενεργείς με ηθικό τρόπο."
"Αφηρημένη έννοια: επιμονή","Ποια λέξη ταιριάζει; «Χάρη στην ___ της, τελικά πέτυχε.»","επιμονή","ζήλια","απόγνωση","απροσεξία","Η «επιμονή» είναι η ικανότητα να συνεχίζεις να προσπαθείς παρά τις δυσκολίες. Χάρη σε αυτή, πετυχαίνεις τελικά τους στόχους σου."
