"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك توافق على شيء تماماً؟","أوافق","أرفض","أشكّ","أعترض","أوافق تعني أنك تقبل الفكرة أو الرأي بالكامل."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك لا تقبل فكرة أو رأياً؟","أعترض","أوافق","أؤيّد","أتّفق","أعترض تعني أنك ترفض الفكرة ولا تقبلها."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك تساند شخصاً في رأيه؟","أؤيّد","أعارض","أنتقد","أتجاهل","أؤيّد تعني أنك تدعم الشخص وتقف معه."
"Arabic B1 Vocab 1","'أنا ___ أنّ التعليم مهمّ جداً.' ما الكلمة المناسبة؟","أعتقد","أنسى","أتذكّر","أتخيّل","أعتقد تعني أنّ لديك رأياً أو قناعة بشيء ما."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك تختلف مع شخص آخر؟","أختلف","أتّفق","أوافق","أؤيّد","أختلف تعني أنّ رأيك مختلف عن رأي الشخص الآخر."
"Arabic B1 Vocab 1","ما الكلمة التي تعني تقييم شيء سلبياً؟","أنتقد","أمدح","أشكر","أثني","أنتقد تعني أنك تذكر العيوب أو النقاط السلبية."
"Arabic B1 Vocab 1","'هذا الموضوع ___ جداً ولا بدّ من مناقشته.' ما الكلمة المناسبة؟","مهمّ","تافه","بسيط","عادي","مهمّ تعني أنّ الشيء له قيمة كبيرة ويستحقّ الاهتمام."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك تقدّم فكرة جديدة للمناقشة؟","أقترح","أرفض","أتراجع","أتردّد","أقترح تعني أنك تطرح فكرة أو حلاً للنظر فيه."
"Arabic B1 Vocab 1","'___ أنّ هذا القرار صحيح.' ما الكلمة التي تعني الشكّ؟","أشكّ","أؤكّد","أجزم","أتأكّد","أشكّ تعني أنك غير متأكّد وتحتاج دليلاً أكثر."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك تقبل رأياً وتراه صحيحاً؟","أتّفق","أعارض","أختلف","أرفض","أتّفق تعني أنّ رأيك يتوافق مع رأي الشخص الآخر."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك تُثبت شيئاً بقوّة؟","أؤكّد","أشكّ","أتردّد","أتساءل","أؤكّد تعني أنك متأكّد تماماً وتُثبت الأمر."
"Arabic B1 Vocab 1","'الناس ___ حول هذه القضية كثيراً.' ما الكلمة المناسبة؟","يتناقشون","يتّفقون","يصمتون","يتجاهلون","يتناقشون تعني أنهم يتبادلون الآراء ووجهات النظر."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنّ الشيء غير مهمّ؟","تافه","جوهري","أساسي","ضروري","تافه تعني أنّ الشيء ليس له قيمة أو أهمّية."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك تُعبّر عن فكرتك؟","أُعبّر","أُخفي","أكتم","أتجاهل","أُعبّر تعني أنك تقول ما تشعر به أو تفكّر فيه."
"Arabic B1 Vocab 1","'هذا الرأي ___ لأنه يعتمد على حقائق.' ما الكلمة المناسبة؟","مقنع","ضعيف","سخيف","مُمِلّ","مقنع تعني أنّ الرأي قويّ ويجعلك تصدّقه."
"Arabic B1 Vocab 1","ما الكلمة التي تعني رأياً سائداً في المجتمع؟","رأي عامّ","رأي شخصي","قرار فردي","حكم خاصّ","الرأي العامّ هو ما يعتقده أغلب الناس في المجتمع."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك تحسّ بسعادة كبيرة؟","فرح","حزن","غضب","خوف","الفرح هو شعور بالسعادة والسرور."
"Arabic B1 Vocab 1","ما الكلمة التي تعني شعوراً سلبياً عندما تفقد شيئاً عزيزاً؟","حزن","فرح","حماس","ارتياح","الحزن هو شعور بالألم النفسي عند فقدان شيء مهمّ."
"Arabic B1 Vocab 1","ما الكلمة التي تعني شعوراً قوياً عندما يُزعجك أحد؟","غضب","هدوء","سرور","راحة","الغضب هو شعور قويّ بالانزعاج تجاه شخص أو موقف."
"Arabic B1 Vocab 1","'شعرتُ بـ___ شديد قبل الامتحان.' ما الكلمة المناسبة؟","قلق","فرح","ارتياح","حماس","القلق هو شعور بالتوتّر والخوف ممّا سيحدث."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك تشعر بالأمان والهدوء؟","طمأنينة","خوف","قلق","توتّر","الطمأنينة هي شعور بالأمان والسكينة الداخلية."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك متحمّس ومتشوّق لشيء ما؟","حماس","ملل","إحباط","يأس","الحماس هو شعور بالإثارة والرغبة القوية في فعل شيء."
"Arabic B1 Vocab 1","'شعرتُ بـ___ عندما لم أنجح رغم محاولاتي.' ما الكلمة المناسبة؟","إحباط","نشاط","حماس","فرح","الإحباط هو شعور بخيبة الأمل عند عدم تحقيق الهدف."
"Arabic B1 Vocab 1","ما الكلمة التي تعني شعوراً بالخجل من فعل شيء سيّء؟","خجل","فخر","ثقة","شجاعة","الخجل هو شعور بالحرج أو العار من تصرّف ما."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك فقدت الأمل؟","يأس","أمل","تفاؤل","حماس","اليأس هو فقدان الأمل والشعور بأنّ الأمور لن تتحسّن."
"Arabic B1 Vocab 1","'أشعر بـ___ كبير تجاه إنجازاتي.' ما الكلمة المناسبة؟","فخر","خجل","ندم","حزن","الفخر هو شعور بالاعتزاز والرضا عن إنجاز ما."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك تشعر بالضيق لأنّ شيئاً لا يتغيّر؟","ملل","إثارة","حماس","فرح","الملل هو شعور بالضيق بسبب تكرار الأشياء وعدم التغيير."
"Arabic B1 Vocab 1","ما الكلمة التي تعني شعوراً بالراحة بعد انتهاء مشكلة؟","ارتياح","قلق","توتّر","خوف","الارتياح هو الشعور بالراحة بعد زوال مصدر القلق."
"Arabic B1 Vocab 1","'أحسّ بـ___ شديد لأنني آذيتُ صديقي.' ما الكلمة المناسبة؟","ندم","فرح","فخر","حماس","الندم هو الشعور بالأسف على فعل شيء خاطئ."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك تشعر بالحبّ والاحترام تجاه شخص؟","تقدير","احتقار","كراهية","ازدراء","التقدير هو شعور بالاحترام والامتنان تجاه شخص ما."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك تتعاطف مع شخص يعاني؟","شفقة","قسوة","لامبالاة","برود","الشفقة هي شعور بالتعاطف والرحمة تجاه من يعاني."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك تريد ما يملكه غيرك؟","غيرة","رضا","قناعة","كرم","الغيرة هي شعور بالرغبة في ما يملكه الآخرون."
"Arabic B1 Vocab 1","ما الكلمة التي تعني الرابط بين شخصين يتشاركان الحبّ؟","علاقة","عداوة","خلاف","جفاء","العلاقة هي الرابط والصلة بين شخصين أو أكثر."
"Arabic B1 Vocab 1","ما الكلمة التي تعني شخصاً تعرفه وتحبّه وتثق به؟","صديق","عدوّ","غريب","منافس","الصديق هو شخص قريب منك تربطك به محبّة وثقة."
"Arabic B1 Vocab 1","'___ بين الزوجين أساس الحياة الزوجية.' ما الكلمة المناسبة؟","الثقة","الشكّ","الخيانة","الكذب","الثقة هي الإيمان بصدق الشخص الآخر والاعتماد عليه."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنّ شخصين لا يتوافقان؟","خلاف","وفاق","انسجام","تناغم","الخلاف هو عدم الاتّفاق بين شخصين حول أمر ما."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك سامحت شخصاً أخطأ في حقّك؟","مسامحة","انتقام","عقاب","حقد","المسامحة هي أن تعفو عن شخص وتتجاوز عن خطئه."
"Arabic B1 Vocab 1","'نحتاج إلى ___ أكثر بيننا لحلّ المشاكل.' ما الكلمة المناسبة؟","تواصل","قطيعة","جفاء","تجاهل","التواصل هو تبادل الأفكار والمشاعر بين الأشخاص."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنك تحترم شخصاً وتقدّر قيمته؟","احترام","إهانة","استخفاف","تجاهل","الاحترام هو تقدير الشخص ومعاملته بأدب ولطف."
"Arabic B1 Vocab 1","ما الكلمة التي تعني العلاقة بين أفراد العائلة؟","رابطة عائلية","عداوة","غربة","وحدة","الرابطة العائلية هي الصلة القوية التي تجمع أفراد الأسرة."
"Arabic B1 Vocab 1","ما الكلمة التي تعني أنّ شخصين توقّفا عن التحدّث؟","قطيعة","صداقة","مودّة","قرب","القطيعة هي انقطاع التواصل والعلاقة بين شخصين."
