"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Arabic B1 Grammar 1","المصدر من الفعل «كَتَبَ» هو ___","كِتابة","كاتِب","مَكتوب","كُتُب","المصدر من «كَتَبَ» على وزن فِعالة: كِتابة"
"Arabic B1 Grammar 1","المصدر من الفعل «قَرَأَ» هو ___","قِراءة","قارِئ","مَقروء","قَرَأ","المصدر من «قَرَأَ» على وزن فِعالة: قِراءة"
"Arabic B1 Grammar 1","المصدر من الفعل «دَرَسَ» هو ___","دِراسة","دارِس","مَدروس","دُروس","المصدر من «دَرَسَ» على وزن فِعالة: دِراسة"
"Arabic B1 Grammar 1","المصدر من الفعل «سَبَحَ» هو ___","سِباحة","سابِح","مَسبوح","سُبُح","المصدر من «سَبَحَ» على وزن فِعالة: سِباحة"
"Arabic B1 Grammar 1","المصدر من الفعل «عَمِلَ» هو ___","عَمَل","عامِل","مَعمول","أعمال","المصدر من «عَمِلَ» على وزن فَعَل: عَمَل"
"Arabic B1 Grammar 1","المصدر من الفعل «فَهِمَ» هو ___","فَهْم","فاهِم","مَفهوم","فُهوم","المصدر من «فَهِمَ» على وزن فَعْل: فَهْم"
"Arabic B1 Grammar 1","المصدر من الفعل «جَلَسَ» هو ___","جُلوس","جالِس","مَجلوس","جَلَسات","المصدر من «جَلَسَ» على وزن فُعول: جُلوس"
"Arabic B1 Grammar 1","المصدر من الفعل «خَرَجَ» هو ___","خُروج","خارِج","مَخروج","خَرَجات","المصدر من «خَرَجَ» على وزن فُعول: خُروج"
"Arabic B1 Grammar 1","اسم الفاعل من «كَتَبَ» هو ___","كاتِب","كِتابة","مَكتوب","كُتُب","اسم الفاعل من الثلاثي على وزن فاعِل: كاتِب"
"Arabic B1 Grammar 1","اسم الفاعل من «دَرَسَ» هو ___","دارِس","دِراسة","مَدروس","دُروس","اسم الفاعل من الثلاثي على وزن فاعِل: دارِس"
"Arabic B1 Grammar 1","اسم الفاعل من «عَمِلَ» هو ___","عامِل","عَمَل","مَعمول","أعمال","اسم الفاعل من الثلاثي على وزن فاعِل: عامِل"
"Arabic B1 Grammar 1","اسم الفاعل من «جَلَسَ» هو ___","جالِس","جُلوس","مَجلوس","جَلَسة","اسم الفاعل من الثلاثي على وزن فاعِل: جالِس"
"Arabic B1 Grammar 1","اسم الفاعل من «سَمِعَ» هو ___","سامِع","سَمْع","مَسموع","سِماعة","اسم الفاعل من الثلاثي على وزن فاعِل: سامِع"
"Arabic B1 Grammar 1","اسم الفاعل من «قَرَأَ» هو ___","قارِئ","قِراءة","مَقروء","قُرّاء","اسم الفاعل من الثلاثي على وزن فاعِل: قارِئ"
"Arabic B1 Grammar 1","اسم الفاعل من «طَبَخَ» هو ___","طابِخ","طَبْخ","مَطبوخ","طَبّاخ","اسم الفاعل من الثلاثي على وزن فاعِل: طابِخ. طَبّاخ صيغة مبالغة"
"Arabic B1 Grammar 1","اسم الفاعل من «فَتَحَ» هو ___","فاتِح","فَتْح","مَفتوح","فُتوح","اسم الفاعل من الثلاثي على وزن فاعِل: فاتِح"
"Arabic B1 Grammar 1","اسم المفعول من «كَتَبَ» هو ___","مَكتوب","كاتِب","كِتابة","كُتُب","اسم المفعول من الثلاثي على وزن مَفعول: مَكتوب"
"Arabic B1 Grammar 1","اسم المفعول من «فَهِمَ» هو ___","مَفهوم","فاهِم","فَهْم","فُهوم","اسم المفعول من الثلاثي على وزن مَفعول: مَفهوم"
"Arabic B1 Grammar 1","اسم المفعول من «عَرَفَ» هو ___","مَعروف","عارِف","مَعرِفة","عُرْف","اسم المفعول من الثلاثي على وزن مَفعول: مَعروف"
"Arabic B1 Grammar 1","اسم المفعول من «طَبَعَ» هو ___","مَطبوع","طابِع","طِباعة","طَبْع","اسم المفعول من الثلاثي على وزن مَفعول: مَطبوع"
"Arabic B1 Grammar 1","اسم المفعول من «شَرِبَ» هو ___","مَشروب","شارِب","شُرْب","شَراب","اسم المفعول من الثلاثي على وزن مَفعول: مَشروب"
"Arabic B1 Grammar 1","اسم المفعول من «سَمِعَ» هو ___","مَسموع","سامِع","سَمْع","سِماعة","اسم المفعول من الثلاثي على وزن مَفعول: مَسموع"
"Arabic B1 Grammar 1","اسم المفعول من «قَرَأَ» هو ___","مَقروء","قارِئ","قِراءة","قُرّاء","اسم المفعول من الثلاثي على وزن مَفعول: مَقروء"
