"title","question","correct","wrong1","wrong2","wrong3","explanation"
"French A2 Grammar 1","Hier, j'___ mangé une pizza.","ai","suis","a","as","Au passé composé avec 'avoir', on dit 'j'ai mangé'."
"French A2 Grammar 1","Tu ___ fini tes devoirs ?","as","es","a","ai","'Tu' prend 'as' comme auxiliaire 'avoir' au passé composé."
"French A2 Grammar 1","Nous ___ vu un bon film.","avons","sommes","avez","ont","'Nous avons vu' est le passé composé de 'voir' avec 'avoir'."
"French A2 Grammar 1","Elle a ___ un livre intéressant.","lu","lisé","lit","lue","Le participe passé irrégulier de 'lire' est 'lu'."
"French A2 Grammar 1","J'ai ___ mes clés.","perdu","perdé","perds","perdre","Le participe passé de 'perdre' est 'perdu'."
"French A2 Grammar 1","Ils ont ___ une lettre à leur mère.","écrit","écrivé","écris","écrire","Le participe passé irrégulier de 'écrire' est 'écrit'."
"French A2 Grammar 1","Vous ___ fait les courses hier ?","avez","êtes","as","ont","'Vous' + 'avoir' au passé composé : 'vous avez fait'."
"French A2 Grammar 1","Marie a ___ son café.","bu","boire","bois","buvu","Le participe passé irrégulier de 'boire' est 'bu'."
"French A2 Grammar 1","J'ai ___ la télévision hier soir.","regardé","regarder","regarde","regardait","Passé composé : 'avoir' + participe passé 'regardé'."
"French A2 Grammar 1","Nous avons ___ nos amis au parc.","rencontré","rencontrer","rencontre","rencontrés","Avec 'avoir', le participe passé ne s'accorde pas avec le sujet."
"French A2 Grammar 1","Tu as ___ la réponse ?","compris","comprendu","comprends","comprendre","Le participe passé irrégulier de 'comprendre' est 'compris'."
"French A2 Grammar 1","Il a ___ beaucoup de travail aujourd'hui.","eu","avé","avoir","a","Le participe passé irrégulier de 'avoir' est 'eu'."
"French A2 Grammar 1","Je ___ allé au marché ce matin.","suis","ai","es","vais","Le verbe 'aller' utilise l'auxiliaire 'être' au passé composé."
