"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Greek A1 Grammar 2","«Κάθε πρωί εγώ ___ καφέ και μετά ___ στη δουλειά.» Ποιες είναι οι σωστές μορφές;","πίνω / πηγαίνω","πίνει / πηγαίνει","πίνεις / πηγαίνεις","πίνουμε / πηγαίνουμε","Και τα δύο ρήματα είναι Α' τάξης με υποκείμενο «εγώ», άρα καταλήγουν σε -ω: πίνω, πηγαίνω."
"Greek A1 Grammar 2","«Εσύ ___ πολύ γρήγορα.» Ποια είναι η σωστή μορφή;","τρέχεις","τρέχω","τρέχει","τρέχετε","Με το εσύ τα ρήματα Α' τάξης τελειώνουν σε -εις: εσύ τρέχεις."
"Greek A1 Grammar 2","«Η αδελφή μου ___ στο γραφείο.» Ποια είναι η σωστή μορφή;","δουλεύει","δουλεύω","δουλεύεις","δουλεύουμε","Με αυτός/αυτή/αυτό τα ρήματα Α' τάξης τελειώνουν σε -ει: αυτή δουλεύει."
"Greek A1 Grammar 2","«Εμείς ___ πολλά βιβλία στη σχολή.» Ποια είναι η σωστή μορφή;","διαβάζουμε","διαβάζω","διαβάζει","διαβάζουν","Με το εμείς τα ρήματα Α' τάξης τελειώνουν σε -ουμε: εμείς διαβάζουμε."
"Greek A1 Grammar 2","«Εσείς τι ώρα ___ το πρωί και πού ___;» Ποιες είναι οι σωστές μορφές;","ξυπνάτε / δουλεύετε","ξυπνάμε / δουλεύουμε","ξυπνάς / δουλεύεις","ξυπνά / δουλεύει","«Ξυπνώ» Β' τάξης → εσείς ξυπνάτε· «δουλεύω» Α' τάξης → εσείς δουλεύετε."
"Greek A1 Grammar 2","«Οι γείτονες ___ αργά το βράδυ.» Ποια είναι η σωστή μορφή;","γυρίζουν","γυρίζω","γυρίζεις","γυρίζετε","Με αυτοί/αυτές/αυτά τα ρήματα Α' τάξης τελειώνουν σε -ουν: αυτοί γυρίζουν."
"Greek A1 Grammar 2","«Ο Γιάννης και η Μαρία ___ στο θέατρο.» Ποια είναι η σωστή μορφή;","πηγαίνουν","πηγαίνει","πηγαίνουμε","πηγαίνετε","Υποκείμενο πληθυντικού τρίτου προσώπου: τα ρήματα Α' τάξης τελειώνουν σε -ουν."
"Greek A1 Grammar 2","«Το παιδί ___ μια ιστορία.» Ποια είναι η σωστή μορφή;","λέει","λέω","λες","λένε","Το «λέω» είναι ανώμαλο αλλά ακολουθεί κατάληξη -ει στο τρίτο ενικό: το παιδί λέει."
"Greek A1 Grammar 2","«Εμείς ___ στο σχολείο με τα πόδια.» Ποια είναι η σωστή μορφή;","πάμε","πάω","πας","πάει","Το ρήμα «πάω» είναι ανώμαλο: εγώ πάω, εσύ πας, αυτός πάει, εμείς πάμε."
"Greek A1 Grammar 2","«Εγώ ___ πολύ τη γιαγιά μου.» Ποια είναι η σωστή μορφή;","αγαπώ","αγαπάς","αγαπά","αγαπάμε","Με το εγώ τα ρήματα Β' τάξης τελειώνουν σε -ώ: εγώ αγαπώ."
"Greek A1 Grammar 2","«Εσύ ___ πάντα αργά στη δουλειά.» Ποια είναι η σωστή μορφή;","αργείς","αργώ","αργεί","αργούμε","Κάποια ρήματα Β' τάξης (β' υποομάδα) κλίνονται: εγώ αργώ, εσύ αργείς, αυτός αργεί."
"Greek A1 Grammar 2","«Ο παππούς ___ μια χαρά.» Ποια είναι η σωστή μορφή;","περνά","περνώ","περνάς","περνάτε","Με αυτός/αυτή/αυτό τα ρήματα Β' τάξης (-ώ α' υποομάδας) τελειώνουν σε -ά: αυτός περνά."
"Greek A1 Grammar 2","«Εμείς ___ πολλή ώρα για το λεωφορείο.» Ποια είναι η σωστή μορφή;","περιμένουμε","περιμένω","περιμένεις","περιμένουν","Το «περιμένω» είναι ρήμα Α' τάξης· με εμείς: περιμένουμε."
"Greek A1 Grammar 2","«Εσείς ___ πάντα αργά το βράδυ.» Ποια είναι η σωστή μορφή;","μιλάτε","μιλώ","μιλά","μιλάμε","Με το εσείς τα ρήματα Β' τάξης τελειώνουν σε -άτε: εσείς μιλάτε."
"Greek A1 Grammar 2","«Τα παιδιά ___ τους γονείς τους.» Ποια είναι η σωστή μορφή;","αγαπούν","αγαπώ","αγαπάς","αγαπάτε","Με αυτοί/αυτές/αυτά τα ρήματα Β' τάξης τελειώνουν σε -ούν ή -άνε: αυτά αγαπούν."
"Greek A1 Grammar 2","«Εγώ ___ από την Ελλάδα αλλά μένω στην Ιταλία.» Ποια είναι η σωστή μορφή;","είμαι","είσαι","είναι","είμαστε","Με το εγώ το ρήμα είμαι: εγώ είμαι."
"Greek A1 Grammar 2","«Εσύ ___ ο καλύτερός μου φίλος.» Ποια είναι η σωστή μορφή;","είσαι","είμαι","είναι","είστε","Με το εσύ: εσύ είσαι. Το -μαι ανήκει στο εγώ."
"Greek A1 Grammar 2","«Η μητέρα μου κι εγώ ___ από τη Θεσσαλονίκη.» Ποια είναι η σωστή μορφή;","είμαστε","είναι","είστε","είμαι","Όταν το υποκείμενο περιλαμβάνει «εγώ» (π.χ. «η μητέρα μου κι εγώ»), το ρήμα πάει στο α' πληθυντικό: είμαστε."
"Greek A1 Grammar 2","«Εμείς ___ πάντα έτοιμοι.» Ποια είναι η σωστή μορφή;","είμαστε","είμαι","είναι","είστε","Με το εμείς το ρήμα είμαι: εμείς είμαστε."
"Greek A1 Grammar 2","«Εσείς ___ πολύ ευγενικοί.» Ποια είναι η σωστή μορφή;","είστε","είμαι","είσαι","είμαστε","Με το εσείς το ρήμα είμαι: εσείς είστε."
"Greek A1 Grammar 2","«Εγώ ___ πονοκέφαλο σήμερα.» Ποια είναι η σωστή μορφή;","έχω","έχεις","έχει","έχουμε","Με το εγώ το ρήμα έχω: εγώ έχω."
"Greek A1 Grammar 2","«Εσύ ___ δίκιο, δεν διαφωνώ.» Ποια είναι η σωστή μορφή;","έχεις","έχω","έχει","έχουν","Με το εσύ το ρήμα έχω: εσύ έχεις."
"Greek A1 Grammar 2","«Η αδελφή μου ___ τρία παιδιά.» Ποια είναι η σωστή μορφή;","έχει","έχω","έχεις","έχουμε","Με αυτή το ρήμα έχω: αυτή έχει."
"Greek A1 Grammar 2","«Εμείς ___ πολλά σχέδια για το καλοκαίρι.» Ποια είναι η σωστή μορφή;","έχουμε","έχω","έχετε","έχουν","Με το εμείς το ρήμα έχω: εμείς έχουμε."
"Greek A1 Grammar 2","«Οι φοιτητές ___ εξετάσεις την άλλη εβδομάδα.» Ποια είναι η σωστή μορφή;","έχουν","έχω","έχει","έχουμε","Με αυτοί/αυτές/αυτά το ρήμα έχω: έχουν."
"Greek A1 Grammar 2","Ποιο άρθρο συνοδεύει τη λέξη «άντρας»;","ο","η","το","οι","Το «άντρας» είναι αρσενικό ουσιαστικό: ο άντρας."
"Greek A1 Grammar 2","Ποιο άρθρο συνοδεύει τη λέξη «νύχτα»;","η","ο","το","οι","Το «νύχτα» είναι θηλυκό σε -α: η νύχτα."
"Greek A1 Grammar 2","Ποιο άρθρο συνοδεύει τη λέξη «μάθημα»;","το","ο","η","οι","Τα ουδέτερα σε -μα παίρνουν «το»: το μάθημα, το γράμμα."
"Greek A1 Grammar 2","«___ καφές είναι ζεστός.» Ποιο άρθρο είναι σωστό;","Ο","Η","Το","Οι","Ο καφές είναι αρσενικό σε -ες: ο καφές."
"Greek A1 Grammar 2","«___ αγάπη είναι σημαντική.» Ποιο άρθρο είναι σωστό;","Η","Ο","Το","Τα","Η αγάπη είναι θηλυκό σε -η: η αγάπη."
