"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Trasporto: il treno","Come si chiama il veicolo che viaggia sui binari da una città all'altra?","il treno","l'autobus","la macchina","la bicicletta","Il treno viaggia sui binari. Puoi prendere il treno per andare da Roma a Milano."
"Trasporto: l'autobus","Quale veicolo pubblico si ferma spesso nelle strade della città per far salire le persone?","l'autobus","il treno","il tram","la metro","L'autobus si ferma alle fermate. Puoi prendere l'autobus per muoverti in città."
"Trasporto: il tram","Quale veicolo viaggia su rotaie dentro la città?","il tram","il treno","il taxi","la bicicletta","Il tram viaggia su rotaie nelle strade della città. Puoi trovarlo a Milano, Roma e Torino."
"Trasporto: la metro","Come si chiama il mezzo di trasporto che viaggia sotto terra?","la metro","il tram","l'autobus","il treno","La metro (metropolitana) viaggia sotto terra nelle grandi città come Roma e Milano."
"Trasporto: il taxi","Quale veicolo puoi chiamare per telefono per andare dove vuoi?","il taxi","l'autobus","il tram","la metro","Il taxi ti porta dove vuoi. Puoi chiamare un taxi per telefono o con un'app."
"Trasporto: l'aereo","Con quale mezzo vai in un altro paese lontano?","l'aereo","il treno","la nave","l'autobus","L'aereo vola e ti porta in paesi lontani. L'aereo parte dall'aeroporto."
"Trasporto: la nave","Quale mezzo di trasporto viaggia sull'acqua per lunghe distanze?","la nave","la barca","l'aereo","il treno","La nave è un grande mezzo di trasporto che viaggia sull'acqua, per esempio da Napoli alla Sardegna."
"Trasporto: la bicicletta","Come si chiama il veicolo a due ruote che usi con i pedali?","la bicicletta","lo scooter","la moto","il monopattino","La bicicletta ha due ruote e i pedali. Molti italiani usano la bicicletta in città."
"Trasporto: la moto","Quale veicolo a due ruote ha un motore ed è più veloce della bicicletta?","la moto","la bicicletta","lo scooter","il monopattino","La moto ha un motore potente ed è più veloce della bicicletta. Serve la patente per guidarla."
"Trasporto: lo scooter","Come si chiama un veicolo a due ruote, piccolo e pratico, molto usato in Italia?","lo scooter","la moto","la bicicletta","il monopattino","Lo scooter è un veicolo piccolo e pratico, molto popolare nelle città italiane."
"Trasporto: il traghetto","Come si chiama la nave che porta persone e macchine da un porto all'altro?","il traghetto","la nave","la barca","l'aereo","Il traghetto porta persone e veicoli. Puoi prendere il traghetto per andare in Sicilia o in Sardegna."
"Trasporto: il biglietto","Cosa devi comprare prima di salire sull'autobus o sul treno?","il biglietto","il passaporto","la valigia","la carta d'imbarco","Il biglietto è necessario per viaggiare con i mezzi pubblici. Senza biglietto puoi ricevere una multa."
"Trasporto: la fermata","Come si chiama il posto dove aspetti l'autobus?","la fermata","la stazione","il binario","l'uscita","La fermata è il posto dove aspetti l'autobus o il tram. Ci sono fermate in tutta la città."
"Trasporto: la stazione","Come si chiama il posto dove partono e arrivano i treni?","la stazione","la fermata","l'aeroporto","il porto","La stazione è il posto dove partono e arrivano i treni. Per esempio, Roma Termini è una stazione famosa."
"Trasporto: il binario","Su quale parte della stazione arriva il treno?","il binario","la fermata","l'uscita","l'entrata","Il binario è la parte della stazione dove il treno si ferma. Per esempio: il treno arriva al binario 5."
"Trasporto: l'abbonamento","Come si chiama il biglietto che puoi usare molte volte, per esempio per un mese?","l'abbonamento","il biglietto","la multa","il supplemento","L'abbonamento è un tipo di biglietto che puoi usare per un periodo lungo, come un mese o un anno."
"Viaggi: la valigia","In cosa metti i vestiti quando vai in vacanza?","la valigia","la borsa","lo zaino","la scatola","La valigia è grande e ci metti i vestiti e le cose per il viaggio."
"Viaggi: il passaporto","Quale documento ti serve per viaggiare in Giappone o negli Stati Uniti?","il passaporto","la patente","la carta d'identità","il biglietto","Il passaporto è il documento per viaggiare fuori dall'Europa. Lo mostri al controllo in aeroporto."
"Viaggi: la carta d'imbarco","Quale documento mostri al gate prima di salire sull'aereo?","la carta d'imbarco","il passaporto","il biglietto","la patente","La carta d'imbarco ha il numero del tuo posto. La mostri al gate prima di salire sull'aereo."
"Viaggi: il bagaglio","Come si chiama tutto quello che porti con te quando viaggi?","il bagaglio","la valigia","la borsa","lo zaino","Il bagaglio è tutto quello che porti: valigie, borse, zaini. In aereo c'è il bagaglio a mano e quello in stiva."
"Viaggi: la prenotazione","Come si chiama quando prenoti un hotel o un volo in anticipo?","la prenotazione","la conferma","l'arrivo","la partenza","La prenotazione è quando riservi un posto in anticipo, per esempio in un hotel o su un volo."
"Viaggi: il ritardo","Come si chiama quando il treno arriva più tardi del previsto?","il ritardo","la partenza","l'arrivo","la cancellazione","Il ritardo è quando qualcosa arriva tardi. Per esempio: il treno ha dieci minuti di ritardo."
"Viaggi: la partenza","Come si chiama il momento in cui il treno lascia la stazione?","la partenza","l'arrivo","il ritardo","la fermata","La partenza è il momento in cui il treno o l'aereo parte. Il contrario della partenza è l'arrivo."
"Viaggi: l'arrivo","Come si chiama il momento in cui arrivi alla tua destinazione?","l'arrivo","la partenza","la coincidenza","la destinazione","L'arrivo è il momento in cui arrivi dove volevi andare. Il contrario è la partenza."
