"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Greeting: morning","You see your teacher at 8 a.m. What do you say?","Good morning","Good evening","Good night","Goodbye","We say 'Good morning' when we meet someone before 12 p.m."
"Greeting: evening","You arrive at a dinner party at 7 p.m. What do you say?","Good evening","Good morning","Good night","Good day","'Good evening' is used when you meet someone after about 6 p.m."
"Farewell: bedtime","Your child is going to sleep. What do you say?","Good night","Good evening","Good morning","Goodbye","'Good night' is what we say when someone is going to bed."
"Greeting: informal","You see your friend at school. What do you say?","Hi","Goodbye","Good night","See you later","'Hi' is a friendly, informal greeting we use with people we know."
"Farewell: leaving","You are leaving a shop. What do you say to the shopkeeper?","Goodbye","Hello","Good morning","Welcome","'Goodbye' is what we say when we leave or someone else leaves."
"Greeting: first meeting","Someone introduces you to a new colleague. What do you say?","Nice to meet you","See you later","Goodbye","Good night","When you meet someone for the first time, you say 'Nice to meet you.'"
"Greeting: how are you","A friend asks 'How are you?' You feel good. What do you say?","I'm fine, thank you","Goodbye","Good night","See you tomorrow","'I'm fine, thank you' is a common answer when someone asks how you are."
"Farewell: see you","You are leaving work. You will see your colleague tomorrow. What do you say?","See you tomorrow","Good morning","Welcome","Nice to meet you","'See you tomorrow' means you plan to meet the person the next day."
"Number: dozen","A 'dozen' eggs means how many eggs?","12","10","6","20","A dozen always means 12. This is a very common word in English."
"Number: pair","A 'pair' of shoes means how many shoes?","2","1","3","4","A pair means two things that go together, like shoes, gloves, or socks."
"Number: teen vs. ty","Which number is 'fifteen'?","15","50","5","55","Numbers ending in '-teen' are 13-19. 'Fifteen' = 15. 'Fifty' = 50."
"Number: spelling","Which number is spelled 'forty'?","40","14","44","4","'Forty' is the correct spelling of 40. Note: there is no 'u' — it is NOT 'fourty.'"
"Number: twenty","How do you write the number 'twenty-three'?","23","32","13","33","'Twenty' = 20. 'Twenty-three' = 20 + 3 = 23."
"Number: hundred","'One hundred' is which number?","100","10","1000","110","'One hundred' = 100. 'Ten' = 10. 'One thousand' = 1000."
"Number: sequence","What number comes after sixty-nine?","70","68","71","60","After 69 comes 70 (seventy). Each group of ten has a name: sixty, seventy, eighty..."
"Number: word form","Which is the correct word for 80?","eighty","eighteen","eight","eightty","80 is 'eighty.' Be careful: 18 is 'eighteen' and 8 is 'eight.'"
"Ordinal: first","You win a race. You are number one. You are in ___ place.","first","one","second","last","When we talk about position, we use ordinal numbers: first (1st), second (2nd), third (3rd)."
"Ordinal: third","Monday is the 1st day, Tuesday is the 2nd day. What is Wednesday?","the third day","the four day","the two day","the one day","Wednesday is the 3rd day. We say 'third' not 'three' for positions."
"Ordinal: spelling","Which is the correct ordinal form of 5?","fifth","fiveth","fivth","five","5th is 'fifth.' The 've' in 'five' changes to 'f' and we add '-th.'"
"Color: sky","On a clear day, the sky is ___.","blue","red","green","yellow","The sky is blue on a sunny day with no clouds."
"Color: grass","In spring, the grass in the park is ___.","green","blue","white","purple","Grass is green. Green is the color of most plants and leaves."
"Color: stop sign","A stop sign is ___.","red","blue","green","yellow","Stop signs are red. Red often means 'stop' or 'danger.'"
"Color: banana","What color is a banana when it is ready to eat?","yellow","green","red","blue","A ripe banana is yellow. An unripe banana is green."
"Color: snow","What color is snow?","white","grey","blue","brown","Snow is white. 'White' describes the color of snow, milk, and paper."
"Color: night sky","At midnight, the sky looks ___.","black","white","green","yellow","The night sky appears black. 'Black' is the darkest color."
"Color: mix","You mix red and blue paint together. What color do you get?","purple","green","orange","yellow","Red + blue = purple. Purple is the color of grapes and some flowers."
"Color: sunset","A carrot and a sunset can both be this color: ___.","orange","pink","green","blue","Carrots and sunsets are often orange. Orange is between red and yellow."
"Day: after weekend","In Europe, the working week starts the day after Sunday. That day is ___.","Monday","Tuesday","Friday","Saturday","The day after Sunday is Monday, which starts the European working week."
"Day: weekend","Which two days are the weekend?","Saturday and Sunday","Monday and Tuesday","Wednesday and Thursday","Tuesday and Wednesday","The weekend is Saturday and Sunday. Most people do not work these days."
"Day: after Wednesday","What day comes after Wednesday?","Thursday","Tuesday","Friday","Monday","The order is: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday."
"Day: before Friday","What day comes before Friday?","Thursday","Saturday","Wednesday","Monday","Thursday comes right before Friday in the week."
"Day: count","How many days are in one week?","7","5","6","10","One week has 7 days: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday."
"Month: first","Which is the first month of the year?","January","March","December","February","January is month number 1. The year starts on January 1st."
"Month: last","Which is the last month of the year?","December","November","January","October","December is month 12 — the last month. New Year's Eve is December 31st."
"Month: after March","What month comes after March?","April","May","February","June","The order is: January, February, March, April, May, June..."
"Month: short month","Which month has only 28 or 29 days?","February","January","March","April","February is the shortest month. It usually has 28 days, or 29 in a leap year."
"Month: summer","In the northern hemisphere, which month is usually the hottest?","July","January","March","November","July is in the middle of summer in the northern hemisphere."
"Month: count","How many months are in one year?","12","10","52","7","One year has 12 months. (52 is the number of weeks. 7 is the number of days in a week.)"
"Time: noon","'Noon' means ___.","12:00 in the afternoon","12:00 at night","6:00 in the morning","3:00 in the afternoon","Noon is exactly 12:00 in the middle of the day. 12:00 at night is 'midnight.'"
"Time: midnight","'Midnight' means ___.","12:00 at night","12:00 in the afternoon","6:00 in the evening","9:00 at night","Midnight is exactly 12:00 at night — the start of a new day."
"Time: a.m.","Your alarm rings at 7 a.m. Is that morning or evening?","morning","evening","afternoon","night","'A.m.' means before noon (from the Latin 'ante meridiem'). 7 a.m. is in the morning."
"Time: p.m.","A meeting at 3 p.m. is in the ___.","afternoon","morning","midnight","sunrise","'P.m.' means after noon. 3 p.m. is in the afternoon."
"Time: half past","'Half past two' means ___.","2:30","2:15","1:30","2:45","'Half past' means 30 minutes after the hour. Half past two = 2:30."
"Time: quarter past","'Quarter past nine' means ___.","9:15","9:45","9:30","8:15","'Quarter past' means 15 minutes after the hour. Quarter past nine = 9:15."
"Time: o'clock","'It is five o'clock' means ___.","5:00","5:30","5:15","5:05","'O'clock' means exactly on the hour, with zero minutes. Five o'clock = 5:00."
"Time: yesterday","Today is Thursday. What was yesterday?","Wednesday","Friday","Tuesday","Saturday","'Yesterday' means the day before today. The day before Thursday is Wednesday."
"Time: day after tomorrow","Today is Monday. What is 'the day after tomorrow'?","Wednesday","Tuesday","Sunday","Thursday","'The day after tomorrow' = 2 days from now. Monday + 2 = Wednesday."
"Greeting: on the phone","You answer the phone at work. What do you say first?","Hello","Goodbye","Good night","See you later","'Hello' is the standard way to answer the phone in English."
"Farewell: informal","Your friend leaves the cafe. You say: '___!'","Bye","Hello","Welcome","Morning","'Bye' is a short, informal way to say goodbye to friends."
"Number: ordinal date","The meeting is on the ___ of May. (= May 2)","second","two","twice","twos","For dates, we use ordinal numbers: 'the second of May' = May 2nd."
