"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Arabic B2+ Grammar 1","إنّ الحقَّ ___ واضحٌ.","لَ","قد","ما","لن","لام التوكيد تأتي بعد إنّ لتأكيد الخبر: إنّ الحقَّ لَواضحٌ."
"Arabic B2+ Grammar 1","إنّ الوطنَ ___ غالٍ على قلوبنا.","لَ","في","مِن","عن","لام التوكيد تدخل على خبر إنّ لتقوية المعنى."
"Arabic B2+ Grammar 1","___ الصدقَ أساسُ كلِّ علاقةٍ.","إنّ","أنّ","لكنّ","كأنّ","إنّ تأتي في أول الجملة لتأكيد المعنى."
"Arabic B2+ Grammar 1","إنّ المسؤوليةَ ___ كبيرةٌ.","لَ","لا","لم","لن","لام التوكيد تُستخدم مع إنّ لتأكيد الخبر."
"Arabic B2+ Grammar 1","___ نجحَ في الامتحان.","قد","سوف","لن","لم","قد + الفعل الماضي تفيد التحقيق والتأكيد."
"Arabic B2+ Grammar 1","___ وصلَ الوفدُ إلى المطار.","قد","قد لا","سوف","لم","قد مع الماضي تؤكد وقوع الفعل."
"Arabic B2+ Grammar 1","إنّ الجهودَ ___ مُقدَّرةٌ.","لَ","ما","لم","قد","لام التوكيد تدخل على خبر إنّ للتوكيد."
"Arabic B2+ Grammar 1","___ أثبتتِ الدراساتُ ذلك.","قد","لن","سوف","ما","قد + الماضي تفيد التحقيق."
"Arabic B2+ Grammar 1","إنّ ___ لَخيرُ ما يُقدَّمُ للأجيال.","العلمَ","العلمُ","العلمِ","العلمْ","اسم إنّ منصوب، ولام التوكيد تدخل على الخبر."
"Arabic B2+ Grammar 1","___ انتهى الاجتماعُ بنجاح.","لقد","لن","سوف","إنّما","لقد تُستخدم لتأكيد وقوع الفعل الماضي."
"Arabic B2+ Grammar 1","___ كذلك؟","أليسَ","ألن","ألم","أإنّ","أليسَ كذلك صيغة استفهام تأكيدي شائعة."
"Arabic B2+ Grammar 1","___ كان يجبُ أن نتدخّلَ؟","أما","ألا","أليسَ","ألن","أما كان يجب... استفهام إنكاري يُفيد اللوم."
"Arabic B2+ Grammar 1","___ من الأفضلِ أن ننتظرَ؟","أليسَ","أما","ألن","ألم","أليسَ من الأفضل... سؤال بلاغي يُفيد الاقتراح."
"Arabic B2+ Grammar 1","___ تعلمون أنّ الوقتَ محدودٌ؟","ألا","أليسَ","أما","ألن","ألا تعلمون... استفهام إنكاري يفيد التنبيه."
"Arabic B2+ Grammar 1","___ حانَ الوقتُ للتغيير؟","أما","ألا","أليسَ","ألن","أما حان الوقت... سؤال بلاغي يُفيد الحثّ."
"Arabic B2+ Grammar 1","___ يكفي ما حدثَ؟","ألا","أما","ألم","ألن","ألا يكفي... استفهام إنكاري بمعنى: يكفي ذلك."
"Arabic B2+ Grammar 1","___ كان الأجدرُ بنا التحرُّكَ مبكراً؟","أما","ألا","أليسَ","ألن","أما كان الأجدر... استفهام إنكاري يفيد العتاب."
"Arabic B2+ Grammar 1","___ من واجبنا المساعدةُ؟","أليسَ","أما","ألا","ألن","أليسَ من واجبنا... سؤال بلاغي يُفيد التذكير بالواجب."
"Arabic B2+ Grammar 1","___ ترى أنّ الوضعَ خطيرٌ؟","ألا","أليسَ","أما","ألن","ألا ترى... استفهام إنكاري للتنبيه."
"Arabic B2+ Grammar 1","___ هذا ما كنّا نخشاه؟","أليسَ","ألا","أما","ألن","أليسَ هذا... سؤال بلاغي يُقرّر حقيقة."
"Arabic B2+ Grammar 1","تمّتِ ___ المشروعِ بنجاح. (صيغة المبني للمجهول)","الموافقةُ على","موافقة","الموافقةُ في","الموافقةُ من","في لغة الإعلام يُفضَّل المبني للمجهول مع التسمية: تمّت الموافقة على."
"Arabic B2+ Grammar 1","___ القرارُ في الجلسة الأخيرة. (صيغة رسمية)","اتُّخِذَ","اتَّخذَ","يتّخذُ","اتّخذوا","في الأسلوب الرسمي يُفضَّل المبني للمجهول: اتُّخِذَ القرارُ."
