"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Vestiti: parole base","Cosa porti ai piedi?","le scarpe","i guanti","la sciarpa","il cappello","Le scarpe si portano ai piedi. Per esempio: scarpe da ginnastica."
"Vestiti: parole base","Cosa porti quando fa freddo fuori?","la giacca","la gonna","la maglietta","i sandali","Quando fa freddo, porti una giacca per stare al caldo."
"Vestiti: parole base","I pantaloni si portano ___.","sulle gambe","sulle braccia","sulla testa","sui piedi","I pantaloni coprono le gambe, dalla vita fino ai piedi."
"Vestiti: parole base","Cos'è una gonna?","un indumento che copre dalla vita alle gambe","un cappello di lana per l'inverno","una scarpa elegante con il tacco","una cintura di pelle marrone","La gonna copre dalla vita alle gambe. È un indumento tipico femminile."
"Vestiti: parole base","Cosa porti sulla testa quando fa freddo?","il cappello","la cintura","la scarpa","la camicia","Il cappello si porta sulla testa, spesso in inverno."
"Vestiti: parole base","Una camicia ha i ___.","bottoni","lacci","tacchi","elastici","Una camicia è un indumento formale con i bottoni davanti."
"Vestiti: parole base","I calzini si portano ___.","ai piedi","alle mani","al collo","alla vita","I calzini si portano ai piedi, dentro le scarpe."
"Vestiti: parole base","La cintura si porta ___.","in vita","al collo","sulla testa","ai piedi","La cintura si porta in vita per tenere su i pantaloni."
"Vestiti: parole base","Cos'è un vestito?","un indumento intero da donna","un paio di pantaloni corti","una giacca pesante invernale","una scarpa sportiva leggera","Un vestito è un indumento intero, dalla spalla fino alle gambe."
"Vestiti: parole base","I guanti si portano ___.","alle mani","ai piedi","alla vita","sulla testa","I guanti proteggono le mani dal freddo."
"Vestiti: parole base","Quando fa molto caldo, porti ___.","una maglietta","un cappotto","una sciarpa","i guanti","La maglietta è leggera e fresca, perfetta per l'estate."
"Vestiti: parole base","La sciarpa si porta ___.","al collo","alla vita","ai piedi","sulle gambe","La sciarpa si porta al collo per proteggere dal freddo."
"Vestiti: parole base","Cosa sono le ciabatte?","scarpe leggere per la casa","guanti pesanti per l'inverno","pantaloni corti per l'estate","cappelli eleganti per le feste","Le ciabatte sono scarpe comode che porti in casa."
