"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Modaal: kunnen vervoeging","Wij ___ morgen helaas niet komen.","kunnen","kunt","kunnen wij","kunde","Bij 'wij' hoort de meervoudsvorm 'kunnen'. 'Kunt' is enkelvoud (u/jij-inversie), 'kunnen wij' herhaalt het onderwerp en 'kunde' bestaat niet als werkwoordsvorm."
"Modaal: kunnen inversie u","___ u mij even de weg wijzen?","Kunt","Kunnen","Kunde","Kunst","Bij het formele 'u' is de vorm 'kunt': 'Kunt u...?' 'Kunnen' is meervoud zonder inversie, 'kunde' en 'kunst' zijn geen werkwoordsvormen."
"Modaal: moeten vervoeging","Hij ___ nog een formulier invullen voordat hij kan vertrekken.","moet","moeten","moest hij","moetten","Bij 'hij' (3e persoon enkelvoud) hoort 'moet'. 'Moeten' is meervoud, 'moest hij' herhaalt het onderwerp en 'moetten' bestaat niet."
"Modaal: moeten verleden tijd","Gisteren ___ ik om zes uur opstaan.","moest","moet","moesten","gemoeten","'Moest' is de verleden tijd enkelvoud van 'moeten'. 'Moet' is tegenwoordige tijd, 'moesten' is meervoud en 'gemoeten' is een voltooid deelwoord dat hier niet past."
"Modaal: willen vervoeging u","___ u iets drinken, meneer?","Wilt","Wille","Willen","Wilde u","Bij het formele 'u' is de standaardvorm 'wilt': 'Wilt u...?' 'Wille' bestaat niet als werkwoordsvorm, 'willen' is meervoud en 'wilde u' is verleden tijd."
"Modaal: willen vervoeging jij","___ jij nog een stukje taart?","Wil","Wilt","Willen","Wille","Na inversie met 'jij' valt de -t weg: 'Wil jij...?' 'Wilt' hoort bij 'u', 'willen' is meervoud en 'wille' bestaat niet."
"Modaal: mogen verleden tijd","Vroeger ___ wij van onze ouders niet buiten spelen na het donker.","mochten","mogen","mocht","gemocht","'Mochten' is de verleden tijd meervoud van 'mogen'. 'Mogen' is tegenwoordige tijd, 'mocht' is enkelvoud en 'gemocht' is een voltooid deelwoord dat hier niet past."
"Modaal: mogen vs moeten toestemming","Op deze stoep ___ je niet fietsen; er staat een bord.","mag","moest","mogen","magst","'Mag' (2e persoon enkelvoud 'je') drukt toestemming uit: hier wordt het verboden. 'Moest' is verleden tijd en past niet bij 'je' in het heden, 'mogen' is meervoud en 'magst' bestaat niet in het Nederlands."
"Modaal: hoeven + niet + te","Je ___ vandaag niet te koken, ik doe het wel.","hoeft","moet","hoef","hoeven","Bij 'je' hoort 'hoeft'. 'Hoeven' wordt ook gebruikt met 'te + infinitief'. 'Moet' combineert nooit met 'te' in 'moet niet te'. 'Hoef' is 1e persoon (ik) en 'hoeven' is meervoud."
"Modaal: hoeven + te","Hij hoeft dat boek niet ___.","te lezen","lezen","gelezen","te gelezen","Na 'hoeven' komt 'te + infinitief'. 'Lezen' zonder 'te' is fout bij 'hoeven'. 'Gelezen' is een voltooid deelwoord en 'te gelezen' is geen bestaande vorm."
