"title","question","correct","wrong1","wrong2","wrong3","explanation"
"French B2 Grammar 2","Quoiqu'elle ___ toutes les consignes, le résultat reste décevant.","ait suivies","ait suivi","aies suivies","a suivies","Subjonctif passé avec COD antéposé 'que' (= les consignes, fém. plur.): 'ait suivies'. 'ait suivi' manque l'accord obligatoire; 'aies' est 2e pers.; 'a suivies' est l'indicatif."
"French B2 Grammar 2","Je crains qu'ils ne se ___ trompés de chemin.","soient","aient","soyent","sois","Subjonctif passé d'un verbe pronominal: auxiliaire 'être' 3e pers. plur. = 'soient'. 'aient' est le mauvais auxiliaire; 'soyent' n'existe pas; 'sois' est 2e pers. sing."
"French B2 Grammar 2","Bien que la pluie ___ tombée toute la nuit, les rues sont sèches.","soit","ait","soie","sois","Subjonctif passé avec 'tomber' (verbe intransitif de mouvement) → auxiliaire 'être' 3e pers. sing. = 'soit'. 'ait' est le mauvais auxiliaire; 'soie' et 'sois' n'existent pas à cette personne."
"French B2 Grammar 2","Il se peut que nous nous ___ mal compris l'un l'autre.","soyons","ayons","soyions","sommes","Verbe pronominal au subjonctif passé: auxiliaire 'être' 1re pers. plur. = 'soyons'. 'ayons' est le mauvais auxiliaire; 'soyions' n'existe pas; 'sommes' est l'indicatif."
"French B2 Grammar 2","C'est le film le plus ennuyeux que j'___ vu.","aie jamais","ai jamais","aies jamais","aye jamais","Après un superlatif, subjonctif passé 1re pers. sing. = 'aie'. 'ai' est l'indicatif; 'aies' est 2e pers.; 'aye' n'existe pas."
"French B2 Grammar 2","Pourvu qu'elles ___ bien arrivées avant la tempête!","soient","aient","soyent","soit","Subjonctif passé avec 'arriver' → 'être' 3e pers. plur. = 'soient'. 'aient' est le mauvais auxiliaire; 'soyent' n'existe pas; 'soit' est singulier."
"French B2 Grammar 2","Je suis étonné que vous vous ___ souvenus de mon anniversaire.","soyez","ayez","soyiez","êtes","Verbe pronominal 'se souvenir' au subjonctif passé → 'être' 2e pers. plur. = 'soyez'. 'ayez' est le mauvais auxiliaire; 'soyiez' n'existe pas; 'êtes' est l'indicatif."
"French B2 Grammar 2","Il n'y a personne qui ___ pu résoudre ce problème.","ait","aie","aies","aient","Après 'personne qui', subjonctif 3e pers. sing. = 'ait'. 'aie' est 1re pers.; 'aies' est 2e pers.; 'aient' est pluriel alors que 'personne' est singulier."
"French B2 Grammar 2","Je ne crois pas qu'elle se ___ rendu compte de son erreur.","soit","ait","sois","est","'Se rendre compte' pronominal au subjonctif passé → 'être' 3e pers. sing. = 'soit'. 'ait' est le mauvais auxiliaire; 'sois' est 2e pers.; 'est' est l'indicatif."
"French B2 Grammar 2","Bien que les enfants se ___ couchés tard, ils se sont levés tôt.","soient","aient","soyent","étaient","Verbe pronominal 'se coucher' au subjonctif passé → 'être' 3e pers. plur. = 'soient'. 'aient' est le mauvais auxiliaire; 'soyent' n'existe pas; 'étaient' est l'indicatif."
"French B2 Grammar 2","Elle m'a juré qu'elle ne ___ jamais auparavant.","avait menti","avait menté","a menti","aurait menti","Antériorité dans le passé: plus-que-parfait 'avait menti'. 'menté' n'existe pas; 'a menti' rompt la concordance (présent); 'aurait menti' exprime un futur antérieur du passé, pas une antériorité factuelle."
"French B2 Grammar 2","Il croyait que nous ___ déjà partis quand il a téléphoné.","étions","avions","serions","sommes","Antériorité + verbe 'partir' = plus-que-parfait avec 'être' 1re pers. plur. 'étions partis'. 'avions' est le mauvais auxiliaire; 'serions' est conditionnel; 'sommes' rompt la concordance."
"French B2 Grammar 2","Elle a promis qu'elle m'___ dès son arrivée.","écrirait","écrira","écrivait","écrirais","Futur dans le passé = conditionnel présent 3e pers. sing. 'écrirait'. 'écrira' est futur simple (rompt la concordance); 'écrivait' est imparfait (simultanéité); 'écrirais' est 1re/2e pers."
"French B2 Grammar 2","Le témoin a affirmé qu'il ___ le suspect la veille au soir.","avait vu","a vu","voyait","aurait vue","Antériorité dans le passé: plus-que-parfait 'avait vu'. 'a vu' rompt la concordance; 'voyait' est imparfait (simultanéité); 'aurait vue' ajoute un accord erroné et un sens conditionnel."
"French B2 Grammar 2","Je pensais que tu ___ fini tes devoirs avant le lendemain matin.","aurais","aurait","avaies","aurais eu","Futur antérieur dans le passé = conditionnel passé 'aurais fini' 2e pers. sing. 'aurait' est 3e pers.; 'avaies' n'existe pas; 'aurais eu fini' est une forme impossible."
"French B2 Grammar 2","Il m'a dit qu'il ne ___ pas revenu depuis des années.","était","avait","serait","est","'Revenir' se conjugue avec 'être' au plus-que-parfait: 'était revenu'. 'avait' est le mauvais auxiliaire; 'serait' est conditionnel; 'est' rompt la concordance."
"French B2 Grammar 2","Les enquêteurs soupçonnaient que les documents ___ détruits la nuit précédente.","avaient été","ont été","étaient","auraient","Passif au plus-que-parfait: 'avaient été détruits'. 'ont été' rompt la concordance; 'étaient' donne un présent passif du passé (simultanéité, pas antériorité); 'auraient' seul est incomplet."
"French B2 Grammar 2","Elle se demandait si son fils ___ à temps pour la cérémonie du lendemain.","arriverait","arrivera","arriverais","arriveriont","Futur dans le passé en discours indirect: conditionnel présent 3e pers. sing. 'arriverait'. 'arrivera' est futur simple (rompt la concordance après un verbe au passé); 'arriverais' est 1re/2e pers.; 'arriveriont' n'existe pas."
