"title","question","correct","wrong1","wrong2","wrong3","explanation"
"French B2 Vocab 2","Formule d'ouverture d'un courriel formel à un destinataire inconnu :","Madame, Monsieur,","Cher collègue,","Monsieur le Directeur,","À qui de droit,","'Madame, Monsieur,' est la formule d'appel standard quand on ignore le destinataire. 'Cher collègue' suppose une relation établie ; 'Monsieur le Directeur' suppose un titre connu ; 'À qui de droit' est un calque anglais non standard."
"French B2 Vocab 2","Formule de politesse standard de clôture d'un courrier administratif :","Veuillez agréer mes salutations distinguées.","Merci de votre retour rapide.","Avec mes meilleures salutations.","Dans l'espoir de votre réponse favorable.","'Veuillez agréer mes salutations distinguées' est la clôture consacrée d'un courrier administratif. 'Merci de votre retour rapide' est informel ; 'avec mes meilleures salutations' est semi-formel, insuffisant pour l'administratif ; 'dans l'espoir de votre réponse favorable' est une formule d'attente, pas de clôture."
"French B2 Vocab 2","Équivalent soutenu de 'commencer' dans : 'Le président ___ son discours.' (collocation fixe)","entame","inaugure","débute de","engage","'Entamer un discours' est la collocation figée en registre soutenu. 'Inaugurer' s'emploie pour un lieu ou un événement ; 'débuter de' est agrammatical (on dit 'débuter', jamais 'débuter de') ; 'engager' se dit pour une action ou un processus, pas un discours."
"French B2 Vocab 2","Registre soutenu de 'faire un travail' :","effectuer une tâche","réaliser un labeur","mener une besogne","conduire un ouvrage","'Effectuer une tâche' est la formulation neutre et soutenue. 'Labeur' est littéraire/vieilli ; 'besogne' a une connotation péjorative ; 'conduire un ouvrage' n'est pas une collocation française."
"French B2 Vocab 2","Complétez : 'Le ministre ___ une subvention aux associations.' (collocation administrative figée)","octroie","confère","décerne","dispense","'Octroyer une subvention' est la collocation administrative consacrée. 'Conférer' s'emploie pour un titre ou une dignité, pas une somme d'argent ; 'décerner' pour un prix ou une récompense ; 'dispenser' signifie exempter, pas donner."
"French B2 Vocab 2","Complétez la collocation figée : 'en ___ nombre' (= beaucoup)","grand","haut","fort","gros","'En grand nombre' est la collocation figée. 'En haut nombre', 'en fort nombre' et 'en gros nombre' ne sont pas des expressions françaises."
"French B2 Vocab 2","Collocation figée : une ___ pluie (formel, littéraire)","fine","mince","brève","courte","'Une fine pluie' est la collocation établie. 'Mince' qualifie une épaisseur, pas une pluie ; 'brève pluie' et 'courte pluie' ne sont pas des collocations figées (on dit 'une averse brève')."
"French B2 Vocab 2","Collocation juridique figée : '___ un dommage'","occasionner","susciter","commettre","perpétrer","'Occasionner un dommage' est la collocation juridique consacrée. 'Susciter' se construit avec des sentiments ou des réactions, pas un dommage ; 'commettre' s'emploie avec un acte délictueux ; 'perpétrer' avec un crime, pas un dommage."
"French B2 Vocab 2","Complétez : 'La cérémonie ___ en plein air.' (collocation figée pour un événement organisé)","se déroulera","surviendra","se déclenchera","éclatera","'Se dérouler' est le verbe consacré pour un événement planifié. 'Survenir' implique un événement inattendu ; 'se déclencher' implique un mécanisme ou un conflit ; 'éclater' implique une rupture soudaine (guerre, scandale)."
"French B2 Vocab 2","Dans un texte juridique, quelle locution introduit une cause établie ? '___ les faits susmentionnés, le tribunal statue.'","Attendu","Malgré","Nonobstant","Hormis","'Attendu' est la locution juridique qui introduit un motif ou une cause dans un jugement. 'Malgré' exprime la concession ; 'nonobstant' signifie en dépit de ; 'hormis' signifie excepté."
"French B2 Vocab 2","Registre soutenu de 'gros problème' :","une difficulté majeure","un obstacle conséquent","une complication substantielle","un empêchement considérable","'Une difficulté majeure' est la formulation neutre/soutenue consacrée. 'Obstacle conséquent' est un emploi critiqué de 'conséquent' (= important, usage fautif) ; 'complication substantielle' est un calque de l'anglais ; 'empêchement considérable' ne se dit pas (un empêchement est absolu, pas gradable)."
"French B2 Vocab 2","Formel pour 'je voudrais savoir si' (courrier) :","Je souhaiterais savoir si","Je désirerais être informé si","Il m'importerait de connaître si","Je serais curieux de savoir si","'Je souhaiterais' est le conditionnel de politesse attendu en correspondance formelle. 'Désirerais' est trop emphatique ; 'il m'importerait de connaître si' est grammaticalement bancal ; 'curieux de savoir' est trop informel."
"French B2 Vocab 2","Soutenu de 'arrêter' dans 'L'entreprise ___ ses activités.' (arrêt définitif, collocation administrative)","cesse","suspend","interrompt","termine","'Cesser ses activités' est la collocation administrative figée signifiant l'arrêt définitif. 'Suspendre' implique un arrêt temporaire ; 'interrompre' implique une reprise future ; 'terminer ses activités' n'est pas une collocation administrative (on ne 'termine' pas des activités, on les cesse)."
"French B2 Vocab 2","Complétez la collocation figée : 'Les résultats ___ une nette amélioration.'","attestent d'","témoignent d'","démontrent de","prouvent de","'Attester de' est la construction correcte pour un constat objectif. 'Témoigner de' implique un vécu personnel, pas des résultats chiffrés ; 'démontrer de' est agrammatical (on dit 'démontrer' sans 'de') ; 'prouver de' est agrammatical (on dit 'prouver' sans 'de')."
