"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Υγεία: πονοκέφαλος","Πονάει το κεφάλι σου. Τι έχεις;","πονοκέφαλο","στομαχόπονο","πονόλαιμο","πόνο στη μέση","Όταν πονάει το κεφάλι, έχεις 'πονοκέφαλο'. Ο 'στομαχόπονος' είναι πόνος στο στομάχι."
"Υγεία: πυρετός","Η θερμοκρασία σου είναι 39 βαθμοί. Τι έχεις;","πυρετό","βήχα","συνάχι","αλλεργία","Υψηλή θερμοκρασία (πάνω από 38 βαθμούς) λέγεται 'πυρετός'."
"Υγεία: συνάχι","Φτερνίζεσαι πολύ και έχεις βουλωμένη μύτη. Τι έχεις;","συνάχι","πυρετό","πονοκέφαλο","βήχα","Φτέρνισμα και βουλωμένη μύτη είναι συμπτώματα του 'συναχιού'."
"Υγεία: βήχας","Κάνεις 'κχεμ κχεμ' συχνά. Τι κάνεις;","βήχω","φτερνίζομαι","αναπνέω","κοιμάμαι","Το 'κχεμ κχεμ' είναι ο ήχος του βήχα. Φτερνίζεσαι κάνεις 'απτσού'."
"Υγεία: γιατρός","Ποιος εξετάζει τους ασθενείς και γράφει συνταγές;","γιατρός","νοσοκόμος","φαρμακοποιός","ασθενής","Ο 'γιατρός' εξετάζει ασθενείς και γράφει συνταγές. Ο 'φαρμακοποιός' πουλάει φάρμακα."
"Υγεία: φάρμακο","Τι παίρνεις όταν είσαι άρρωστος;","φάρμακο","συνταγή","ραντεβού","γιατρό","Όταν είσαι άρρωστος, παίρνεις 'φάρμακο' για να γίνεις καλά."
"Υγεία: φαρμακείο","Πού αγοράζεις φάρμακα;","στο φαρμακείο","στο σούπερ μάρκετ","στο νοσοκομείο","στο περίπτερο","Τα φάρμακα αγοράζονται 'στο φαρμακείο'. Το σούπερ μάρκετ πουλάει τρόφιμα."
"Υγεία: ραντεβού","Θέλεις να πας στο γιατρό. Τι πρέπει να κάνεις πρώτα;","να κλείσεις ραντεβού","να πάρεις φάρμακο","να κάνεις εξέταση","να γράψεις συνταγή","Πριν πας στο γιατρό, πρέπει να 'κλείσεις ραντεβού', δηλαδή να ορίσεις ώρα."
"Υγεία: συνταγή","Τι γράφει ο γιατρός για να αγοράσεις φάρμακα;","συνταγή","ραντεβού","διάγνωση","λογαριασμό","Ο γιατρός γράφει 'συνταγή' για να αγοράσεις φάρμακα στο φαρμακείο."
"Υγεία: άρρωστος","Έχεις πυρετό και πονοκέφαλο. Είσαι ___","άρρωστος","κουρασμένος","αγχωμένος","λυπημένος","Όταν έχεις πυρετό και πόνο, είσαι 'άρρωστος'. 'Κουρασμένος' σημαίνει ότι θέλεις να κοιμηθείς."
"Υγεία: γίνομαι καλά","Μετά από μία εβδομάδα δεν είσαι πια άρρωστος. Τι έγινε;","έγινες καλά","χειροτέρεψες","αρρώστησες","πήγες στο γιατρό","Όταν δεν είσαι πια άρρωστος, 'έγινες καλά'. Το αντίθετο είναι 'χειροτέρεψες'."
"Υγεία: πονόλαιμος","Πονάει ο λαιμός σου. Τι έχεις;","πονόλαιμο","πονοκέφαλο","στομαχόπονο","βήχα","Όταν πονάει ο λαιμός, έχεις 'πονόλαιμο'. Ο 'πονοκέφαλος' είναι πόνος στο κεφάλι."
"Υγεία: ασθενοφόρο","Υπάρχει έκτακτη ανάγκη. Τι καλείς;","ασθενοφόρο","ταξί","λεωφορείο","αστυνομία","Σε ιατρική έκτακτη ανάγκη καλείς 'ασθενοφόρο' που πηγαίνει στο νοσοκομείο."
"Υγεία: νοσοκομείο","Είναι σοβαρή ανάγκη και ο γιατρός δεν φτάνει. Πού πας;","στο νοσοκομείο","στο φαρμακείο","στο σχολείο","στο περίπτερο","Για σοβαρές ανάγκες πηγαίνεις 'στο νοσοκομείο'. Το φαρμακείο και το περίπτερο δεν κάνουν ιατρική περίθαλψη."
"Υγεία: χάπι","Πώς λέγεται το μικρό στρογγυλό φάρμακο που καταπίνεις;","χάπι","σιρόπι","κρέμα","σταγόνες","Το 'χάπι' είναι μικρό και στρογγυλό και το καταπίνεις με νερό. Το 'σιρόπι' είναι υγρό."
"Υγεία: γρίπη","Έχεις πυρετό, πόνους στους μύες και είσαι πολύ κουρασμένος. Τι έχεις;","γρίπη","συνάχι","αλλεργία","τραυματισμό","Πυρετός + μυϊκοί πόνοι + κούραση = τυπικά συμπτώματα της 'γρίπης'."
"Υγεία: πόνος","Το πόδι σου πονάει πολύ. Έχεις ___ στο πόδι.","πόνο","κρύο","χρώμα","θόρυβο","Όταν κάτι πονάει, νιώθεις 'πόνο'. Είναι η αρνητική σωματική αίσθηση."
"Χρόνος: μεσημέρι","Τι ώρα είναι όταν είναι 12:00 το μεσημέρι;","μεσημέρι","μεσάνυχτα","πρωί","βράδυ","Το 12:00 της ημέρας λέγεται 'μεσημέρι'. Το 12:00 της νύχτας είναι 'μεσάνυχτα'."
"Χρόνος: μεσάνυχτα","Τι ώρα είναι όταν είναι 00:00;","μεσάνυχτα","μεσημέρι","βράδυ","πρωί","Το 00:00 λέγεται 'μεσάνυχτα', δηλαδή η μέση της νύχτας."
"Χρόνος: τέταρτο","Τι ώρα είναι; 10:15","δέκα και τέταρτο","δέκα και μισή","έντεκα παρά τέταρτο","δέκα παρά τέταρτο","10:15 = 'δέκα και τέταρτο'. Το τέταρτο σημαίνει 15 λεπτά μετά την ώρα."
"Χρόνος: και μισή","Τι ώρα είναι; 3:30","τρεις και μισή","τρεις και τέταρτο","τέσσερις παρά τέταρτο","δύο και μισή","3:30 = 'τρεις και μισή'. 'Μισή' σημαίνει 30 λεπτά, μισή ώρα."
