"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Mening geven: ik vind","'Ik ___ het een leuk boek.' Wat past hier?","vind","denk","meen","geloof","'Ik vind' + direct object gebruik je voor je persoonlijke mening. 'Ik vind het een leuk boek.' (zonder 'dat')."
"Mening geven: naar mijn mening","'___ moeten we meer sporten.' Welke uitdrukking past?","Naar mijn mening","Naar mijn zin","Naar mijn vraag","Naar mijn antwoord","'Naar mijn mening' is een formele manier om je mening te geven."
"Mening geven: volgens mij","'___ is dat niet waar.' Wat past hier?","Volgens mij","Vanwege mij","Vanuit mij","Voorbij mij","'Volgens mij' betekent 'in mijn ogen' of 'ik denk dat'."
"Mening geven: het lijkt mij","'Het ___ mij een slecht plan.' Wat past?","lijkt","kijkt","blijkt","wijkt","'Het lijkt mij' gebruik je als je je indruk geeft over iets."
"Mening geven: ik ben van mening","'Ik ben ___ mening dat we moeten stoppen.' Wat past?","van","met","op","in","De vaste uitdrukking is 'ik ben van mening dat'. Dit is formeel."
"Mening vragen: hoe denk jij","'Hoe ___ jij erover?' Wat past?","denk","vind","praat","kijk","'Hoe denk jij erover?' is een manier om iemands mening te vragen."
"Mening geven: wat mij betreft","'___ mij betreft gaan we morgen.' Wat past?","Wat","Hoe","Wie","Waar","'Wat mij betreft' betekent 'als het aan mij ligt'. Een veelgebruikte meningsuiting."
"Mening geven: eerlijk gezegd","'___ gezegd vind ik het niet leuk.' Wat past?","Eerlijk","Helder","Rustig","Snel","'Eerlijk gezegd' gebruik je om een oprechte, soms kritische mening te geven."
"Mening geven: ik heb het gevoel","'Ik heb het ___ dat er iets mis is.' Wat past?","gevoel","beeld","denken","moment","'Ik heb het gevoel dat' gebruik je voor een indruk die niet op feiten is gebaseerd."
"Emotie: bezorgd","De moeder is ___ over haar zieke kind. Wat past?","bezorgd","opgelucht","verveeld","tevreden","'Bezorgd' betekent dat je je zorgen maakt over iets of iemand."
"Emotie: opgelucht","Na het examen voelde ze zich ___. Het was goed gegaan!","opgelucht","teleurgesteld","gefrustreerd","bezorgd","'Opgelucht' voel je als iets beter afloopt dan je verwachtte."
"Emotie: gefrustreerd","Hij is ___ omdat de computer weer niet werkt.","gefrustreerd","opgelucht","verheugd","tevreden","'Gefrustreerd' voel je als iets steeds niet lukt of tegenvalt."
"Emotie: teleurgesteld","Ze is ___ omdat ze de baan niet heeft gekregen.","teleurgesteld","opgelucht","enthousiast","trots","'Teleurgesteld' voel je als iets niet aan je verwachtingen voldoet."
"Emotie: enthousiast","De kinderen zijn ___ over het schoolreisje.","enthousiast","somber","verdrietig","ongerust","'Enthousiast' betekent heel blij en vol energie ergens over."
"Emotie: somber","Na het slechte nieuws voelde hij zich ___.","somber","opgewekt","enthousiast","opgelucht","'Somber' betekent verdrietig en zonder hoop. Het tegenovergestelde van 'opgewekt'."
"Emotie: trots","De vader is ___ op zijn dochter die is geslaagd.","trots","jaloers","beschaamd","boos","'Trots' voel je als iemand (of jijzelf) iets goeds heeft bereikt."
"Emotie: beschaamd","Ze voelde zich ___ toen ze op straat viel.","beschaamd","opgelucht","verheugd","enthousiast","'Beschaamd' betekent dat je je schaamt, vaak door een ongemakkelijke situatie."
"Emotie: jaloers","Hij is ___ op zijn collega die promotie heeft gekregen, want hij werkte er zelf ook hard voor.","jaloers","verdrietig","opgelucht","tevreden","'Jaloers' voel je als iemand anders iets heeft dat jij ook wilt."
"Emotie: ongerust","De ouders zijn ___ omdat hun zoon nog niet thuis is.","ongerust","opgewekt","verveeld","tevreden","'Ongerust' is vergelijkbaar met 'bezorgd': je maakt je zorgen."
"Emotie: opgewekt","Ondanks het slechte weer is ze heel ___ vandaag.","opgewekt","somber","neerslachtig","bezorgd","'Opgewekt' betekent vrolijk en positief gestemd."
"Emotie: neerslachtig","Na de scheiding voelde hij zich maandenlang ___.","neerslachtig","opgewekt","enthousiast","opgelucht","'Neerslachtig' betekent erg somber en zonder energie."
"Emotie: dankbaar","Ik ben je heel ___ voor je hulp.","dankbaar","jaloers","boos","ongerust","'Dankbaar' voel je als iemand iets goeds voor je doet."
"Emotie: verbaasd","Ze was ___ toen ze hoorde dat ze gewonnen had.","verbaasd","verveeld","gefrustreerd","bezorgd","'Verbaasd' voel je als iets onverwachts gebeurt."
"Relatie: kennis","Ik ken hem van de sportclub, maar hij is geen vriend. Hij is een ___.","kennis","vreemdeling","vijand","tegenstander","Een 'kennis' is iemand die je kent, maar die geen goede vriend is."
"Relatie: collega","Jan en ik werken bij hetzelfde bedrijf. Hij is mijn ___.","collega","kennis","buurman","vreemdeling","Een 'collega' is iemand met wie je samenwerkt."
"Relatie: vreemdeling","Ik ken die man niet. Hij is een ___ voor mij.","vreemdeling","kennis","collega","buurman","Een 'vreemdeling' is iemand die je helemaal niet kent."
"Relatie: buurman","De man die naast ons woont is onze ___.","buurman","collega","kennis","huisgenoot","Een 'buurman' woont naast je huis."
"Relatie: huisgenoot","We wonen samen in een studentenhuis. Ze is mijn ___.","huisgenoot","buurvrouw","collega","vreemdeling","Een 'huisgenoot' is iemand met wie je in hetzelfde huis woont."
"Relatie: schoonmoeder","De moeder van mijn partner is mijn ___.","schoonmoeder","stiefmoeder","tante","schoonzus","'Schoonmoeder' is de moeder van je partner."
"Relatie: stiefvader","Mijn moeder is hertrouwd. Haar nieuwe man is mijn ___.","stiefvader","schoonvader","oom","zwager","Een 'stiefvader' is de nieuwe partner van je moeder (niet je biologische vader)."
"Persoonlijkheid: betrouwbaar","Je kunt altijd op hem rekenen. Hij is heel ___.","betrouwbaar","onbetrouwbaar","onzeker","ongeduldig","'Betrouwbaar' betekent dat mensen op je kunnen rekenen."
"Persoonlijkheid: geduldig","De leraar legt het voor de vijfde keer uit. Ze is heel ___.","geduldig","ongeduldig","streng","lui","'Geduldig' betekent dat je rustig kunt wachten en niet snel boos wordt."
"Persoonlijkheid: ambitieus","Ze wil directeur worden. Ze is erg ___.","ambitieus","bescheiden","lui","verlegen","'Ambitieus' betekent dat je hoge doelen hebt en hard wilt werken."
"Persoonlijkheid: bescheiden","Hij praat nooit over zijn succes. Hij is erg ___.","bescheiden","arrogant","ambitieus","zelfverzekerd","'Bescheiden' betekent dat je niet opschept over jezelf."
"Persoonlijkheid: zelfverzekerd","Ze is niet zenuwachtig voor presentaties. Ze is heel ___.","zelfverzekerd","verlegen","onzeker","bescheiden","'Zelfverzekerd' betekent dat je vertrouwen hebt in jezelf."
"Persoonlijkheid: verlegen","Hij durft niet goed met vreemden te praten. Hij is ___.","verlegen","zelfverzekerd","brutaal","extravert","'Verlegen' betekent dat je je ongemakkelijk voelt bij onbekende mensen."
"Persoonlijkheid: eerlijk","Ze zegt altijd de waarheid. Ze is heel ___.","eerlijk","achterdochtig","onbetrouwbaar","streng","'Eerlijk' betekent dat je de waarheid spreekt en niet liegt."
"Persoonlijkheid: koppig","Hij luistert nooit naar advies. Hij is erg ___.","koppig","meegaand","geduldig","bescheiden","'Koppig' betekent dat je niet snel van mening verandert, ook niet als het beter zou zijn."
"Persoonlijkheid: lui","Hij wil nooit werken of helpen. Hij is erg ___.","lui","ijverig","ambitieus","energiek","'Lui' betekent dat je niet graag werkt of moeite doet."
"Persoonlijkheid: ijverig","Ze werkt altijd heel hard. Ze is erg ___.","ijverig","lui","koppig","verlegen","'IJverig' betekent dat je heel hard en met toewijding werkt."
"Persoonlijkheid: arrogant","Hij denkt dat hij beter is dan iedereen. Hij is erg ___.","arrogant","bescheiden","verlegen","geduldig","'Arrogant' betekent dat je jezelf beter vindt dan anderen."
"Emotie: woedend","Hij is zo boos dat hij schreeuwt. Hij is ___.","woedend","teleurgesteld","verveeld","bezorgd","'Woedend' betekent extreem boos. Het is sterker dan 'boos'."
"Emotie: verveeld","De les duurt lang en het onderwerp interesseert haar niet. Ze voelt zich ___.","verveeld","bezorgd","opgewonden","dankbaar","'Verveeld' voel je als iets saai is of er niets interessants te doen is."
