"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Ρητορικό σχήμα: αναφορά","Η επανάληψη της ίδιας λέξης ή φράσης στην αρχή διαδοχικών προτάσεων ονομάζεται ___.","αναφορά","επιφορά","αναδίπλωση","κλιμακωτή φράση","Η αναφορά είναι η επανάληψη στην αρχή. Η επιφορά είναι η επανάληψη στο τέλος. Η αναδίπλωση επαναλαμβάνει τη λέξη στο τέλος μιας πρότασης στην αρχή της επόμενης. Η κλιμακωτή φράση είναι η ανάπτυξη ιδεών σε αυξανόμενη ένταση."
"Ρητορικό σχήμα: επιφορά","Η επανάληψη της ίδιας λέξης ή φράσης στο τέλος διαδοχικών προτάσεων ονομάζεται ___.","επιφορά","αναφορά","συμπλοκή","παρήχηση","Η επιφορά επαναλαμβάνει στο τέλος, ενώ η αναφορά στην αρχή. Η συμπλοκή είναι συνδυασμός αναφοράς και επιφοράς. Η παρήχηση είναι επανάληψη του ίδιου αρχικού συμφώνου."
"Ρητορικό σχήμα: οξύμωρο","Ποιο σχήμα λόγου συνδυάζει δύο αντίθετες έννοιες σε μία φράση;","οξύμωρο","αντίθεση","παράδοξο","κατάχρηση","Το οξύμωρο συνδυάζει δύο αλληλοαποκλειόμενες λέξεις, π.χ. «γλυκόπικρος». Η αντίθεση αντιπαραθέτει εκτενέστερες έννοιες. Το παράδοξο είναι μια φαινομενικά αντιφατική δήλωση που κρύβει αλήθεια. Η κατάχρηση είναι αυθαίρετη χρήση λέξης εκτός πλαισίου."
"Ρητορικό σχήμα: υπερβολή","«Σου το είπα εκατομμύρια φορές» χρησιμοποιεί ___.","υπερβολή","λιτότητα","μεταφορά","αλληγορία","Η υπερβολή είναι σκόπιμη εξαγγελία, για έμφαση. Η λιτότητα είναι υποτίμηση. Η μεταφορά μεταφέρει νόημα από πεδίο σε πεδίο. Η αλληγορία είναι εκτεταμένη μεταφορά σε αφηγηματικό επίπεδο."
"Ρητορικό σχήμα: λιτότητα","Η φράση «δεν είναι άσχημος» ως τρόπος αποφυγής της άμεσης έκφρασης αποτελεί ___.","λιτότητα","ευφημισμό","ειρωνεία","σαρκασμό","Η λιτότητα βεβαιώνει κάτι αρνώντας το αντίθετό του. Ο ευφημισμός αντικαθιστά μια σκληρή λέξη με ηπιότερη. Η ειρωνεία λέει το αντίθετο αυτού που εννοεί. Ο σαρκασμός είναι ειρωνεία με σκοπό την κοροϊδία."
"Ρητορικό σχήμα: ευφημισμός","Το να λέμε «έφυγε» αντί «πέθανε» είναι παράδειγμα ___.","ευφημισμού","λιτότητας","παραβολής","συνεκδοχής","Ο ευφημισμός αντικαθιστά τη σκληρή λέξη με ηπιότερη. Η λιτότητα αρνείται το αντίθετο. Η παραβολή είναι εκτεταμένη σύγκριση. Η συνεκδοχή χρησιμοποιεί μέρος για το σύνολο."
"Ρητορικό σχήμα: μετωνυμία","«Η Βουλή ψήφισε νόμο» — όπου το κτίριο αντιπροσωπεύει τους βουλευτές — είναι παράδειγμα ___.","μετωνυμίας","συνεκδοχής","μεταφοράς","προσωποποίησης","Στη μετωνυμία ένα πράγμα αντικαθίσταται από κάτι στενά συνδεδεμένο (το κτίριο για τους ανθρώπους). Στη συνεκδοχή το μέρος αντιπροσωπεύει το σύνολο. Η μεταφορά μεταφέρει νόημα μεταξύ διαφορετικών πεδίων. Η προσωποποίηση αποδίδει ανθρώπινα χαρακτηριστικά σε αντικείμενα."
"Ρητορικό σχήμα: συνεκδοχή","«Είκοσι κεφάλια» για να πούμε «είκοσι άτομα» είναι παράδειγμα ___.","συνεκδοχής","μετωνυμίας","αντωνομασίας","αλληγορίας","Στη συνεκδοχή το μέρος («κεφάλια») αντιπροσωπεύει το σύνολο («άτομα»). Στη μετωνυμία χρησιμοποιείται ένα συναφές, όχι μέρος. Η αντωνομασία χρησιμοποιεί κύριο όνομα ως κοινό. Η αλληγορία είναι αφηγηματική μεταφορά."
"Ρητορικό σχήμα: κιασμός","Ποια φράση αποτελεί παράδειγμα κιασμού;","«Ζούμε για να τρώμε ή τρώμε για να ζούμε;»","«Η θάλασσα ήταν γαλήνια και ήσυχη.»","«Εδώ και τώρα πρέπει να αποφασίσουμε.»","«Το καλοκαίρι ήταν καυτό, ο χειμώνας παγωμένος.»","Ο κιασμός αντιστρέφει τη σειρά των στοιχείων σε δύο παράλληλες ημιπροτάσεις (Α-Β, Β-Α). Η πρώτη επιλογή αντιστρέφει τα ρήματα και τα αντικείμενα. Οι άλλες είναι απλή επανάληψη, παράταξη ή αντίθεση."
"Ρητορικό σχήμα: παράδοξο","Ποια δήλωση αποτελεί παράδοξο;","«Η σιωπή μιλά πιο δυνατά από τις λέξεις.»","«Η φωτιά καίει.»","«Το νερό είναι υγρό.»","«Η νύχτα είναι σκοτεινή.»","Το παράδοξο είναι μια φαινομενικά αντιφατική δήλωση που ωστόσο εκφράζει αλήθεια. «Η σιωπή μιλά» είναι αντιφατικό στην κυριολεξία αλλά αληθές στη μεταφορά. Οι άλλες είναι απλώς αληθείς δηλώσεις χωρίς αντίφαση."
"Ρητορικό σχήμα: προσωποποίηση","«Ο άνεμος αναστέναζε στα δέντρα» χρησιμοποιεί ___.","προσωποποίηση","αλληγορία","παρομοίωση","αποστροφή","Η προσωποποίηση αποδίδει ανθρώπινα χαρακτηριστικά σε άψυχα αντικείμενα. Η αλληγορία είναι εκτεταμένη αφηγηματική μεταφορά. Η παρομοίωση συγκρίνει με «σαν» ή «όπως». Η αποστροφή απευθύνεται σε απόντα πρόσωπα ή αφηρημένες έννοιες."
"Ρητορικό σχήμα: αντίθεση","«Ήταν η καλύτερη εποχή, ήταν η χειρότερη εποχή» χρησιμοποιεί ___.","αντίθεση","οξύμωρο","κιασμό","παράδοξο","Η αντίθεση παραθέτει αντιτιθέμενες έννοιες σε παράλληλη σύνταξη. Το οξύμωρο συνδυάζει αντίθετα σε μία φράση. Ο κιασμός αντιστρέφει τη σειρά στοιχείων. Το παράδοξο εκφράζει φαινομενική αντίφαση που αποκαλύπτει αλήθεια."
"Ρητορικό σχήμα: αλληγορία","Ένα κείμενο όπου η εξιστόρηση μιας μάχης αντιπροσωπεύει την εσωτερική πάλη ενός ανθρώπου είναι ___.","αλληγορία","παρομοίωση","ειρωνεία","υπερβολή","Η αλληγορία είναι εκτεταμένη αφηγηματική μεταφορά όπου γεγονότα και χαρακτήρες συμβολίζουν άλλες έννοιες. Η παρομοίωση είναι άμεση σύγκριση με «σαν». Η ειρωνεία λέει το αντίθετο. Η υπερβολή σκόπιμα υπερβάλλει."
