"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Eten: fruit","Hoe heet het rode, ronde fruit dat je ook als groente gebruikt?","tomaat","aardbei","kers","framboos","Een tomaat is rood en rond. Je gebruikt het als groente, maar het is eigenlijk een fruit."
"Eten: groenten","Wat is oranje en groeit onder de grond?","wortel","sinaasappel","pompoen","paprika","Een wortel is een oranje groente die onder de grond groeit."
"Eten: brood","Wat eten Nederlanders vaak bij het ontbijt?","boterham","biefstuk","soep","patat","Een boterham is een snee brood. Nederlanders eten dat bij het ontbijt."
"Eten: zuivel","Welk zuivelproduct snij je in plakken voor op brood?","kaas","boter","yoghurt","eieren","Kaas is een zuivelproduct. Je snijdt het in plakken. Nederland is beroemd om zijn kaas."
"Eten: zuivel","Wat drink je wit en komt van de koe?","melk","sap","water","thee","Melk komt van de koe en is wit."
"Eten: fruit","Welk fruit is geel en krom?","banaan","citroen","mango","peer","Een banaan is geel en heeft een kromme vorm."
"Eten: fruit","Welk rood fruit is klein en rond, en heeft een steeltje met een harde pit?","kers","aardbei","framboos","bosbes","Een kers is een klein, rond, rood fruit met een steeltje en een harde pit in het midden."
"Eten: groenten","Welke lange, groene groente snijd je in plakjes voor op brood?","komkommer","wortel","prei","sperzieboon","Een komkommer is lang en groen. Je snijdt hem in plakjes voor op brood of in een salade."
"Eten: groenten","Welke ronde groente heeft ringen vanbinnen en maakt je aan het huilen als je hem snijdt?","ui","knoflook","radijs","bloemkool","Een ui is rond en heeft ringen vanbinnen. Als je hem snijdt, moet je huilen."
"Eten: vlees","Hoe noem je het vlees van een kip?","kip","varkensvlees","rundvlees","lamsvlees","Kip is het vlees van een kip. Het is wit vlees."
"Eten: vis","Welke vis is roze van kleur en eet je vaak op een bagel?","zalm","kabeljauw","tonijn","makreel","Zalm is roze van kleur. Je eet hem vaak gerookt op een bagel of in sushi."
"Eten: vlees","Hoe noem je het vlees van een varken?","varkensvlees","rundvlees","kip","lamsvlees","Varkensvlees komt van het varken."
"Eten: basisproducten","Wat is wit, klein en eet je bij veel gerechten?","rijst","suiker","zout","bloem","Rijst is wit en klein. Je eet het bij veel gerechten."
"Eten: basisproducten","Wat doe je op je boterham als het zoet moet zijn?","jam","kaas","pindakaas","ham","Jam is zoet en gemaakt van fruit. Je smeert het op brood."
"Eten: basisproducten","Welk zuivelproduct gebruik je om een ei in te bakken?","boter","room","kwark","karnemelk","Je bakt een ei in boter. Boter is een vet zuivelproduct."
"Drinken: warm","Wat is een warm drankje met blaadjes uit China?","thee","koffie","chocolademelk","bouillon","Thee is een warm drankje. Het komt oorspronkelijk uit China."
"Drinken: warm","Welk warm, bruin drankje met cafeine maak je met gemalen bonen?","koffie","thee","cola","chocolademelk","Koffie is een warm, bruin drankje gemaakt van gemalen koffiebonen. Het bevat cafeine."
"Drinken: koud","Hoe heet water met bubbels?","spa rood","spa blauw","limonade","sap","Spa rood is water met bubbels (koolzuur). Spa blauw is plat water."
