"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Abstract naamwoord: vrijheid","Wat betekent 'vrijheid'?","Het recht om te doen wat je wilt zonder beperking","Het vermogen om problemen op te lossen","Een gevoel van verdriet of teleurstelling","De plicht om regels te volgen","'Vrijheid' betekent dat je vrij bent: je kunt zelf beslissingen nemen zonder dat iemand je beperkt."
"Abstract naamwoord: gerechtigheid","Wat betekent 'gerechtigheid'?","Eerlijke en rechtvaardige behandeling van iedereen","De kracht om iets moeilijks te doen","Het gevoel dat je iets bereikt hebt","De mogelijkheid om fouten te herstellen","'Gerechtigheid' gaat over rechtvaardigheid: iedereen wordt eerlijk en gelijk behandeld."
"Abstract naamwoord: kennis","Wat betekent 'kennis' in 'kennis van een onderwerp'?","Feiten en informatie die je over een onderwerp weet","Een sterk gevoel dat je ergens bij hoort","Een afspraak met een oude vriend","Een fout die je vaak herhaalt","'Kennis' betekent dat je feiten en informatie weet over een onderwerp."
"Abstract naamwoord: kans","Welk woord past? 'Dit is je laatste ___ om het examen te halen.'","kans","hoop","doel","belofte","'Kans' betekent een mogelijkheid of gelegenheid. 'Hoop' is een gevoel, geen concrete mogelijkheid."
"Abstract naamwoord: vertrouwen","Welk woord past? 'Na de leugen verloor zij haar ___ in hem.'","vertrouwen","geluk","geduld","begrip","'Vertrouwen' is het geloof dat iemand eerlijk en betrouwbaar is. Je kunt vertrouwen verliezen of winnen."
"Abstract naamwoord: moed","Wat betekent 'moed'?","De kracht om iets engs of gevaarlijks te doen ondanks je angst","Een diep gevoel van verdriet na een verlies","De wens om wraak te nemen op iemand","Het vermogen om lang stil te blijven zitten","'Moed' is de kracht om iets te doen wat eng of moeilijk is, ondanks je angst."
"Abstract naamwoord: invloed","Wat betekent 'invloed'?","De macht om iemands gedrag of mening te veranderen","Een gevoel van onzekerheid over de toekomst","De wens om iets nieuws te leren","Het vermogen om lang te wachten","'Invloed' betekent dat je effect hebt op andere mensen of situaties. Je kunt invloed hebben op iemands beslissing."
"Abstract naamwoord: verantwoordelijkheid","Wat betekent 'verantwoordelijkheid'?","De plicht om ergens voor te zorgen of de gevolgen te dragen","Een kort briefje waarin je iets uitlegt","Het vermogen om snel te reageren op gevaar","Een officiële uitnodiging van een bedrijf","'Verantwoordelijkheid' betekent dat iemand de taak of plicht heeft om iets goed te laten verlopen."
"Abstract naamwoord: waarheid","Wat betekent 'waarheid'?","Wat werkelijk zo is, in tegenstelling tot een leugen","Een sterke emotie die je niet kunt verbergen","Een plan dat je samen met anderen maakt","Een beloning voor goed werk","'Waarheid' is wat echt waar is, in tegenstelling tot een leugen."
"Abstract naamwoord: ervaring","Welk woord past? 'Ze heeft tien jaar ___ in het onderwijs.'","ervaring","ambitie","behoefte","verplichting","'Ervaring' is de kennis en vaardigheid die je krijgt door iets lang te doen. Je bouwt ervaring op in een vakgebied."
"Idioom: de knoop doorhakken","Wat betekent 'de knoop doorhakken'?","Een moeilijke beslissing nemen","Een probleem erger maken","Een gesprek plotseling stoppen","Een geheim verraden","'De knoop doorhakken' betekent eindelijk een lastige beslissing nemen, na lang twijfelen."
"Idioom: door de vingers zien","Wat betekent 'iets door de vingers zien'?","Een fout negeren of niet bestraffen","Iets heel nauwkeurig controleren","Iets niet kunnen geloven","Een kans missen door onoplettendheid","Als je iets 'door de vingers ziet', doe je alsof je het niet zag. Je laat een fout of overtreding toe."
"Idioom: met de deur in huis vallen","Wat betekent 'met de deur in huis vallen'?","Meteen ter zake komen zonder inleiding","Onverwacht op bezoek gaan bij iemand","Een gesprek op een onbeleefde manier beëindigen","Heel voorzichtig een moeilijk onderwerp bespreken","'Met de deur in huis vallen' betekent direct zeggen waar het om gaat, zonder eerst een inleiding te geven."
"Idioom: de hand in eigen boezem steken","Wat betekent 'de hand in eigen boezem steken'?","Je eigen fouten erkennen","Iemand in het geheim helpen","Heel trots op jezelf zijn","Je geld goed bewaren","'De hand in eigen boezem steken' betekent: bij jezelf kijken wat je fout hebt gedaan, in plaats van anderen de schuld te geven."
"Idioom: van de regen in de drup","Wat betekent 'van de regen in de drup komen'?","Van een slechte situatie in een nog slechtere terechtkomen","Na een moeilijke periode geluk hebben","Onverwacht succes krijgen","Door slecht weer niet naar buiten kunnen","Je probeert een probleem op te lossen, maar de nieuwe situatie is nog erger. 'Regen' en 'drup' zijn allebei nat, maar de uitdrukking gaat niet over echt weer."
"Idioom: olie op het vuur gooien","Wat betekent 'olie op het vuur gooien'?","Een ruzie of conflict erger maken","Een probleem snel oplossen","Iemand helpen om rustig te worden","Heel enthousiast ergens aan beginnen","Olie maakt vuur groter. Als je 'olie op het vuur gooit', maak je een conflict erger met je woorden of acties."
"Idioom: de spijker op de kop slaan","Wat betekent 'de spijker op de kop slaan'?","Precies het juiste zeggen","Iemand hard bekritiseren","Een fout maken op het verkeerde moment","Een moeilijk probleem veroorzaken","Als je 'de spijker op de kop slaat', zeg je precies wat waar is. Je raakt de kern van het probleem."
"Idioom: iemand een koekje van eigen deeg geven","Wat betekent deze uitdrukking?","Iemand op dezelfde manier behandelen als die ander jou behandeld heeft","Iemand een cadeau geven om sorry te zeggen","Iemand helpen met een moeilijke taak","Een geheim vertellen aan de verkeerde persoon","Als iemand je slecht behandelt, en jij doet hetzelfde terug, geef je diegene 'een koekje van eigen deeg'."
"Idioom: ergens met de neus bovenop zitten","Wat betekent 'ergens met de neus bovenop zitten'?","Te dichtbij zijn om het geheel te zien","Heel nieuwsgierig zijn naar iets","Ergens heel veel verstand van hebben","Iets ruiken dat niet goed is","Als je 'met de neus bovenop zit', ben je te dichtbij. Je mist het overzicht omdat je te betrokken bent."
