"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Greek A1+ Grammar 2","Δουλεύω ___ αεροδρόμιο της Αθήνας.","στο","στον","στου","στης","Αεροδρόμιο είναι ουδέτερο. σε + το = στο. Προσοχή: δεν είναι αρσενικό."
"Greek A1+ Grammar 2","Τα παιδιά πάνε ___ σχολείο με τα πόδια.","στο","στον","στη","στες","Σχολείο είναι ουδέτερο ενικού. σε + το = στο."
"Greek A1+ Grammar 2","Μένουμε ___ Ελλάδα δέκα χρόνια.","στην","σε η","στον","στης","Ελλάδα: θηλυκό αιτιατικής. σε + την = στην. Πριν από φωνήεν κρατάμε το -ν."
"Greek A1+ Grammar 2","Πηγαίνω ___ γιατρό το πρωί.","στον","στο","στη","στους","Ο γιατρός είναι αρσενικό ενικού. σε + τον = στον."
"Greek A1+ Grammar 2","Δίνω τα λεφτά ___ ταμία.","στον","στο","στης","στου","Ο ταμίας είναι αρσενικό ενικού. σε + τον = στον."
"Greek A1+ Grammar 2","Γράφω ένα γράμμα ___ γιαγιά μου.","στη","σε η","στον","στου","Γιαγιά: θηλυκό αιτιατικής. σε + τη(ν) = στη γιαγιά."
"Greek A1+ Grammar 2","Μιλάω ___ γονείς μου για τις διακοπές.","στους","στις","στα","στον","Οι γονείς = αρσενικό πληθυντικό. σε + τους = στους."
"Greek A1+ Grammar 2","Βάζω ζάχαρη ___ καφέ μου.","στον","στο","στου","σε ο","Ο καφές είναι αρσενικό ενικού. σε + τον = στον."
"Greek A1+ Grammar 2","Ταξιδεύω με ___ τρένο, όχι με αεροπλάνο.","το","τον","τη","τος","Τρένο: ουδέτερο αιτιατικής. με + το."
"Greek A1+ Grammar 2","Μιλάω με ___ άντρα της Μαρίας.","τον","το","τη","των","Άντρα: αρσενικό αιτιατικής, πριν από φωνήεν κρατάμε το -ν: με τον άντρα."
"Greek A1+ Grammar 2","Παίζω με ___ παιδιά στην αυλή.","τα","τους","τις","το","Παιδιά: ουδέτερο πληθυντικού αιτιατικής. με + τα."
"Greek A1+ Grammar 2","Έφερα ένα δώρο για ___ παππού μου.","τον","το","του","της","Παππού: αρσενικό αιτιατικής ενικού. για + τον = για τον παππού."
"Greek A1+ Grammar 2","Αγοράζω παιχνίδια για ___ ανίψια μου.","τα","τους","τις","το","Ανίψια: ουδέτερο πληθυντικό. για + τα."
"Greek A1+ Grammar 2","Ρωτάω για ___ ώρα του τρένου.","την","τες","τον","της","Ώρα: θηλυκό αιτιατικής ενικού. για + την ώρα."
"Greek A1+ Grammar 2","Ο καιρός σήμερα είναι ___.","ωραίος","ωραίο","ωραία","ωραίοι","Καιρός: αρσενικό ονομαστικής ενικού. Επίθετο: ωραίος."
"Greek A1+ Grammar 2","Η θάλασσα είναι ___ σήμερα.","ήρεμη","ήρεμος","ήρεμο","ήρεμοι","Θάλασσα: θηλυκό ονομαστικής ενικού. Επίθετο: ήρεμη."
"Greek A1+ Grammar 2","Αυτό το πρόβλημα είναι πολύ ___.","δύσκολο","δύσκολος","δύσκολη","δύσκολα","Πρόβλημα: ουδέτερο σε -μα, ενικού ονομαστικής. Επίθετο: δύσκολο."
"Greek A1+ Grammar 2","Τα μαθήματα σήμερα ήταν ___.","βαρετά","βαρετοί","βαρετός","βαρετές","Μαθήματα: ουδέτερο πληθυντικού. Επίθετο: βαρετά."
