"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Imperfetto vs passato prossimo","Quando ero piccolo, ___ sempre al parco.","andavo","sono andato","vado","andrò","L'imperfetto si usa per azioni abituali nel passato: andavo = ogni giorno, sempre."
"Imperfetto vs passato prossimo","Ieri ___ un film molto bello.","ho visto","vedevo","vedo","vedrò","Il passato prossimo si usa per un'azione specifica e conclusa: ieri ho visto."
"Imperfetto vs passato prossimo","Mentre io ___, Marco è arrivato.","dormivo","ho dormito","dormo","dormirò","L'imperfetto descrive un'azione in corso interrotta da un'altra azione."
"Imperfetto vs passato prossimo","Da bambina, Maria ___ i capelli lunghi.","aveva","ha avuto","ha","avrà","L'imperfetto si usa per descrivere caratteristiche nel passato."
"Imperfetto vs passato prossimo","Stamattina ___ tardi perché ero stanco.","mi sono svegliato","mi svegliavo","mi sveglio","mi sveglierò","L'azione è specifica (stamattina) e conclusa: passato prossimo."
"Imperfetto vs passato prossimo","Ogni estate ___ al mare con la famiglia.","andavamo","siamo andati","andiamo","andremo","'Ogni estate' indica un'abitudine ripetuta: si usa l'imperfetto."
"Imperfetto vs passato prossimo","L'anno scorso ___ in Spagna per una settimana.","sono andato","andavo","vado","andrò","'L'anno scorso' indica un momento preciso: si usa il passato prossimo."
"Imperfetto vs passato prossimo","Quando ___ piccoli, giocavamo sempre insieme.","eravamo","siamo stati","siamo","saremo","L'imperfetto descrive una condizione abituale nel passato."
"Imperfetto vs passato prossimo","Ieri sera ___ freddo e sono rimasto a casa.","faceva","ha fatto","fa","farà","Il tempo atmosferico come sfondo di una decisione si esprime con l'imperfetto: faceva freddo descrive la situazione."
"Imperfetto vs passato prossimo","___ le otto quando è suonato il telefono.","Erano","Sono state","Sono","Saranno","L'ora nel passato come sfondo di un evento si esprime con l'imperfetto."
"Pronomi indiretti: gli/le","Ho visto Marco e ___ ho detto tutto.","gli","le","lo","li","'Gli' è il pronome indiretto maschile: ho detto a Marco = gli ho detto."
"Pronomi indiretti: gli/le","Maria ha fame. ___ preparo un panino.","Le","Gli","La","Lo","'Le' è il pronome indiretto femminile: preparo a Maria = le preparo."
"Pronomi indiretti: gli/le","Il mio amico parte domani. ___ ho comprato un regalo.","Gli","Le","Lo","Li","'Gli' sostituisce 'a lui': ho comprato un regalo a lui = gli ho comprato."
"Pronomi indiretti: gli/le","Mia sorella è triste. ___ telefono stasera.","Le","Gli","La","Li","'Le' sostituisce 'a lei': telefono a mia sorella = le telefono."
"Pronomi indiretti: gli/le","I miei genitori arrivano domani. ___ ho preparato la camera.","Gli","Le","Li","Lo","'Gli' si usa anche per il plurale 'a loro': ho preparato a loro = gli ho preparato."
"Pronomi indiretti: gli/le","La professoressa spiega bene. ___ faccio sempre domande.","Le","Gli","La","Lo","'Le' perché è femminile: faccio domande a lei = le faccio domande."
"Pronomi indiretti: gli/le","Paolo non capisce. ___ spiego di nuovo.","Gli","Le","Lo","Li","'Gli' perché è maschile: spiego a Paolo = gli spiego."
"Pronomi indiretti: gli/le","Ho incontrato Anna e ___ ho chiesto un favore.","le","gli","la","lo","'Le' sostituisce 'a Anna' (femminile): ho chiesto a lei = le ho chiesto."
"Pronomi combinati: glielo","Marco vuole il libro. ___ porto domani.","Glielo","Me lo","Ce lo","Se lo","'Gli' + 'lo' si combinano in 'glielo': porto il libro a Marco = glielo porto."
"Pronomi combinati: gliela","Anna vuole la borsa. ___ do subito.","Gliela","Me la","Ce la","Se la","'Gli/le' + 'la' si combinano in 'gliela': do la borsa a Anna = gliela do."
"Pronomi combinati: glieli","I bambini vogliono i giocattoli. ___ compro io.","Glieli","Me li","Ce li","Se li","'Gli' + 'li' si combinano in 'glieli': compro i giocattoli a loro = glieli compro."
"Pronomi combinati: gliele","Maria vuole le chiavi. ___ porto subito.","Gliele","Me le","Ce le","Se le","'Le' + 'le' si combinano in 'gliele': porto le chiavi a Maria = gliele porto."
