"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Γνώμη: κατά τη γνώμη μου","'___ γνώμη μου, η πρόταση αυτή είναι καλή.' Ποια λέξη συμπληρώνει τη φράση;","Κατά τη","Μέσα τη","Πάνω τη","Χωρίς τη","Η έκφραση 'κατά τη γνώμη μου' σημαίνει 'στη γνώμη μου / σύμφωνα με αυτό που πιστεύω'. Οι άλλες προθέσεις δεν σχηματίζουν αυτή τη φράση."
"Γνώμη: πιστεύω ότι","'___ ότι πρέπει να αλλάξουμε τη στρατηγική.' Ποιος τύπος του ρήματος 'πιστεύω' είναι σωστός για πρώτο πρόσωπο ενικού;","Πιστεύω","Πιστεύει","Πιστεύουν","Πιστεύεις","Η πρώτη ενική του 'πιστεύω' στον ενεστώτα είναι 'πιστεύω'. 'Πιστεύει' είναι τρίτο ενικό, 'πιστεύουν' είναι τρίτο πληθυντικό, 'πιστεύεις' είναι δεύτερο ενικό."
"Γνώμη: θεωρώ","'___ ότι η εκπαίδευση είναι το σημαντικότερο πράγμα.' Ποιο ρήμα εκφράζει προσωπική άποψη-εκτίμηση;","Θεωρώ","Ξέρω","Θυμάμαι","Ακούω","Το 'θεωρώ' σημαίνει 'έχω την εκτίμηση / πιστεύω'. 'Ξέρω' εκφράζει γνώση, 'θυμάμαι' εκφράζει ανάκληση μνήμης, 'ακούω' αναφέρεται σε ακοή."
"Γνώμη: από ό,τι βλέπω","Ποια φράση εισάγει μια παρατήρηση / άποψη βασισμένη σε αυτό που βλέπεις;","Από ό,τι βλέπω","Από ό,τι τρώω","Από ό,τι κοιμάμαι","Από ό,τι περπατώ","Η έκφραση 'από ό,τι βλέπω' χρησιμοποιείται για να εισάγει μια παρατήρηση ή εκτίμηση. Τα άλλα ρήματα δεν σχηματίζουν ανάλογη έκφραση γνώμης."
"Γνώμη: συμφωνώ","'___ απολύτως με αυτό που λες.' Ποιο ρήμα εκφράζει συμφωνία;","Συμφωνώ","Διαφωνώ","Αγνοώ","Αρνούμαι","Το 'συμφωνώ' σημαίνει ότι έχω την ίδια γνώμη με κάποιον. 'Διαφωνώ' είναι το αντίθετο, 'αγνοώ' σημαίνει δεν δίνω σημασία, 'αρνούμαι' σημαίνει λέω όχι."
"Γνώμη: διαφωνώ","'___ με την πρότασή σου — νομίζω ότι κάνεις λάθος.' Ποιο ρήμα εκφράζει διαφωνία;","Διαφωνώ","Υπόσχομαι","Παραδέχομαι","Ζητώ","Το 'διαφωνώ' σημαίνει ότι δεν έχω την ίδια άποψη. 'Υπόσχομαι' σημαίνει δεσμεύομαι, 'παραδέχομαι' σημαίνει αναγνωρίζω κάτι, 'ζητώ' σημαίνει κάνω αίτημα."
"Γνώμη: έχω αμφιβολίες","'Έχω ___ για αυτή την απόφαση.' Ποια λέξη εκφράζει αβεβαιότητα / αμφισβήτηση;","αμφιβολίες","βεβαιότητες","απαντήσεις","ευκαιρίες","Το 'έχω αμφιβολίες' σημαίνει ότι δεν είμαι σίγουρος. 'Βεβαιότητες' είναι το αντίθετο, 'απαντήσεις' δεν εκφράζουν αβεβαιότητα, 'ευκαιρίες' αναφέρονται σε δυνατότητες."
"Γνώμη: έχει δίκιο","'Νομίζω ότι ___ δίκιο σε αυτό που λέει.' Ποιο ρήμα στο τρίτο ενικό συμπληρώνει τη φράση;","έχει","είναι","λέει","κάνει","Η φράση 'έχει δίκιο' σημαίνει ότι κάποιος είναι σωστός. Μόνο το ρήμα 'έχω' σχηματίζει αυτή την έκφραση· 'είναι δίκιο', 'λέει δίκιο', 'κάνει δίκιο' δεν υπάρχουν."
"Γνώμη: κάνω λάθος","'Νομίζω ότι ___ λάθος με αυτή την επιλογή σου.' Ποιο ρήμα στο δεύτερο ενικό συμπληρώνει τη φράση;","κάνεις","έχεις","είσαι","πας","Η φράση 'κάνω λάθος' σημαίνει ότι αδυνατώ ή σφάλλω. Μόνο το ρήμα 'κάνω' σχηματίζει αυτή την έκφραση· οι άλλοι τύποι δεν ταιριάζουν."
"Γνώμη: κατά τη γνώμη σου","'___ γνώμη σου, τι πρέπει να κάνουμε;' Ποια πρόθεση χρησιμοποιείται;","Κατά τη","Μέσα στη","Δίχως τη","Εκτός από τη","Η έκφραση 'κατά τη γνώμη σου' ρωτά για την άποψη του άλλου. Μόνο η πρόθεση 'κατά' σχηματίζει αυτή τη φράση."
"Γνώμη: φαίνεται ότι","'___ ότι η κατάσταση βελτιώνεται.' Ποιο ρήμα εισάγει μια υποκειμενική παρατήρηση;","Φαίνεται","Περνάει","Μυρίζει","Γεύεται","Το 'φαίνεται ότι' σημαίνει 'δείχνει ότι / μοιάζει να'. 'Περνάει', 'μυρίζει' και 'γεύεται' δεν σχηματίζουν αυτή τη σύνταξη με 'ότι' για να εισάγουν παρατήρηση."
"Γνώμη: δεν νομίζω","'___ ότι αυτό είναι η σωστή λύση.' Ποιος αρνητικός τύπος εκφράζει άποψη αμφισβήτησης;","Δεν νομίζω","Δεν βλέπω","Δεν ακούω","Δεν τρέχω","Το 'δεν νομίζω ότι' εκφράζει ήπια διαφωνία ή αμφιβολία. 'Δεν βλέπω', 'δεν ακούω', 'δεν τρέχω' δεν εκφράζουν άποψη σε αυτό το πλαίσιο."
"Γνώμη: υποστηρίζω","'___ ότι χρειαζόμαστε πιο αυστηρούς νόμους.' Ποιο ρήμα σημαίνει 'υπερασπίζομαι μια θέση';","Υποστηρίζω","Απορρίπτω","Αγνοώ","Αμφισβητώ","Το 'υποστηρίζω' σημαίνει ότι τάσσομαι υπέρ μιας άποψης και την υπερασπίζομαι. 'Απορρίπτω' σημαίνει ότι αρνούμαι μια άποψη, 'αγνοώ' ότι δεν δίνω σημασία, 'αμφισβητώ' ότι αμφιβάλλω."
"Συναίσθημα: χαρά","'Αισθάνομαι μεγάλη ___ όταν βλέπω τα παιδιά μου να γελούν.' Ποια λέξη εκφράζει θετικό συναίσθημα ευτυχίας;","χαρά","λύπη","θυμό","φόβο","Η 'χαρά' είναι θετικό συναίσθημα. 'Λύπη' είναι το αντίθετο, 'θυμός' είναι άλλο αρνητικό συναίσθημα, 'φόβος' εκφράζει ανησυχία ή τρόμο."
"Συναίσθημα: λύπη","'Νιώθω βαθιά ___ για ό,τι συνέβη.' Ποια λέξη εκφράζει θλίψη;","λύπη","ανακούφιση","περηφάνια","ανησυχία","Η 'λύπη' εκφράζει θλίψη και στεναχώρια. 'Ανακούφιση' εκφράζει ελάφρυνση, 'περηφάνια' εκφράζει υπερηφάνεια, 'ανησυχία' εκφράζει αγωνία."
