"title","question","correct","wrong1","wrong2","wrong3","explanation"
"French B2+ Vocab 2","Quel mot désigne une figure de style qui atténue une idée désagréable ?","euphémisme","hyperbole","métaphore","allégorie","L'euphémisme adoucit ; l'hyperbole exagère ; la métaphore compare ; l'allégorie représente une idée par une image."
"French B2+ Vocab 2","Quel mot désigne l'exagération volontaire pour frapper l'esprit ?","hyperbole","litote","antiphrase","périphrase","L'hyperbole amplifie ; la litote atténue ; l'antiphrase dit l'inverse ; la périphrase remplace par plusieurs mots."
"French B2+ Vocab 2","Quel terme désigne le fait de dire moins pour suggérer plus (ex. 'Va, je ne te hais point') ?","litote","hyperbole","oxymore","pléonasme","La litote affaiblit l'expression pour suggérer davantage ; l'hyperbole fait l'inverse."
"French B2+ Vocab 2","Quel terme désigne l'alliance de deux mots contradictoires (ex. 'une obscure clarté') ?","oxymore","pléonasme","zeugma","anaphore","L'oxymore réunit des contraires ; le pléonasme répète inutilement ; l'anaphore répète en tête de vers."
"French B2+ Vocab 2","Quelle figure consiste à répéter un mot au début de plusieurs phrases successives ?","anaphore","épiphore","chiasme","asyndète","L'anaphore répète en début ; l'épiphore en fin ; le chiasme croise ; l'asyndète supprime les liaisons."
"French B2+ Vocab 2","Comment nomme-t-on une expression redondante comme 'monter en haut' ?","pléonasme","oxymore","paronomase","antithèse","Le pléonasme est une répétition superflue d'un sens déjà contenu dans un autre mot."
"French B2+ Vocab 2","Quel mot désigne le remplacement d'un terme par une périphrase descriptive (ex. 'la Ville Lumière' pour Paris) ?","périphrase","métonymie","synecdoque","anaphore","La périphrase remplace un mot par une expression développée ; la métonymie substitue par contiguïté."
"French B2+ Vocab 2","Comment s'appelle la figure où l'on désigne le tout par la partie (ex. 'une voile à l'horizon' pour un bateau) ?","synecdoque","métonymie","allégorie","hyperbole","La synecdoque est un cas particulier de métonymie fondé sur l'inclusion (partie/tout)."
"French B2+ Vocab 2","Quel terme désigne l'ironie consistant à dire le contraire de ce que l'on pense ?","antiphrase","paronomase","anacoluthe","syllepse","L'antiphrase exprime une idée par son contraire, souvent à des fins ironiques."
"French B2+ Vocab 2","Quelle figure rapproche des mots de sonorités proches mais de sens différents (ex. 'qui se ressemble s'assemble') ?","paronomase","allitération","assonance","anaphore","La paronomase joue sur les paronymes ; l'allitération répète des consonnes ; l'assonance des voyelles."
"French B2+ Vocab 2","Comment nomme-t-on la répétition de consonnes identiques dans une phrase ?","allitération","assonance","anaphore","cacophonie","L'allitération répète des consonnes ; l'assonance répète des voyelles."
"French B2+ Vocab 2","Comment appelle-t-on une rupture volontaire dans la construction syntaxique d'une phrase ?","anacoluthe","ellipse","zeugma","inversion","L'anacoluthe brise la continuité grammaticale attendue ; l'ellipse supprime des mots sous-entendus."
"French B2+ Vocab 2","Quelle figure relie deux termes à un même verbe alors qu'il ne leur convient pas également (ex. 'vêtu de probité candide et de lin blanc') ?","zeugma","chiasme","pléonasme","hyperbate","Le zeugma (ou attelage) coordonne des compléments hétérogènes à un même mot."
"French B2+ Vocab 2","Quel mot désigne une construction en miroir (AB-BA) ?","chiasme","parallélisme","anaphore","antithèse","Le chiasme croise les termes en ordre inversé ; le parallélisme les dispose dans le même ordre."
"French B2+ Vocab 2","Quel registre convient à une lettre administrative formelle ?","soutenu","familier","argotique","populaire","Le registre soutenu recourt à un lexique châtié et à une syntaxe élaborée, exigés par l'écrit administratif."
"French B2+ Vocab 2","Lequel de ces verbes n'appartient PAS au registre soutenu ?","causer","deviser","converser","s'entretenir","'Causer' au sens de 'bavarder' est familier ; 'deviser', 'converser' et 's'entretenir' relèvent tous du registre soutenu."
"French B2+ Vocab 2","Lequel de ces verbes n'est PAS synonyme de 'renforcer un argument' ?","édulcorer","étayer","appuyer","corroborer","'Édulcorer' signifie affaiblir, adoucir — c'est l'inverse ; les trois autres renforcent bien un argument."
"French B2+ Vocab 2","Quel verbe désigne précisément le fait de réfuter point par point un raisonnement adverse ?","réfuter","contester","critiquer","nier","Réfuter = démontrer la fausseté par des arguments ; contester = mettre en doute ; nier = dire que c'est faux sans démontrer."
"French B2+ Vocab 2","Quel verbe signifie 'affirmer avec force, sans nécessairement prouver' ?","asséner","démontrer","prouver","établir","'Asséner' (une vérité, un argument) évoque une affirmation péremptoire, sans preuve requise."
"French B2+ Vocab 2","Quel adjectif décrit une réponse extrêmement brève, presque sèche, proche du mutisme ?","laconique","prolixe","verbeux","diffus","'Laconique' implique une brièveté sèche, proche du mutisme ; les trois autres désignent au contraire un excès de paroles."
"French B2+ Vocab 2","Quel adjectif qualifie un auteur qui écrit trop, de manière diluée ?","prolixe","concis","sobre","elliptique","'Prolixe' = qui s'étend trop longuement ; 'sobre' et 'concis' décrivent l'inverse."
