"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Presente: -are (io) – cercare","'Io ___ le chiavi.' Qual è la forma corretta?","cerco","cerchio","cerchi","cerca","Con 'io' i verbi in -care fanno 'cerco' (senza h): io cerco, io gioco."
"Presente: -are (tu) – pagare","'Tu ___ il conto.' Qual è la forma corretta?","paghi","pagi","pago","pagate","I verbi in -gare con 'tu' prendono la h: tu paghi, tu preghi."
"Presente: -are (lei) – giocare","'Mia figlia ___ a calcio ogni sabato.' Qual è la forma corretta?","gioca","giochi","giocano","giochiamo","Con 'lei' i verbi in -care: lei gioca. Solo con 'tu' e 'noi' serve la h."
"Presente: -are (noi) – cercare","'Noi ___ un ristorante.' Qual è la forma corretta?","cerchiamo","cerciamo","cerchamo","cercamo","I verbi in -care con 'noi' prendono la h: noi cerchiamo, noi giochiamo."
"Presente: -are (loro) – mangiare","'Loro ___ sempre la pasta.' Qual è la forma corretta?","mangiano","mangano","mangiamo","mangiono","Con 'loro' i verbi in -iare: loro mangiano (senza doppia i)."
"Presente: -are (voi) – cominciare","'Voi ___ sempre in ritardo.' Qual è la forma corretta?","cominciate","cominchiate","comincite","cominciano","I verbi in -ciare con 'voi' fanno -ciate: voi cominciate (la i è già nella desinenza -iate)."
"Presente: -ere (io) – conoscere","'Io ___ bene Roma.' Qual è la forma corretta?","conosco","conoscio","conosci","conosce","Con 'io' il verbo 'conoscere' fa: io conosco (senza i dopo sc)."
"Presente: -ere (lui) – scegliere","'Marco ___ sempre il gelato al cioccolato.' Qual è la forma corretta?","sceglie","scegle","scielge","sceglio","Il verbo 'scegliere' mantiene il gruppo -gli-: lui sceglie, io scelgo, loro scelgono."
"Presente: -ere (noi) – chiudere","'Noi ___ la finestra.' Qual è la forma corretta?","chiudiamo","chiudamo","chiudiemo","chiudono","Con 'noi' i verbi in -ere finiscono in -iamo: noi chiudiamo."
"Presente: -ere (loro) – leggere","'I ragazzi ___ molti libri.' Qual è la forma corretta?","leggono","leggeno","leggano","leggiamo","Con 'loro' i verbi in -ere finiscono in -ono: loro leggono."
"Presente: -ire (io) – sentire","'Io ___ un rumore strano.' Qual è la forma corretta?","sento","sentisco","senti","sente","'Sentire' è regolare (senza -isc): io sento, non 'sentisco'."
"Presente: -ire (noi) – partire","'Noi ___ domani mattina.' Qual è la forma corretta?","partiamo","partamo","partiemo","partono","Con 'noi' i verbi in -ire finiscono in -iamo: noi partiamo, noi dormiamo."
"Presente: -ire (voi) – dormire","'Voi ___ fino a tardi.' Qual è la forma corretta?","dormite","dormiate","dormate","dormono","Con 'voi' i verbi in -ire finiscono in -ite: voi dormite, voi partite."
"Presente: -isc (io) – spedire","'Io ___ una lettera.' Qual è la forma corretta?","spedisco","spedo","spedisci","spedi","Alcuni verbi in -ire aggiungono -isc-: io spedisco, io capisco, io pulisco."
"Presente: -isc (loro) – capire","'I bambini non ___ la domanda.' Qual è la forma corretta?","capiscono","capono","capano","capiamo","Con 'loro' i verbi in -isc fanno -iscono: loro capiscono, loro finiscono."
