"module","title","question","correct","wrong1","wrong2","wrong3","wrong4","explanation"
"1","Classical conditioning","In Pavlov's classical conditioning experiment, what was the unconditioned stimulus?","Food (meat powder)","The bell","The dog's salivation","The laboratory setting","The researcher's presence","The unconditioned stimulus is one that naturally and automatically triggers a response. Food naturally causes salivation (the unconditioned response). The bell was the conditioned stimulus — it only triggered salivation after repeated pairing with food."
"1","Operant conditioning founder","Who is most closely associated with operant conditioning and the use of reinforcement schedules?","B.F. Skinner","Ivan Pavlov","Sigmund Freud","Jean Piaget","Carl Rogers","Skinner developed the theory of operant conditioning, studying how consequences (reinforcement and punishment) shape behavior. Pavlov is associated with classical conditioning. Freud with psychoanalysis. Piaget with cognitive development. Rogers with humanistic psychology."
"2","Independent variable","In an experiment, the variable that the researcher deliberately manipulates is called the:","Independent variable","Dependent variable","Control variable","Confounding variable","Extraneous variable","The independent variable is what the experimenter changes to observe its effect. The dependent variable is what is measured. Control variables are held constant. Confounding variables are unwanted influences that weren't controlled for."
"3","Validity vs reliability","A test that consistently produces the same results but does not measure what it claims to measure has:","High reliability but low validity","High validity but low reliability","Both high validity and high reliability","Neither validity nor reliability","High internal consistency only","Reliability refers to consistency of measurement. Validity refers to whether the test measures what it's supposed to. A test can be reliable (consistent) without being valid (accurate). However, a valid test must also be reliable."
"4","Broca's area","Damage to Broca's area in the left frontal lobe primarily results in:","Difficulty producing speech","Difficulty understanding speech","Loss of long-term memory","Impaired visual perception","Loss of motor coordination","Broca's area (left inferior frontal gyrus) controls speech production. Damage causes Broca's aphasia — the patient understands language but struggles to produce fluent speech. Wernicke's area damage causes comprehension difficulties. Memory involves the hippocampus."
"5","Working memory","In Baddeley's model of working memory, the component responsible for processing and temporary storage of visual and spatial information is the:","Visuospatial sketchpad","Phonological loop","Central executive","Episodic buffer","Long-term store","The visuospatial sketchpad handles visual and spatial information. The phonological loop processes verbal/acoustic information. The central executive directs attention and coordinates the subsystems. The episodic buffer integrates information from multiple sources."
"5","Ebbinghaus forgetting curve","Ebbinghaus's forgetting curve demonstrated that:","Most forgetting occurs shortly after learning, then levels off","Forgetting occurs at a constant rate over time","Memories are permanently stored and never truly forgotten","Forgetting only occurs during sleep","Older memories are forgotten faster than recent ones","Ebbinghaus showed that memory retention drops sharply in the first hours after learning, then the rate of forgetting gradually slows. This finding has been replicated extensively and is foundational to spaced repetition techniques."
"6","Gestalt principles","The Gestalt principle that explains why we perceive objects that are close together as belonging to a group is called:","Proximity","Similarity","Closure","Continuity","Figure-ground","Proximity states that elements near each other are perceived as a group. Similarity groups by shared features. Closure fills in gaps to perceive complete shapes. Continuity perceives smooth, continuous patterns. Figure-ground distinguishes objects from background."
"7","Executive functions","Which of the following is NOT typically considered a core executive function?","Sensory perception","Inhibitory control","Working memory updating","Cognitive flexibility (shifting)","Planning and problem-solving","Sensory perception is a basic cognitive process, not an executive function. Core executive functions include inhibitory control (resisting impulses), working memory updating (monitoring and updating information), and cognitive flexibility (switching between tasks or mental sets)."
"8","Maslow's hierarchy","According to Maslow's hierarchy of needs, which need must be satisfied BEFORE a person can pursue self-actualization?","Esteem needs","Only physiological needs","Only safety needs","No prerequisites exist — any need can motivate at any time","Spiritual needs","Maslow proposed that needs must be satisfied in order from basic to higher: physiological, safety, belonging, esteem, then self-actualization. Esteem is the level immediately below self-actualization, making it the final prerequisite. All lower needs must be met, but esteem is the last barrier."
