"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Passief: VTT met zijn","Het huis ___ vorig jaar door een beroemde architect ontworpen.","is","heeft","had","wort","De passieve VTT gebruikt 'zijn' + voltooid deelwoord: 'is ontworpen'. 'Heeft/had ontworpen' is actief, niet passief. 'Wort' bestaat niet."
"Passief: herhaling in OVT","Toen ik jong was, ___ de brieven nog door de postbode bezorgd.","werden","werdden","wordden","worde","'Werden' is de juiste meervoudsvorm van het passief in de verleden tijd. De andere vormen bestaan niet in het Nederlands."
"Passief: er + VTT","Er ___ veel fouten gemaakt tijdens het project, maar inmiddels is alles opgelost.","zijn","hebben","heeft","waren gemaakt","'Er zijn + voltooid deelwoord' is de passieve VTT. 'Hebben/heeft gemaakt' is actief en eist een onderwerp. 'Waren gemaakt' is VVT maar past niet bij 'inmiddels is alles opgelost'."
"Passief: er + algemene regel","Er ___ hier niet gerookt.","wordt","worden","word","werdt","Onpersoonlijk passief met enkelvoud: 'er wordt'. 'Worden' is meervoud en heeft geen meervoudig onderwerp. 'Word' en 'werdt' bestaan niet als persoonsvorm."
"Passief met modaal","De auto ___ morgen gerepareerd worden.","moet","wordt","is","heeft","Bij modaal + passief: modaal vooraan + voltooid deelwoord + 'worden'. 'Wordt/is/heeft gerepareerd worden' is grammaticaal onmogelijk."
"Passief met kunnen","Dit probleem ___ gemakkelijk opgelost worden.","kan","wordt","is","heeft","'Kan + VD + worden' drukt mogelijkheid passief uit. 'Wordt opgelost worden' en 'is/heeft opgelost worden' zijn grammaticaal onmogelijk."
"Passief: toestand vs handeling","De winkel is al dicht: de deuren ___ om zes uur gesloten.","werden","worden","zullen","zijn zich","Hier ligt nadruk op de handeling in het verleden (om zes uur = tijdstip van de actie). 'Worden' is heden, 'zullen' is toekomst, 'zijn zich' is grammaticaal onmogelijk."
"Passief: VVT passief","Het rapport ___ al geschreven voordat de vergadering begon.","was","had","heeft","wordde","De passieve VVT gebruikt 'was/waren' + voltooid deelwoord. 'Had/heeft geschreven' is actief. 'Wordde' bestaat niet."
"Passief: meervoud agens","De resultaten ___ gisteren door de directeur bekendgemaakt.","werden","werdt","wordden","waren bekendgemaakte","Meervoud OVT passief: 'werden' + voltooid deelwoord. De andere vormen bevatten spelfouten of ongrammaticale vervoegingen."
"Passief met mogen","Deze documenten ___ niet gekopieerd worden.","mogen","hadden","zijn","waren","'Mogen + VD + worden' drukt toestemming passief uit. 'Hadden/zijn/waren gekopieerd worden' is grammaticaal onmogelijk."
"Passief: onpersoonlijk","Er ___ de hele avond gedanst en gezongen.","werd","was","had","wierd","Onpersoonlijk passief met onovergankelijke werkwoorden: 'er werd + VD'. 'Was/had gedanst' is ongrammaticaal in deze constructie. 'Wierd' is geen standaard Nederlands."
