"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Congiuntivo: verbo irregolare 'andare'","'Credo che loro ___ a Roma domani.' Qual è la forma corretta?","vadano","vanno","andino","andrebbero","Dopo 'credo che' si usa il congiuntivo. 'Andare' è irregolare al congiuntivo: io vada, tu vada, lui vada, noi andiamo, voi andiate, loro vadano."
"Congiuntivo: verbo irregolare 'uscire'","'Penso che Marco ___ troppo spesso la sera.' Qual è la forma corretta?","esca","esce","usca","esci","Il congiuntivo di 'uscire' è irregolare: io esca, tu esca, lui esca. Non segue la coniugazione regolare in -ire."
"Congiuntivo: verbo irregolare 'venire'","'Spero che i miei genitori ___ a trovarmi.' Qual è la forma corretta?","vengano","vengono","venano","venissero","Il congiuntivo presente di 'venire' con loro: vengano. Attenzione: 'vengono' è indicativo, non congiuntivo."
"Congiuntivo: verbo irregolare 'sapere'","'Non credo che tu ___ la risposta.' Qual è la forma corretta?","sappia","sai","sapessi","sapia","Il congiuntivo presente di 'sapere' è molto irregolare: io sappia, tu sappia, lui sappia. Attenzione alla doppia 'p'."
"Congiuntivo: verbo irregolare 'dare'","'Bisogna che voi ___ una risposta entro domani.' Qual è la forma corretta?","diate","date","deste","dareste","Il congiuntivo presente di 'dare' con voi: diate. Da non confondere con 'date' (indicativo presente)."
"Congiuntivo: verbo irregolare 'stare'","'È importante che tu ___ attento durante la lezione.' Qual è la forma corretta?","stia","stai","stessi","staresti","Il congiuntivo presente di 'stare': io stia, tu stia, lui stia. Non confondere con 'stai' (indicativo)."
"Congiuntivo: verbo irregolare 'tenere'","'Voglio che voi ___ le mani sul tavolo.' Qual è la forma corretta?","teniate","tenete","tengano","terrete","Il congiuntivo presente di 'tenere' con voi: teniate. Con loro sarebbe 'tengano'. Con io/tu/lui: tenga."
"Congiuntivo: forme uguali io/tu/lui","'È strano che io ___ la stessa cosa che dici tu.' Qual è la forma corretta?","pensi","penso","pensassi","penserei","Al congiuntivo presente, io/tu/lui hanno la stessa forma: che io pensi, che tu pensi, che lui pensi. Spesso si aggiunge il pronome per chiarezza."
"Congiuntivo: scelta del modo dopo 'credere'","'Non credo che ___ giusto e non penso che lui lo ___.' Quale coppia completa la frase?","sia … meriti","è … merita","sia … meritasse","fosse … meriti","Due subordinate rette da verbi di opinione negativa richiedono entrambe il congiuntivo presente: 'sia' e 'meriti'. La negazione rafforza il dubbio."
"Congiuntivo: con 'prima che'","'Telefona prima che ___ troppo tardi.' Qual è la forma corretta?","sia","è","sarà","fosse","'Prima che' richiede sempre il congiuntivo: 'prima che sia tardi'. Si usa il presente quando l'azione è attuale."
"Congiuntivo: indicativo vs congiuntivo","'So che Maria ___ a Firenze.' Qual è la forma corretta?","vive","viva","vivesse","vivrebbe","Dopo 'sapere che' si usa l'indicativo, non il congiuntivo! 'So che' esprime certezza, quindi: 'vive'. Solo il dubbio richiede il congiuntivo."
"Condizionale: irregolare 'bere'","'Con questo caldo, ___ volentieri un tè freddo.' Qual è la forma corretta?","berrei","beverei","beverrei","bevirei","Il condizionale di 'bere' è irregolare: berrei, berresti, berrebbe. La radice cambia da 'bev-' a 'berr-'."
"Condizionale: irregolare 'rimanere'","'Io ___ a casa, ma devo andare a lavorare.' Qual è la forma corretta?","rimarrei","rimanerei","rimanrei","rimango","Il condizionale di 'rimanere' è irregolare: rimarrei. La radice cambia: 'riman-' diventa 'rimarr-'."
"Condizionale: irregolare 'tenere'","'___ volentieri il tuo gatto per le vacanze.' Qual è la forma corretta?","Terrei","Tenerei","Tenirei","Tenrei","Il condizionale di 'tenere' è irregolare: terrei. La radice cambia: 'ten-' diventa 'terr-'. Segue lo stesso schema di 'venire' → 'verrei'."
"Condizionale: irregolare 'vedere'","'___ quel film di nuovo con piacere.' Qual è la forma corretta?","Vedrei","Vederrei","Vederei","Vedirei","Il condizionale di 'vedere': vedrei. La 'e' della radice cade: 'veder-' diventa 'vedr-'. Attenzione: una sola 'r'!"
"Condizionale: irregolare 'vivere'","'Noi ___ volentieri in campagna.' Qual è la forma corretta?","vivremmo","viveremmo","viviremmo","vivremo","Il condizionale di 'vivere' con noi: vivremmo. La 'e' cade: 'viver-' diventa 'vivr-'. Non confondere con il futuro 'vivremo'."
"Condizionale: desiderio irrealizzabile","'Mi ___ comprare una casa al mare, ma costa troppo.' Qual è la forma corretta?","piacerebbe","piace","piacerà","piaceva","Il condizionale 'piacerebbe' esprime un desiderio non realizzabile. Si usa con 'mi' come il presente: 'mi piacerebbe'."
"Condizionale: riportare notizie","'Secondo i giornali, il presidente ___ domani.' Qual è la forma corretta?","parlerebbe","parla","parlerà","parlasse","In italiano il condizionale si usa per riportare notizie non confermate: 'parlerebbe' = 'reportedly he would speak'. È tipico del linguaggio giornalistico."
"Condizionale: forma con 'noi' irregolare","'Noi ___ subito, ma il treno è in ritardo.' Qual è la forma corretta?","partiremmo","partimmo","partiremo","partiamo","Il condizionale di 'partire' con noi: partiremmo. Da non confondere con il passato remoto 'partimmo' o il futuro 'partiremo'."
"Condizionale: 'sapere' condizionale","'Non ___ dirti con certezza se è vero.' Qual è la forma corretta?","saprei","so","saprò","sapessi","Il condizionale di 'sapere': saprei. Si usa per esprimere incertezza in modo gentile: 'non saprei dirti' = 'I wouldn't know how to tell you'."
