"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Να + ρήμα: ανώμαλος αόριστος (βλέπω)","'Θέλω να ___ τι έγινε χθες.' Ποια είναι η σωστή μορφή;","δω","είδα","βλέποντας","θα δω","Υποτακτική αορίστου α' ενικού του 'βλέπω': 'να δω'. Το 'είδα' είναι οριστική αορίστου — δεν μπαίνει μετά το 'να' σε καμία περίπτωση. Το 'βλέποντας' είναι μετοχή — το 'να' δεν παίρνει ποτέ μετοχή. Το 'θα δω' συνδυάζει 'να' με 'θα' — τα δύο μόρια δεν συνυπάρχουν."
"Να + ρήμα: ανώμαλος αόριστος (λέω)","'Πρέπει να σου ___ κάτι σημαντικό.' Ποια είναι η σωστή μορφή;","πω","είπα","λέγοντας","θα πω","Υποτακτική αορίστου α' ενικού του 'λέω': 'να πω'. Το 'είπα' είναι οριστική αορίστου — δεν μπαίνει μετά το 'να'. Το 'λέγοντας' είναι μετοχή — το 'να' δεν παίρνει μετοχή. Το 'θα πω' συνδυάζει 'να' με 'θα' — αγραμματικό."
"Να + ρήμα: ανώμαλος αόριστος (πίνω)","'Μπορώ να ___ ένα ποτήρι νερό;' Ποια είναι η σωστή μορφή;","πιω","ήπια","πίνοντας","θα πιω","Υποτακτική αορίστου του 'πίνω': 'να πιω'. Το 'ήπια' είναι οριστική αορίστου — δεν μπαίνει μετά το 'να'. Το 'πίνοντας' είναι μετοχή — το 'να' δεν παίρνει μετοχή. Το 'θα πιω' συνδυάζει 'να' με 'θα' — αγραμματικό."
"Να + ρήμα: ανώμαλος αόριστος (τρώω)","'Θέλουμε να ___ κάτι πριν φύγουμε.' Ποια είναι η σωστή μορφή;","φάμε","φάγαμε","τρώγοντας","θα φάμε","Υποτακτική αορίστου α' πληθυντικού του 'τρώω': 'να φάμε'. Το 'φάγαμε' είναι οριστική αορίστου — δεν μπαίνει μετά το 'να'. Το 'τρώγοντας' είναι μετοχή — το 'να' δεν παίρνει μετοχή. Το 'θα φάμε' συνδυάζει 'να' με 'θα' — αγραμματικό."
"Να + ρήμα: υποτακτική αορίστου (γράφω)","'Πρέπει να ___ ένα γράμμα τώρα.' Ποια είναι η σωστή μορφή;","γράψω","έγραψα","γράφοντας","θα γράψω","Υποτακτική αορίστου α' ενικού του 'γράφω': 'να γράψω'. Το 'έγραψα' είναι οριστική αορίστου — δεν μπαίνει μετά το 'να'. Το 'γράφοντας' είναι μετοχή — το 'να' δεν παίρνει μετοχή. Το 'θα γράψω' συνδυάζει 'να' με 'θα' — αγραμματικό."
"Να + ρήμα: υποτακτική αορίστου (φεύγω)","'Πρέπει να ___ αμέσως.' Ποια είναι η σωστή μορφή;","φύγω","έφυγα","φεύγοντας","θα φύγω","Υποτακτική αορίστου α' ενικού του 'φεύγω': 'να φύγω'. Το 'έφυγα' είναι οριστική αορίστου — δεν μπαίνει μετά το 'να'. Το 'φεύγοντας' είναι μετοχή — το 'να' δεν παίρνει μετοχή. Το 'θα φύγω' συνδυάζει 'να' με 'θα' — αγραμματικό."
"Να + ρήμα: άρνηση με μην","'Σου είπα ___ αργήσεις.' Ποια είναι η σωστή μορφή;","να μην","να δεν","δεν να","μη να","Η άρνηση σε υποτακτική πρόταση γίνεται με 'να μην': 'να μην αργήσεις'. Το 'δεν' χρησιμοποιείται μόνο σε οριστική. Η σειρά 'δεν να' και 'μη να' είναι αγραμματική — το 'να' πρέπει να προηγείται."
"Να + ρήμα: ελπίζω να","'Ελπίζω να ___ καλά στις εξετάσεις σου.' Ποια είναι η σωστή μορφή;","πας","πήγες","πηγαίνοντας","θα πας","Υποτακτική αορίστου β' ενικού του 'πάω': 'να πας'. Το 'πήγες' είναι οριστική αορίστου — δεν μπαίνει μετά το 'να'. Το 'πηγαίνοντας' είναι μετοχή — το 'να' δεν παίρνει μετοχή. Το 'θα πας' συνδυάζει 'να' με 'θα' — αγραμματικό."
"Να + ρήμα: φοβάμαι μην","'Φοβάμαι ___ αργήσει πάλι.' Ποια είναι η σωστή μορφή;","μην","να δεν","ότι μην","αν μην","Μετά το 'φοβάμαι' (υποψία/φόβος για κάτι αρνητικό) χρησιμοποιούμε 'μην' + υποτακτική: 'φοβάμαι μην αργήσει'. Το 'να δεν' είναι αγραμματικό — η άρνηση υποτακτικής είναι 'να μην' ενιαία. Τα 'ότι μην' και 'αν μην' δεν υπάρχουν ως σύνδεσμοι."
"Να + ρήμα: αποφεύγω","'Προσπαθώ να ___ γλυκά.' Ποια είναι η σωστή μορφή;","μην τρώω","δεν τρώω","τρώω μην","ότι τρώω","Αρνητική υποτακτική ενεστώτα: 'να μην τρώω'. Το 'δεν' δεν χρησιμοποιείται σε υποτακτική — μόνο σε οριστική. Το 'τρώω μην' έχει αντίστροφη σειρά — το 'μην' προηγείται πάντα του ρήματος. Το 'ότι' δεν εισάγει βουλητική πρόταση μετά από 'προσπαθώ να'."
