"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Imparfait: habitude","Quand j'étais petit, je ___ au parc tous les jours.","allais","allait","allions","allaient","Sujet 'je' + habitude passée → 'allais'. Les autres formes ne s'accordent pas avec 'je'."
"Passé composé: action ponctuelle","Hier à 8h, Marie ___ un café et elle est partie.","a bu","a boire","a buvé","est bu","Passé composé = avoir + participe passé 'bu'. 'boire' infinitif, 'buvé' n'existe pas, 'être' est le mauvais auxiliaire."
"Imparfait: description","Il ___ beau et les oiseaux chantaient.","faisait","faisais","faisait eu","a faisait","'Il' (3sg) → 'faisait'. 'faisais' est la forme 'je/tu'; les autres n'existent pas."
"Imparfait: habitude","Chaque été, nous ___ chez nos grands-parents.","allions","allait","allaient","allais","Sujet 'nous' → 'allions'. Les autres terminaisons ne s'accordent pas avec 'nous'."
"Passé composé: moment précis","Samedi dernier, j'___ un nouveau vélo.","ai acheté","a acheté","ai achetais","suis acheté","Sujet 'je' + PC → 'ai acheté'. 'a acheté' est pour 'il/elle'; 'achetais' n'est pas un participe; 'être' est le mauvais auxiliaire."
"Imparfait: âge","Quand elle ___ dix ans, elle habitait à Lyon.","avait","avais","avaient","a ayé","'Elle' (3sg) → 'avait'. Les autres formes n'existent pas ou ne s'accordent pas."
"Passé composé: action soudaine","Tout à coup, le téléphone ___.","a sonné","a sonner","est sonné","a sonnait","PC = avoir + 'sonné'. 'sonner' infinitif, 'être' mauvais auxiliaire, 'sonnait' n'est pas un participe."
"Imparfait: habitude","Avant, les enfants ___ toujours à l'école à pied.","allaient","allait","allais","allions","Sujet 'les enfants' (3pl) → 'allaient'. Les autres ne s'accordent pas."
"Passé composé: une fois","L'année dernière, nous ___ en Italie une seule fois.","sommes allés","avons allés","sommes allé","sommes alliés","Verbe 'aller' + PC → 'être' + 'allés' (accord avec 'nous'). 'avoir' est le mauvais auxiliaire; sans 's' pas d'accord pluriel; 'alliés' n'est pas le participe."
"Imparfait: description","La maison ___ grande et il y avait un jardin.","était","étais","étaient","a été","Sujet 'la maison' (3sg) → 'était'. 'étais' est 'je/tu'; 'étaient' est pluriel; 'a été' est PC."
"Passé composé: action terminée","Ce matin, Paul ___ son petit-déjeuner à 7h.","a mangé","a mangée","a manger","est mangé","PC sans COD antéposé → 'a mangé' sans accord. 'mangée' accord impossible, 'manger' infinitif, 'être' mauvais auxiliaire."
"Imparfait: habitude","Tous les dimanches, mon père ___ la cuisine.","faisait","faisais","faisaient","a faisait","Sujet 'mon père' (3sg) → 'faisait'. Les autres ne s'accordent pas ou n'existent pas."
"Passé composé: hier soir","Hier soir, j'___ un bon film au cinéma.","ai vu","ai voyé","ai voir","suis vu","PC de 'voir' = 'ai vu'. 'voyé' n'existe pas, 'voir' est infinitif, 'être' mauvais auxiliaire."
"Imparfait: habitude","Quand j'étais étudiant, je ___ beaucoup de café tous les matins.","buvais","buvait","buvions","a bu","Sujet 'je' + habitude → 'buvais'. 'buvait' (3sg), 'buvions' (nous), 'a bu' (3sg PC) ne conviennent pas."
"Pronom COI: lui","Je téléphone à ma mère. Je ___ téléphone.","lui","la","le","leurs","COI singulier → 'lui'. 'la/le' sont COD ; 'leurs' est un adjectif possessif, pas un pronom."
"Pronom COI: leur","Il parle à ses amis. Il ___ parle.","leur","les","leurs","la","COI pluriel → 'leur' (invariable). 'les/la' sont COD ; 'leurs' est un adjectif possessif, pas un pronom."
"Pronom COI: lui","Nous écrivons à notre professeur. Nous ___ écrivons.","lui","le","la","leurs","COI singulier → 'lui'. 'le/la' sont COD ; 'leurs' est un adjectif possessif, pas un pronom."
"Pronom COI: leur","Tu donnes un cadeau à tes parents. Tu ___ donnes un cadeau.","leur","les","leurs","la","COI pluriel → 'leur'. 'les/la' sont COD ; 'leurs' est possessif, pas un pronom."
"Pronom COI: lui","Elle répond à son frère. Elle ___ répond.","lui","le","la","leurs","'Répondre à qqn' + singulier → 'lui'. 'le/la' sont COD ; 'leurs' est possessif, pas un pronom."
"Pronom COI: leur","Le prof explique la leçon aux élèves. Il ___ explique la leçon.","leur","les","leurs","la","COI pluriel → 'leur'. 'les/la' sont COD ; 'leurs' est possessif, pas un pronom."
"Pronom COI: lui","J'offre des fleurs à Marie. Je ___ offre des fleurs.","lui","la","l'","me","COI singulier → 'lui'. 'la/l'' sont COD; 'me' mauvaise personne."
"Pronom COI: leur","Il demande l'heure à ses voisins. Il ___ demande l'heure.","leur","les","la","leurs","COI pluriel → 'leur'. 'les/la' sont COD ; 'leurs' est possessif, pas un pronom."
"Pronom COI: lui","Je prête mon livre à Paul. Je ___ prête mon livre.","lui","le","la","leurs","COI singulier → 'lui'. 'le/la' sont COD ; 'leurs' est possessif, pas un pronom."
"Pronom COI: leur","Elle envoie une carte à ses cousins. Elle ___ envoie une carte.","leur","les","leurs","la","COI pluriel → 'leur'. 'les/la' sont COD ; 'leurs' est possessif."
"Futur proche: imminent","Attention ! Le bébé ___ tomber !","va","vas","vais","allera","Sujet 'le bébé' (3sg) + aller + inf → 'va'. 'vas/vais' sont les mauvaises personnes; 'allera' n'existe pas (futur d'aller = 'ira')."
"Futur proche: projet du soir","Ce soir, je ___ regarder un film juste après le dîner.","vais","va","vas","allerai","Sujet 'je' → 'vais'. Les autres ne s'accordent pas avec 'je' ou n'existent pas."
"Futur simple: forme","Dans dix ans, nous ___ dans une autre ville.","habiterons","habiteront","habiterez","habitera","Futur simple 'nous' → 'habiterons'. Les autres terminaisons ne s'accordent pas avec 'nous'."
"Futur simple: forme","Un jour, tu ___ un grand artiste.","seras","sera","serez","serai","Futur simple 'tu' → 'seras'. Les autres formes ne s'accordent pas avec 'tu'."
"Futur proche: imminent","Dépêche-toi, le train ___ partir dans une seconde !","va","vas","vais","allera","Sujet 'le train' (3sg) → 'va'. 'vas/vais' mauvaises personnes; 'allera' n'existe pas."
"Futur simple: forme","L'année prochaine, ils ___ à l'université pour la première fois.","iront","irons","irez","ira","Futur simple d'aller à 'ils' → 'iront'. Les autres ne s'accordent pas avec 'ils'."
"Futur proche: imminent","Vite ! Je ___ rater mon bus dans dix secondes !","vais","va","vas","allerai","Sujet 'je' → 'vais'. 'va/vas' mauvaises personnes; 'allerai' n'existe pas."
"Futur simple: forme","Quand je serai grand, je ___ médecin.","serai","sera","seras","serons","Futur simple 'je' → 'serai'. Les autres ne s'accordent pas avec 'je'."
"Futur simple: forme","Demain matin, vous ___ le résultat de l'examen.","saurez","saurons","sauront","saura","Futur simple 'vous' de 'savoir' → 'saurez'. Les autres ne s'accordent pas avec 'vous'."
"Futur proche: imminent","Regarde le ciel ! Il ___ pleuvoir d'une minute à l'autre.","va","vas","vais","allera","Sujet impersonnel 'il' (3sg) → 'va'. 'vas/vais' mauvaises personnes; 'allera' n'existe pas."
"Futur simple: forme","Nous ___ tous nos amis à la fête samedi prochain.","inviterons","inviteront","inviterez","invitera","Futur simple 'nous' → 'inviterons'. Les autres ne s'accordent pas avec 'nous'."
"Futur proche: imminent","Silence ! Le concert ___ commencer dans quelques secondes.","va","vas","vais","allera","Sujet 'le concert' (3sg) → 'va'. 'vas/vais' mauvaises personnes; 'allera' n'existe pas."
"Préposition: pays féminin","Ma sœur habite ___ France.","en","à","au","le","Pays féminin → 'en France'. 'à/au/le France' sont agrammaticaux."
"Préposition: ville","Nous allons ___ Paris ce week-end pour la première fois.","à","au","en la","le","Devant un nom de ville sans article → 'à Paris'. 'au/en la/le Paris' sont agrammaticales."
"Préposition: pays masculin","Il voyage ___ Portugal cet été.","au","en","à","le","Pays masculin singulier → 'au Portugal'. Les autres sont agrammaticales."
"Préposition: chez","Ce soir, je dîne ___ mes grands-parents.","chez","à","en","au","'Chez' + personne = au domicile de. Les autres prépositions sont agrammaticales devant un possessif + personne."
"Préposition: verbe + de","J'ai besoin ___ un stylo.","d'","à","au","en","'Avoir besoin de' + nom → 'd'un stylo'. Les autres prépositions ne s'emploient pas avec 'besoin'."
"Préposition: pays pluriel","Elle part ___ États-Unis la semaine prochaine.","aux","en","à","au","Pays pluriel → 'aux États-Unis'. Les autres sont agrammaticales."
"Préposition: dans + lieu fermé","Les clés sont ___ le tiroir de la cuisine.","dans","en","au","chez","Lieu fermé précis avec article défini → 'dans le tiroir'. Les autres sont agrammaticales."
"Préposition: verbe + à","Je pense souvent ___ mes vacances d'été.","à","de","au","en","'Penser à' + chose/personne. 'penser de' existe seulement dans 'Que penses-tu de…?' ; les autres sont agrammaticales ici."
"Préposition: chez + professionnel","J'ai rendez-vous ___ le dentiste à 15h.","chez","à","en","dans","'Chez' + profession = au cabinet de. 'à le' est agrammatical (contraction obligatoire en 'au') ; 'en le/dans le' ne s'emploient pas avec une personne."
"Préposition: pays féminin","Nous partons ___ Italie demain matin.","en","à","au","la","Pays féminin → 'en Italie'. Les autres sont agrammaticales."
"Préposition: venir de (pays masculin)","Ce colis vient directement ___ Japon par bateau.","du","de","en","à","'Venir de' + pays masculin → 'du Japon'. 'de Japon' sans article est agrammatical ; 'en/à Japon' sont agrammaticales (pays masculin requiert article)."
"Préposition: verbe + de","Elle parle ___ son travail à ses amis tous les jours.","de","à","en","au","'Parler de qqch' = au sujet de. Les autres prépositions ne conviennent pas ici."
"Préposition: chez (domicile)","Je reste ___ moi ce soir pour me reposer.","chez","à","en","au","'Chez moi' = à la maison. 'à moi/en moi/au moi' sont agrammaticales comme expression de lieu."
"Préposition: dans + temps futur","Le film commence ___ dix minutes exactement.","dans","à","au","chez","'Dans' + durée = délai futur à partir de maintenant. 'en dix minutes' = durée de l'action, pas le délai ; les autres sont agrammaticales."
