"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Προστακτική αόριστη (άτυπη): γράφω","___ το γράμμα σου τώρα!","Γράψε","Γράφε","Γράψεις","Γράψει","Η αόριστη προστακτική (perfective imperative) για ενέργεια που πρέπει να γίνει μια φορά: γράψε. Το 'γράφε' είναι παρατατική προστακτική (imperfective). Τα 'γράψεις' και 'γράψει' είναι υποτακτικές μορφές, όχι προστακτικές."
"Προστακτική παρατατική (άτυπη): γράφω","Κάθε μέρα ___ στο ημερολόγιό σου.","Γράφε","Γράψε","Γράφεις","Γράψεις","Για επαναλαμβανόμενη ενέργεια χρησιμοποιούμε την παρατατική προστακτική: γράφε. Το 'γράψε' είναι αόριστη προστακτική (μία ενέργεια). Τα 'γράφεις' και 'γράψεις' είναι οριστική και υποτακτική, όχι προστακτικές."
"Προστακτική (άτυπη): πηγαίνω","___ αμέσως στο γιατρό!","Πήγαινε","Πήγαινα","Πάει","Πηγαίνεις","Η προστακτική του 'πηγαίνω' είναι 'πήγαινε'. Το 'πήγαινα' είναι α΄ πρόσωπο παρατατικού οριστικής, όχι προστακτική. Το 'πάει' είναι τρίτο πρόσωπο οριστικής. Το 'πηγαίνεις' είναι β΄ πρόσωπο οριστικής."
"Προστακτική αόριστη (τυπική πληθυντικός): γράφω","Παρακαλώ ___ τα ονόματά σας εδώ.","Γράψτε","Γράφετε","Γράψετε","Γράψαν","Η αόριστη προστακτική πληθυντικού (επίσης τυπική ενικός) είναι 'γράψτε'. Το 'γράφετε' είναι παρατατική προστακτική πληθυντικού ή οριστική. Το 'γράψετε' είναι υποτακτική. Το 'γράψαν' είναι αόριστος οριστικής γ΄ πληθυντικού."
"Προστακτική παρατατική (τυπική πληθυντικός): γράφω","Παρακαλώ ___ αργά και καθαρά.","Γράφετε","Γράψτε","Γράψετε","Γράψαν","Για συνεχή ή επαναλαμβανόμενη ενέργεια, ο πληθυντικός παρατατικής προστακτικής είναι 'γράφετε'. Το 'γράψτε' είναι αόριστη προστακτική. Το 'γράψετε' είναι υποτακτική αόριστου. Το 'γράψαν' είναι γ΄ πληθυντικός αορίστου οριστικής."
"Προστακτική αόριστη (άτυπη): ανοίγω","___ το παράθυρο, παρακαλώ!","Άνοιξε","Ανοίγε","Ανοίξεις","Ανοίξει","Αόριστη προστακτική ενικού: άνοιξε. Το 'ανοίγε' είναι η παρατατική μορφή. Τα 'ανοίξεις' και 'ανοίξει' είναι υποτακτικές, όχι προστακτικές."
"Προστακτική αόριστη (άτυπη): έρχομαι","___ εδώ αμέσως!","Έλα","Έρχεσαι","Ερχόσουν","Ελθείς","Η αόριστη προστακτική του 'έρχομαι' είναι 'έλα' (ανώμαλη). Το 'έρχεσαι' είναι ενεστώτας. Το 'ερχόσουν' είναι παρατατικός. Το 'ελθείς' δεν υπάρχει ως τύπος."
"Προστακτική παρατατική (άτυπη): διαβάζω","___ το βιβλίο σου κάθε βράδυ.","Διάβαζε","Διάβασε","Διαβάζεις","Διαβάσεις","Για επαναλαμβανόμενη συνήθεια, η παρατατική προστακτική: διάβαζε. Το 'διάβασε' είναι αόριστη (μία ενέργεια). Τα 'διαβάζεις' και 'διαβάσεις' είναι οριστική και υποτακτική."
"Προστακτική αόριστη (τυπική πληθυντικός): ανοίγω","___ τις πόρτες του μουσείου!","Ανοίξτε","Ανοίγετε","Ανοίξετε","Ανοίξανε","Αόριστη προστακτική πληθυντικού: ανοίξτε. Το 'ανοίγετε' είναι παρατατική πληθυντικού ή οριστική. Το 'ανοίξετε' είναι υποτακτική. Το 'ανοίξανε' είναι αόριστος οριστικής γ΄ πληθυντικού."
"Προστακτική αόριστη (άτυπη): φεύγω","Φίλε, ___ τώρα — τo ταξί σε περιμένει.","Φύγε","Φεύγεις","Φύγεις","Φύγει","Αόριστη προστακτική ενικού του 'φεύγω': φύγε. Το 'φεύγεις' είναι ενεστώτας οριστικής. Τα 'φύγεις' και 'φύγει' είναι υποτακτικές, όχι προστακτικές."
