"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Άποψη: παρόν συνεχές vs στιγμιαίο","Κάθε πρωί ο Νίκος ___ εφημερίδα στο καφενείο.","διαβάζει","διαβάσει","διαβάσεται","διαβαζόταν","Για συνήθεια στο παρόν χρησιμοποιείται ο ενεστώτας (ατελής άποψη): 'διαβάζει'. Το 'διαβάσει' είναι τύπος υποτακτικής, το 'διαβάσεται' δεν υπάρχει ως τύπος, και το 'διαβαζόταν' είναι παρατατικός."
"Άποψη: παρόν επαναλαμβανόμενο","Τα παιδιά ___ μαθήματα κάθε βράδυ.","κάνουν","κάνεται","κάναν","κάνοι","Η επαναλαμβανόμενη πράξη στο παρόν εκφράζεται με ατελή ενεστώτα: 'κάνουν'. Το 'κάνεται' είναι παθητική φωνή, 'κάναν' είναι τύπος αορίστου, και 'κάνοι' δεν υπάρχει ως τύπος."
"Άποψη: αόριστος vs παρατατικός (στιγμιαία πράξη)","Χθες το βράδυ η Μαρία ___ στις δέκα.","κοιμήθηκε","κοιμόταν","κοιμηθεί","κοιμάται","Η ολοκλήρωση μιας πράξης σε συγκεκριμένη στιγμή του παρελθόντος εκφράζεται με αόριστο (τελεία άποψη): 'κοιμήθηκε'. Ο παρατατικός 'κοιμόταν' δηλώνει διάρκεια. Το 'κοιμηθεί' είναι υποτακτική, και 'κοιμάται' είναι ενεστώτας."
"Άποψη: παρατατικός vs αόριστος (διάρκεια)","Όσο έμενε στο εξωτερικό, ___ ισπανικά κάθε μέρα.","διάβαζε","διάβασε","διαβάσει","διαβαζόταν","Η συνεχιζόμενη ή επαναλαμβανόμενη πράξη στο παρελθόν εκφράζεται με παρατατικό (ατελής άποψη): 'διάβαζε'. Ο αόριστος 'διάβασε' δηλώνει ολοκλήρωση. Τα άλλα δύο είναι τύποι υποτακτικής και παθητικός παρατατικός."
"Άποψη: αόριστος ολοκλήρωσης","Επιτέλους, ο Γιώργης ___ το βιβλίο μετά από τρεις μήνες.","τελείωσε","τελείωνε","τελειώσει","τελειώνεται","Η ολοκλήρωση μιας πράξης εκφράζεται με αόριστο: 'τελείωσε'. Ο παρατατικός 'τελείωνε' δηλώνει ανολοκλήρωτη πράξη. Το 'τελειώσει' είναι υποτακτική, και 'τελειώνεται' είναι παθητικός ενεστώτας."
"Άποψη: μέλλοντας ατελής vs τελικός","Τα επόμενα χρόνια θα ___ στη Γερμανία για δουλειά.","εργάζεται","εργαστεί","εργαζόταν","εργαστεί ήταν","Για εκτεταμένη ή επαναλαμβανόμενη πράξη στο μέλλον χρησιμοποιείται ο συνοπτικός μέλλοντας (θα + ενεστώτας αόριστης βουλητικής): 'θα εργάζεται'. Το 'εργαστεί' είναι τελεία άποψη, 'εργαζόταν' παρατατικός, και 'εργαστεί ήταν' δεν είναι έγκυρος τύπος."
"Άποψη: μέλλοντας τελικός (αποτέλεσμα)","Θα ___ την αναφορά μέχρι την Παρασκευή.","ολοκληρώσω","ολοκληρώνω","ολοκληρωθώ","ολοκλήρωσα","Για πράξη που θα ολοκληρωθεί σε συγκεκριμένη χρονική στιγμή χρησιμοποιείται ο στιγμιαίος μέλλοντας (θα + αόριστος υποτακτική): 'ολοκληρώσω'. Το 'ολοκληρώνω' είναι ενεστώτας, 'ολοκληρωθώ' παθητική φωνή, και 'ολοκλήρωσα' αόριστος οριστικής."
"Άποψη: υποτακτική ατελής vs τελεία","Θέλω να ___ ελληνικά κάθε μέρα.","μαθαίνω","μάθω","μαθαίνεται","μαθεί","Η υποτακτική ατελούς άποψης (να + ενεστώτας) εκφράζει συνεχιζόμενη ή επαναλαμβανόμενη πράξη: 'να μαθαίνω'. Το 'μάθω' είναι τελεία άποψη (μία πράξη), 'μαθαίνεται' παθητική φωνή, και 'μαθεί' λείπει το 'να'."
"Άποψη: υποτακτική τελεία (ολοκλήρωση)","Θέλω να ___ αυτό το βιβλίο σήμερα.","τελειώσω","τελειώνω","τελειωθώ","τελείωσα","Η τελεία άποψη (να + αόριστος υποτακτική) εκφράζει ολοκλήρωση της πράξης: 'να τελειώσω'. Ο ενεστώτας 'τελειώνω' δηλώνει συνεχιζόμενη πράξη, 'τελειωθώ' είναι παθητική φωνή, και 'τελείωσα' αόριστος οριστικής που δεν συντάσσεται με 'να'."
"Άποψη: προστακτική ατελής (επαναλαμβανόμενη)","___ τα χέρια σου κάθε φορά που τρως!","Πλένε","Πλύνε","Πλεν","Πλύσε","Η ατελής προστακτική (ενεστώτα) χρησιμοποιείται για επαναλαμβανόμενες ενέργειες ή γενικές οδηγίες: 'Πλένε'. Το 'Πλύνε' είναι τελεία προστακτική (μία φορά), 'Πλεν' δεν υπάρχει ως τύπος, και 'Πλύσε' επίσης δεν υπάρχει."
