"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Mixed conditional: meaning shift","If I had taken that job in Tokyo, I ___ Japanese fluently now.","would speak","would have spoken","had spoken","spoke","Past→present mixed conditional: past perfect in the if-clause, would + base verb for the present result. 'Would have spoken' would imply a past result, not a present one."
"Mixed conditional: meaning shift","If she weren't so stubborn, she ___ his advice when he offered it.","would have taken","would take","took","takes","Present→past mixed conditional: her permanent personality trait (present) affected a past event. 'Would take' would imply a present/future result instead."
"Mixed conditional: subtle distinction","If they had invested wisely, they ___ struggling financially right now.","wouldn't be","wouldn't have been","weren't","won't be","Past→present: their past investment failure causes present financial trouble. 'Wouldn't have been' points to a past result, not the current situation."
"Mixed conditional: subtle distinction","If he weren't afraid of flying, he ___ to the conference in Berlin last month.","would have gone","would go","went","will go","Present→past: a permanent present trait (fear of flying) prevented a past action. 'Would go' wrongly implies a present or habitual result."
"Mixed conditional: tricky","If I hadn't stayed up all night, I ___ so exhausted right now.","wouldn't be feeling","wouldn't have felt","didn't feel","don't feel","Past→present: the past action has a present consequence. The progressive 'wouldn't be feeling' captures the ongoing present state. 'Wouldn't have felt' would point to a past feeling."
"Mixed conditional: tricky","If you were more organized, you ___ your passport before the trip last week.","wouldn't have lost","wouldn't lose","didn't lose","won't lose","Present→past: a permanent present trait (disorganization) caused a specific past event. 'Wouldn't lose' implies a general present habit, not the specific past incident."
"Mixed conditional: tricky","If we hadn't adopted that dog, our house ___ so much quieter.","would be","would have been","was","is","Past→present: the past adoption makes the house noisy now. 'Would have been' implies the house was or wasn't quiet in the past, missing the present focus."
"Mixed conditional: tricky","If I weren't allergic to cats, I ___ the kitten my friend offered me last spring.","would have kept","would keep","kept","had kept","Present→past: permanent present condition (allergy) prevented a past action (keeping the kitten). 'Would keep' wrongly implies a current or future action."
"Mixed conditional: tricky","If she had finished her degree, she ___ eligible for the promotion they're offering now.","would be","would have been","was","had been","Past→present: not finishing her degree in the past affects her current eligibility. 'Would have been' places the result in the past."
"Mixed conditional: tricky","If he weren't colorblind, he ___ that the wires were different colors during yesterday's repair.","would have noticed","would notice","noticed","had noticed","Present→past: a permanent present condition prevented a specific past observation. 'Would notice' wrongly suggests a general present habit."
"Causative: have vs get","The manager ___ the report rewritten before the deadline.","had","was","did","let","'Had + object + past participle' is the causative structure: the manager arranged for someone to rewrite it. 'Was the report rewritten' changes to passive with wrong word order. 'Did' and 'let' don't fit 'the report rewritten.'"
"Causative: get + to-infinitive","I finally ___ him to agree to the new terms.","got","had","made","let","'Get someone to do something' means persuading them. 'Had him agree' would need 'had him agree' (bare infinitive) which implies arrangement, not persuasion. 'Got him to agree' captures the effort of convincing."
"Causative: negative form","He ___ his suit altered — he did it himself.","didn't have","wasn't altered","hasn't being","didn't to have","The negative causative 'didn't have + object + past participle' means he didn't arrange for someone else to do it. 'Wasn't altered' changes the subject to the suit. 'Didn't to have' is ungrammatical."
"Causative: question form","Where did you ___ your suit made?","have","get to","got","having","In questions with 'did,' the base form follows: 'did you have your suit made?' The causative structure is 'have + object + past participle.'"
"Causative: get vs have nuance","After weeks of arguing, we ___ the landlord to fix the leak.","got","had","made","let","'Got someone to do something' implies effort or persuasion, fitting 'after weeks of arguing.' 'Had the landlord fix' would suggest a simple arrangement without the struggle."
"Causative: past perfect","By the time the guests arrived, she ___ the whole house cleaned.","had had","had have","has had","was having","Past perfect causative: 'had had + object + past participle.' The double 'had' is correct — the first is the past perfect auxiliary, the second is the causative verb. 'Had have' stacks two base forms and is ungrammatical."
"Causative: tricky structure","He ___ his assistant send the emails while he was in the meeting.","had","got","made to","let to","'Had someone do something' uses a bare infinitive — no 'to.' 'Got his assistant to send' would also work but requires 'to.' 'Made to' and 'let to' are wrong because make and let take bare infinitives."
"Causative: get + past participle","You should ___ that mole checked by a doctor.","get","have to","be","let","'Get + object + past participle' is an informal causative. 'Have that mole checked' also works, but 'get' fits the informal advisory tone. 'Have to' changes the meaning to obligation."
"Causative: tricky meaning","I had my wallet ___ on the train.","stolen","to steal","steal","stealing","'Had + object + past participle' can describe an unwanted experience (something happened to you), not just arranged services. Here it means the wallet was stolen from the speaker."
"Causative: complex","She's getting her kitchen ___ before the holiday.","renovated","to renovate","renovating","renovate","'Get + object + past participle' for arranging a service. The kitchen is being renovated by someone else. 'To renovate' would need a person as the object, not the kitchen."
"Inversion: not only (perfect)","Not only ___ every deadline, but he had also trained two new colleagues.","had he met","he had met","had met he","he did meet","After 'Not only' at the start, subject-auxiliary inversion is required with the perfect auxiliary: 'had he met.' 'He had met' lacks inversion; 'had met he' misplaces the subject; 'he did meet' uses the wrong auxiliary for a past perfect context, all ungrammatical."
"Inversion: no sooner...than","No sooner ___ the envelope than she burst into tears.","had she opened","she had opened","had opened she","she opened","'No sooner + past perfect + inversion + than' is the pattern. 'She had opened' and 'she opened' lack the required subject-auxiliary inversion; 'had opened she' places the subject after the main verb, which is ungrammatical."
"Inversion: little did","Little ___ that the company would go bankrupt the following year.","did they know","they knew","they did know","knew they","'Little' with a negative meaning triggers inversion: 'did they know.' 'They knew' and 'they did know' lack the inversion; 'knew they' puts the subject after the main verb without an auxiliary, which is ungrammatical."
"Inversion: only after","Only after reading the letter ___ the gravity of the situation.","did he understand","he understood","he did understand","did understood he","'Only after' at the start of a sentence triggers inversion in the main clause: auxiliary 'did' before the subject, bare infinitive after. 'He understood' and 'he did understand' lack the inversion; 'did understood he' uses the past form after 'did' and misplaces the subject, which is ungrammatical."
"Inversion: only when","Only when the results were published ___ how serious the problem was.","did we realize","we realized","we did realize","have we realized","'Only when' triggers inversion in the main clause. 'Did we realize' is the correct inverted form. 'We realized' lacks the required inversion."
"Inversion: rarely","Rarely ___ such a moving performance.","have I seen","I have seen","I saw","did I seen","'Rarely' at the start triggers inversion: 'have I seen.' Present perfect fits because it refers to experience up to now. 'Did I seen' is ungrammatical."
"Inversion: not until","Not until she apologized ___ willing to continue the discussion.","was he","he was","did he be","he had been","'Not until' triggers inversion: 'was he willing.' 'Did he be' is never grammatical in English. 'He was' lacks the required inversion."
"Inversion: hardly...when","Hardly ___ asleep when a loud crash woke me up.","had I fallen","I had fallen","had fell I","I fell","'Hardly + past perfect + inversion + when' is the standard pattern, parallel to 'no sooner...than.' 'I had fallen' and 'I fell' lack the inversion; 'had fell I' uses the past-tense form instead of the past participle and misplaces the subject, which is ungrammatical."
"Inversion: on no account","On no account ___ the red button, no matter what the screen says.","must you press","you must press","must press you","you press must","Negative adverbial phrases ('on no account', 'under no circumstances') at the start require subject-auxiliary inversion: 'must you press.' 'You must press' lacks the inversion; 'must press you' and 'you press must' scramble word order and are ungrammatical."
"Inversion: so...that","So impressive ___ that everyone stood up and applauded.","was the speech","the speech was","did the speech","the speech did","'So + adjective' at the start triggers inversion: 'was the speech.' This structure emphasizes the degree of the quality."
"Phrasal verb: separable tricky","She decided to ___ the meeting ___ until next week.","put ... off","put ... on","put ... up","put ... out","'Put off' means to postpone. It's separable, so the object can go between the verb and particle. 'Put on' means to wear or stage; 'put up' means to accommodate; 'put out' means to extinguish."
"Phrasal verb: inseparable","Who's going to ___ the children while we're away?","look after","look up","look over","look into","'Look after' means to take care of and is inseparable — you cannot say 'look the children after.' 'Look into' means investigate; 'look over' means review."
"Phrasal verb: 3-word","I've been trying to ___ a solution all week.","come up with","come up to","come along with","come up for","'Come up with' means to think of or produce (an idea/solution). 'Come up to' means to approach or meet a standard; 'come along with' means to accompany; 'come up for' is not a standard phrasal verb in this sense."
"Phrasal verb: particle shift","She needs to ___ her spending if she wants to save money.","cut back on","cut off on","cut out on","cut up on","'Cut back on' means to reduce. 'Cut off' means to disconnect; 'cut out' means to stop entirely or remove; 'cut up' means to chop into pieces."
"Phrasal verb: meaning shift","The detective is trying to ___ what really happened.","figure out","figure up","figure in","figure on","'Figure out' means to understand or solve. 'Figure on' means to plan on or expect. 'Figure in' and 'figure up' are not standard phrasal verbs."
