"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Past simple: irregular spelling","The baby ___ all night.","cried","cryed","crys","crying","Cry ends in consonant + y. Change y to i, add -ed → cried."
"Past simple: irregular spelling","She ___ her keys on the table.","laid","layed","lied","laying","Lay (= put down) is irregular. Past simple is laid."
"Past simple: irregular spelling","He ___ the ball to his friend.","threw","throwed","thrown","throw","Throw is irregular. The past simple is threw (not thrown — that's the participle)."
"Past simple: irregular spelling","I ___ a letter to my grandmother.","wrote","writed","wrotten","writing","Write is irregular. The past simple is wrote."
"Past simple: irregular spelling","We ___ in the lake last summer.","swam","swimmed","swum","swimming","Swim is irregular. Past simple is swam (not swum — that's the participle)."
"Past simple: irregular spelling","She ___ her coffee too quickly.","drank","drinked","drunk","drinking","Drink is irregular. Past simple is drank (not drunk — that's the participle)."
"Past simple: did + base form","___ the movie yesterday?","Did you see","Did you saw","Do you saw","Did you seen","Past question = Did + subject + base form. Did you see."
"Past simple: did + base form","She didn't ___ the homework.","do","did","does","done","After didn't, use the base form. Didn't do."
"Past simple: did + base form","Did he ___ to the party last night?","go","went","goes","gone","After did, use the base form. Did he go."
"Past simple: did + base form","I didn't ___ anything strange.","hear","heard","heared","hearing","After didn't, use the base form. Didn't hear."
"Past simple: time expression","I saw her ___ — last Tuesday, I think.","two days ago","before two days","ago two days","since two days","Ago follows the time period: two days ago. 'Before two days' and 'ago two days' are not grammatical English word orders."
"Past simple: time expression","We moved here ___.","in 2019","on 2019","at 2019","since 2019","Use 'in' with years. We moved here in 2019."
"Prepositions of time: in/on/at","I always wake up early ___ the morning.","in","on","at","to","Use 'in' with morning, afternoon, evening. In the morning."
"Prepositions of time: in/on/at","The stars are beautiful ___ night.","at","in","on","during","Exception: we say 'at night,' not 'in the night.'"
"Prepositions of time: in/on/at","I have a meeting ___ Monday morning.","on","in","at","the","Use 'on' with specific days, even with morning/afternoon. On Monday morning."
"Prepositions of time: in/on/at","The shop closes ___ midnight.","at","in","on","the","Use 'at' with exact times: at midnight, at noon, at 3 o'clock."
"Prepositions of time: in/on/at","She was born ___ July.","in","on","at","for","Use 'in' with months. In July."
"Prepositions of time: in/on/at","The concert is ___ the 15th of March.","on","in","at","of","Use 'on' with specific dates. On the 15th of March."
"Prepositions of place: in/on","We travelled ___ bus for six hours.","by","by the","by a","in the a","Travel + means of transport uses 'by + bare noun': by bus, by train, by plane. 'By the bus' and 'by a bus' are not used in this fixed expression."
"Prepositions of place: in/on","The keys are ___ the drawer, not on top of it.","in","ins","in the","on in","'In' shows position inside a container. The other forms are not grammatical English."
"Prepositions of place: in/on","The cat is hiding ___ the bed.","under","unders","under the the","in under","'Under' = below. The other forms are not grammatical English."
"Prepositions of place: in/on","The lamp is ___ the table — be careful not to knock it off.","on","ons","on the the","at on","'On' = touching the surface from above. The other forms are not grammatical English."
"Possessives: its vs it's","The dog wagged ___ tail.","its","it's","its'","their","Its (no apostrophe) = belonging to it. It's = it is."
"Possessives: its vs it's","___ raining outside.","It's","Its","Its'","Is","It's = it is. It's raining = It is raining."
"Possessives: its vs it's","The tree has lost ___ leaves.","its","it's","its'","it is","Its (no apostrophe) shows possession. It's = it is."
"Possessives: its vs it's","___ a beautiful day today.","It's","Its","Its'","Is","It's = it is. It's a beautiful day = It is a beautiful day."
"Possessives: plural","The ___ uniforms are in the locker room. (more than one player)","players'","players's","playerses","playerss'","Plural nouns ending in s take just an apostrophe: players'. The other forms are not grammatical."
"Possessives: plural","The ___ toys are on the floor.","children's","childrens'","childrens","childs'","Children is already plural. Add 's → children's."
"Possessives: names ending in s","That is ___ book.","James's","James'es","Jame's","James","For names ending in s, add 's → James's. (James' is also accepted, but James's is standard.)"
"Possessives: names ending in s","I went to ___ house for dinner.","Thomas's","Thomas'es","Thoma's","Thomases","For names ending in s, add 's → Thomas's."
"Object pronouns: after prepositions","She is looking at ___.","me","I","my","mine","After a preposition (at), use object pronouns. At me, not at I."
"Object pronouns: after prepositions","This present is for ___.","him","he","he's","hes","After a preposition (for), use object pronouns. For him, not for he."
"Object pronouns: after prepositions","Can you sit next to ___?","her","she","she's","shes","After a preposition (next to), use object pronouns. Next to her."
"Object pronouns: after prepositions","There is a message from ___.","them","they","they're","theys","After a preposition (from), use object pronouns. From them."
"Object pronouns: compounds","My mother drove my sister and ___ to school.","me","I","my","mine","Remove 'my sister and' — you'd say 'drove me,' not 'drove I.' Use me."
"Object pronouns: compounds","My friend and ___ went to the park together.","I","me's","mine","my","Subject position → use I. 'My friend and I went.' The other forms are not grammatical subject pronouns."
"Object pronouns: compounds","The teacher gave ___ and my partner the homework.","me","I","my","mine","Object position (gave ___) → use me. The teacher gave me the homework."
"Object pronouns: compounds","The waiter brought the bill to my wife and ___.","me","my","mine","me's","After a preposition (to), use the object pronoun. 'To my wife and me.' Test: remove 'my wife and' → 'brought the bill to me.'"
"Countable/uncountable: both","I'd like some ___, please. (= a piece of meat from a bird)","chicken","chickens","a chickens","the chickens","Chicken (the meat) is uncountable. Some chicken. Chickens = living birds."
"Countable/uncountable: both","There are three ___ on the farm.","chickens","chicken","a chicken","the chicken","Counting individual birds → use the plural countable form. Three chickens."
"Countable/uncountable: both","Can I have a ___ of water?","glass","glasses","glass's","glassing","Glass (= a drinking container) is countable. A glass of water."
"Countable/uncountable: both","The window is made of ___.","glass","a glass","glasses","the glasses","Glass (= the material) is uncountable. Made of glass."
"Countable/uncountable: both","The printer is out — I need to buy more ___.","paper","a paper","a papers","papering","Paper (= the material) is uncountable. You cannot say 'a paper' or 'a papers' for the material."
"Countable/uncountable: both","Please sign these ___.","papers","paper","a paper","papering","Papers (= documents) is countable. These papers."
"Countable/uncountable: how much/many","How ___ money do you have?","much","many","lot","few","Money is uncountable. Use how much, not how many."
"Countable/uncountable: how much/many","How ___ chairs are in the room?","many","much","lot","little","Chairs are countable. Use how many, not how much."
"Countable/uncountable: how much/many","How ___ bread do we need?","much","many","lot","few","Bread is uncountable. Use how much."
"Countable/uncountable: how much/many","How ___ eggs did you buy?","many","much","lot","little","Eggs are countable. Use how many."
"Countable/uncountable: how much/many","How ___ furniture is in the living room?","much","many","few","lot","Furniture is uncountable (even though it can be many items). Use how much."
"Countable/uncountable: how much/many","How ___ pieces of luggage do you have?","many","much","little","lot","Pieces is countable, so use how many. (Luggage itself is uncountable, but we count pieces.)"
