"title","question","correct","wrong1","wrong2","wrong3","explanation"
"French A1 Vocab 2","Où est-ce qu'on prépare le dîner ?","dans la cuisine","dans le jardin","dans le garage","dans la cave","La cuisine est la pièce où on prépare les repas."
"French A1 Vocab 2","Où dort-on la nuit ?","dans la chambre","dans le salon","dans la cuisine","dans la salle de bains","La chambre est la pièce où se trouve le lit."
"French A1 Vocab 2","Dans quelle pièce prend-on une douche ?","la salle de bains","le bureau","la cuisine","le couloir","On prend une douche ou un bain dans la salle de bains."
"French A1 Vocab 2","Où regarde-t-on la télévision en famille ?","dans le salon","dans la chambre","dans la cave","dans le grenier","Le salon est la pièce où on se détend et on regarde la télé."
"French A1 Vocab 2","Pour entrer dans la maison, on ouvre la…","porte","fenêtre","chaise","lampe","On ouvre la porte pour entrer ou sortir."
"French A1 Vocab 2","On regarde dehors à travers la…","fenêtre","porte","table","armoire","La fenêtre laisse passer la lumière et permet de voir dehors."
"French A1 Vocab 2","Sur quoi dort-on ?","sur le lit","sur la chaise","sur la table","sur le four","On dort sur un lit, dans la chambre."
"French A1 Vocab 2","Sur quoi pose-t-on les assiettes pour manger ?","la table","le lit","la fenêtre","le mur","On pose les assiettes et les verres sur la table."
"French A1 Vocab 2","Quel meuble utilise-t-on pour s'asseoir ?","la chaise","le lit","le frigo","le miroir","On s'assoit sur une chaise."
"French A1 Vocab 2","Où garde-t-on les vêtements ?","dans l'armoire","dans le four","dans le frigo","dans l'évier","L'armoire sert à ranger les vêtements."
"French A1 Vocab 2","Dans quel appareil garde-t-on le lait et le fromage au froid ?","le frigo","le four","la machine à laver","la télévision","Le frigo (ou réfrigérateur) garde la nourriture au froid."
"French A1 Vocab 2","Quand il fait nuit, on allume la…","lampe","porte","chaise","clé","La lampe donne de la lumière."
"French A1 Vocab 2","Pour monter au premier étage, on prend…","l'escalier","la porte","la fenêtre","le tapis","L'escalier permet de passer d'un étage à l'autre."
"French A1 Vocab 2","Où gare-t-on la voiture à la maison ?","dans le garage","dans la cuisine","dans la chambre","dans le salon","Le garage est la pièce où on gare la voiture."
"French A1 Vocab 2","Le père de mon père est mon…","grand-père","oncle","cousin","frère","Le grand-père est le père du père ou de la mère."
"French A1 Vocab 2","La mère de ma mère est ma…","grand-mère","tante","sœur","cousine","La grand-mère est la mère du père ou de la mère."
"French A1 Vocab 2","Le fils de mes parents, ce n'est pas moi, c'est mon…","frère","oncle","neveu","grand-père","Le frère est l'autre fils des mêmes parents."
"French A1 Vocab 2","La fille de mes parents, ce n'est pas moi, c'est ma…","sœur","tante","cousine","nièce","La sœur est l'autre fille des mêmes parents."
"French A1 Vocab 2","Le frère de ma mère est mon…","oncle","cousin","neveu","beau-frère","Le frère de la mère ou du père s'appelle l'oncle."
"French A1 Vocab 2","La sœur de mon père est ma…","tante","cousine","nièce","belle-sœur","La sœur du père ou de la mère s'appelle la tante."
"French A1 Vocab 2","Le fils de mon oncle est mon…","cousin","frère","neveu","petit-fils","Le fils de l'oncle ou de la tante est le cousin."
"French A1 Vocab 2","Comment appelle-t-on la femme qui m'a donné la vie ?","la mère","la tante","la sœur","la fille","La mère est la femme qui a donné naissance à l'enfant."
"French A1 Vocab 2","Comment appelle-t-on l'homme qui est marié à ma mère et qui est mon parent ?","le père","le frère","l'oncle","le cousin","Le père est l'homme qui, avec la mère, a un enfant."
"French A1 Vocab 2","Les enfants de mes enfants sont mes…","petits-enfants","cousins","neveux","beaux-enfants","Les petits-enfants sont les enfants du fils ou de la fille."
"French A1 Vocab 2","Mon père et ma mère, ensemble, ce sont mes…","parents","cousins","grands-parents","enfants","Les parents sont le père et la mère."
"French A1 Vocab 2","L'homme avec qui une femme est mariée est son…","mari","frère","père","fils","Le mari est l'homme marié à une femme."
"French A1 Vocab 2","La femme avec qui un homme est marié est sa…","femme","sœur","mère","fille","La femme (ou épouse) est la femme mariée à un homme."
"French A1 Vocab 2","Avec quoi est-ce qu'on voit ?","les yeux","les oreilles","les mains","les pieds","On voit avec les yeux."
"French A1 Vocab 2","Avec quoi est-ce qu'on entend la musique ?","les oreilles","les yeux","le nez","les dents","On entend les sons avec les oreilles."
