"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Arabic A2 Vocab 2","ذهبتُ إلى ___ لأنني أشعر بألم في بطني.","الطبيب","المعلّم","المهندس","المحامي","الطبيب هو الشخص المختصّ بعلاج الأمراض والآلام الجسدية."
"Arabic A2 Vocab 2","يجب أن تأخذ ___ ثلاث مرّات في اليوم بعد الأكل.","الدواء","الضمادة","الحقنة","السمّاعة","الدواء هو ما يصفه الطبيب للعلاج ويُؤخذ حسب الجرعة المحدّدة."
"Arabic A2 Vocab 2","أشعر بـ___ شديد في رأسي منذ الصباح.","صداع","جوع","نعاس","عطش","الصداع هو ألم يُصيب الرأس وقد يكون خفيفاً أو شديداً."
"Arabic A2 Vocab 2","الممرّضة تقيس ___ المريض كلّ ساعة.","حرارة","طول","وزن","عمر","الحرارة هي درجة حرارة الجسم وتُقاس عادةً بالميزان الحراري."
"Arabic A2 Vocab 2","ذهبتُ إلى ___ لشراء الدواء الذي وصفه الطبيب.","الصيدلية","المكتبة","البقالة","المخبز","الصيدلية هي المكان المخصّص لبيع الأدوية والمستحضرات الطبية."
"Arabic A2 Vocab 2","يجب أن تشرب ___ كثيراً عندما تكون مريضاً للحفاظ على رطوبة جسمك.","الماء","الدواء","الحليب","الحساء","شرب الماء بكثرة مهمّ أثناء المرض للحفاظ على رطوبة الجسم."
"Arabic A2 Vocab 2","أحتاج إلى ___ في عيني، لا أستطيع القراءة جيّداً.","نظّارة","قبّعة","قفّاز","وشاح","النظّارة تُستخدم لتصحيح مشاكل الرؤية وتساعد على القراءة بوضوح."
"Arabic A2 Vocab 2","عندما أُصاب بالزكام، أعطس كثيراً ويسيل ___.","أنفي","شعري","إصبعي","ركبتي","الأنف هو العضو الذي يسيل منه المخاط عند الإصابة بالزكام."
"Arabic A2 Vocab 2","الطبيب طلب منّي إجراء تحليل ___ وسحب عيّنة من ذراعي.","دم","بول","لعاب","عرق","تحليل الدم هو فحص طبّي شائع يُسحب فيه الدم من الذراع لتشخيص الأمراض."
"Arabic A2 Vocab 2","يجب غسل ___ جيّداً قبل الأكل لتجنّب الأمراض.","اليدين","الشعر","القدمين","الأذنين","غسل اليدين من أهمّ عادات النظافة لمنع انتقال الجراثيم."
"Arabic A2 Vocab 2","أشعر بألم في ___ عندما أمشي كثيراً.","قدمي","يدي","عيني","أذني","القدم هي العضو الذي يتحمّل ثقل الجسم أثناء المشي."
"Arabic A2 Vocab 2","ذهبتُ إلى طبيب ___ لأنّ ضرسي يؤلمني.","الأسنان","العيون","القلب","العظام","طبيب الأسنان متخصّص في علاج مشاكل الأسنان والفم."
"Arabic A2 Vocab 2","المريض يرقد في ___ منذ ثلاثة أيّام.","المستشفى","المدرسة","المتحف","المسرح","المستشفى هو المكان الذي يتلقّى فيه المرضى العلاج والرعاية الطبية."
"Arabic A2 Vocab 2","وضعت ___ على الجرح لحمايته من التلوّث.","ضمادة","منديل","ورقة","قماشة","الضمادة هي لفافة طبية تُوضع على الجروح لحمايتها ومساعدتها على الشفاء."
"Arabic A2 Vocab 2","نصحني الطبيب بالـ___ لأنّ وزني زاد كثيراً.","رياضة","قراءة","كتابة","رسم","الرياضة تساعد على تخفيف الوزن والحفاظ على صحّة الجسم."
"Arabic A2 Vocab 2","أخذ الطبيب ___ ليسمع نبضات قلبي.","السمّاعة","الميزان","الضمادة","الإبرة","السمّاعة الطبية أداة يستخدمها الطبيب للاستماع إلى أصوات القلب والرئتين."
"Arabic A2 Vocab 2","عندي ___ ودرجة حرارتي مرتفعة جدّاً اليوم.","حمّى","زكام","سعال","صداع","الحمّى هي ارتفاع درجة حرارة الجسم وتدلّ عادةً على وجود عدوى."
"Arabic A2 Vocab 2","___ هي الوجبة الأولى في اليوم.","الفطور","الغداء","العشاء","الوجبة الخفيفة","الفطور يُؤكل في الصباح وهو أوّل وجبة بعد الاستيقاظ من النوم."
"Arabic A2 Vocab 2","نأكل ___ عادةً في منتصف النهار.","الغداء","الفطور","العشاء","السحور","الغداء هو الوجبة التي تُؤكل في وقت الظهيرة أو بعدها."
"Arabic A2 Vocab 2","أستيقظ كلّ يوم في الساعة السادسة ___.","صباحاً","مساءً","ليلاً","ظهراً","صباحاً تعني في فترة الصباح الباكر، وهو وقت الاستيقاظ المعتاد."
"Arabic A2 Vocab 2","أنام كلّ ليلة في الساعة العاشرة ___.","مساءً","صباحاً","ظهراً","عصراً","مساءً تعني في فترة المساء أو الليل، وهو وقت النوم المعتاد."
"Arabic A2 Vocab 2","قبل النوم، أغسل ___ وأنظّفها جيّداً.","أسناني","ملابسي","سيّارتي","حذائي","تنظيف الأسنان قبل النوم عادة صحّية مهمّة لمنع التسوّس."
"Arabic A2 Vocab 2","أستحمّ كلّ صباح في ___.","الحمّام","المطبخ","غرفة النوم","الصالة","الحمّام هو الغرفة المخصّصة للاستحمام وقضاء الحاجة."
"Arabic A2 Vocab 2","بعد الاستيقاظ، أوّل شيء أفعله هو ___ وجهي بالماء.","غسل","تجفيف","حلاقة","تجميل","غسل الوجه بالماء بعد الاستيقاظ عادة يومية تساعد على الانتعاش والنظافة."
"Arabic A2 Vocab 2","أذهب إلى العمل بـ___ كلّ يوم لأنّه أسرع.","السيّارة","الدرّاجة","المشي","الحصان","السيّارة وسيلة نقل سريعة وشائعة للذهاب إلى العمل."
