"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Voorzetsel-er: eraan","Ik moet ___ denken dat ik morgen een afspraak heb.","eraan","daaraan","hieraan","aan er","Bij onbepaalde of abstracte zaken gebruik je 'eraan' als verwijzing. 'Er + aan' wordt samengevoegd tot 'eraan'."
"Voorzetsel-er: erop","Je kunt ___ rekenen dat het goed komt.","erop","op het","daarop","op er","'Erop rekenen' verwijst naar iets dat eerder genoemd is. 'Er + op' wordt 'erop'."
"Voorzetsel-er: ermee","Wat ben je van plan ___ te doen?","ermee","met het","mee het","mee er","Als je terugverwijst naar een eerder genoemd ding, gebruik je 'ermee' (er + mee). 'Met het', 'mee het' en 'mee er' zijn ongrammaticale vormen."
"Voorzetsel-er: erover","We hebben ___ gesproken tijdens de vergadering.","erover","over het","het over","over er","'Erover' verwijst terug naar een eerder onderwerp. 'Er + over' vormt het voorzetseladverbium 'erover'. 'Over het', 'het over' en 'over er' zijn ongrammaticaal."
"Voorzetsel-er: ervoor","Zij heeft ___ gezorgd dat alles op tijd klaar was.","ervoor","voor het","daarvoor","voor er","'Ervoor zorgen' is een vaste combinatie. 'Er + voor' wordt 'ervoor' om naar de situatie te verwijzen."
"Voorzetsel-er: eruit","Het probleem was ingewikkeld, maar zij kwam ___.","eruit","uit het","daaruit","uit er","'Eruit komen' betekent een oplossing vinden. 'Er + uit' wordt samengevoegd tot 'eruit'."
"Voorzetsel-er: ervan","Ze geniet ___ om in de tuin te werken.","ervan","van het","daarvan","van er","'Ervan genieten' verwijst naar de activiteit die volgt. 'Er + van' wordt samengevoegd."
"Voorzetsel-er: erin","Hij gelooft ___ dat het project slaagt.","erin","in het","daarin","in er","'Erin geloven' verwijst naar iets abstracts. 'Er + in' vormt 'erin'."
"Voorzetsel-er: erachter","We kwamen ___ dat de informatie onjuist was.","erachter","achter het","daarachter","achter er","'Erachter komen' is een vaste uitdrukking die 'ontdekken' betekent. 'Er + achter' wordt 'erachter'."
"Voorzetsel-er: ernaast","Zijn schatting zat ___.","ernaast","naast het","daarnaast","naast er","'Ernaast zitten' betekent dat iets niet klopt. Het is een vaste uitdrukking met het voorzetseladverbium 'ernaast'."
"Voorzetsel-er: eromheen","Je kunt niet altijd ___ draaien; zeg gewoon wat je bedoelt.","eromheen","om het heen","daaromheen","omheen er","'Eromheen draaien' betekent het onderwerp vermijden. 'Er + omheen' wordt samengevoegd tot 'eromheen'."
"Voorzetsel-er: ertegen","Ik heb ___ geprotesteerd, maar het hielp niet.","ertegen","tegen het","daartegen","tegen er","'Ertegen protesteren' verwijst naar een eerder genoemde beslissing. 'Er + tegen' wordt 'ertegen'."
"Voorzetsel-er: splitsen","Ik heb er lang ___ nagedacht.","over","erover","van","met","In de hoofdzin kan 'er' en het voorzetsel gesplitst worden. 'Er... over nagedacht' is de correcte gesplitste vorm."
"Voorzetsel-er: splitsen in hoofdzin","We hebben er gisteren ___ gesproken.","over","erover","van","mee","In de hoofdzin wordt 'erover' vaak gesplitst: 'er... over'. Het voorzetsel staat dan dichter bij het werkwoord."
"Voorzetsel-er: splitsen in bijzin","Het onderwerp waar hij lang ___ had nagedacht, was complex.","over","erover","van","mee","Na het betrekkelijk bijwoord 'waar' valt 'er' weg en blijft alleen het voorzetsel 'over' staan bij het werkwoord."
"Aanvoegende wijs: leve","___ de koning!","Leve","Leeft","Leef","Leven","'Leve' is een overblijfsel van de aanvoegende wijs. Het drukt een wens uit. De vorm is altijd 'leve', niet 'leeft' of 'leven'."
"Aanvoegende wijs: het zij zo","Als je niet wilt luisteren, ___!","het zij zo","het zijt zo","het zijn zo","zij het zo het","'Het zij zo' is een vaste uitdrukking in de aanvoegende wijs die berusting uitdrukt. De vorm 'zij' (aanvoegende wijs van 'zijn') is onveranderlijk; 'zijt' en 'zijn' zijn hier ongrammaticaal, en 'zij het zo het' is geen bestaande woordvolgorde."
"Aanvoegende wijs: moge","___ het je goed gaan in je nieuwe baan.","Moge","Mag","Moet","Kan","'Moge' is de aanvoegende wijs van 'mogen' en drukt een wens uit. Het wordt gebruikt in formele of plechtige contexten."
"Aanvoegende wijs: kome wat kome","___, wij geven niet op.","Kome wat kome","Komt wat komt","Kom wat kom","Komen wat komen","'Kome wat kome' is een vaste uitdrukking in de aanvoegende wijs. Beide werkwoorden krijgen de vorm zonder -t."
"Aanvoegende wijs: ware","Het ___ beter geweest indien u eerder contact had opgenomen.","ware","werd","zijnde","wezen","'Ware' is de aanvoegende wijs van 'zijn' en wordt in formeel taalgebruik gebruikt als alternatief voor 'zou ... zijn geweest'. 'Indien' versterkt het formele register."
"Aanvoegende wijs: koste wat het kost","Wij zullen slagen, ___.","koste wat het kost","kostte wat het kost","kosten wat het kosten","koste wat het koste","'Koste wat het kost' is een vaste uitdrukking in de aanvoegende wijs die vastberadenheid uitdrukt."
"Aanvoegende wijs: het ware te wensen","___ dat er meer aandacht voor dit probleem kwam.","Het ware te wensen","Het was te wensen","Het wenste te zijn","Het zou wensen","'Het ware te wensen' is een formele constructie met de aanvoegende wijs van 'zijn'. Het drukt een wens of hoop uit. 'Het wenste te zijn' en 'het zou wensen' zijn ongrammaticaal in deze vaste formule."
"Aanvoegende wijs: God verhoede","___ dat zoiets nog eens gebeurt.","God verhoede","God verhoedt","God verhoeden","God moet verhoeden","'God verhoede' gebruikt de aanvoegende wijs zonder -t. Het is een formele wensuitdrukking."
"Aanvoegende wijs: moge in toespraak","___ dit samenwerkingsverband vruchtbaar zijn.","Moge","Mag","Zal","Moet","In toespraken en formele teksten wordt 'moge' gebruikt om een wens of hoop uit te drukken. Het is de aanvoegende wijs van 'mogen'."
"Formeel register: dient te","De aanvrager ___ het formulier volledig in te vullen.","dient","moet","gaat","zal","'Dient te' is de formele variant van 'moet'. De andere modale werkwoorden ('moet', 'gaat', 'zal') combineren niet met 'te' + infinitief en zijn in deze zin ongrammaticaal."
"Formeel register: men","In ambtelijke teksten wordt het woord ___ gebruikt als onbepaald voornaamwoord.","men","hij","wij","zij","'Men' is het formele onbepaalde voornaamwoord dat in officiële teksten verwijst naar een onbepaalde persoon of groep. 'Hij', 'wij' en 'zij' zijn persoonlijke voornaamwoorden."
"Formeel register: teneinde","Teneinde misverstanden te voorkomen, ___ wij u dit schrijven.","sturen","stuurt","gestuurd","te sturen","'Teneinde' is een formeel voegwoord dat 'om' vervangt. In de hoofdzin na de bijzin moet het werkwoord in de eerste persoon meervoud staan: 'sturen'. 'Stuurt' (enkelvoud), 'gestuurd' (voltooid deelwoord) en 'te sturen' (infinitief met te) zijn ongrammaticaal als persoonsvorm bij 'wij'."
"Formeel register: ingevolge","___ artikel 12 van het reglement is deze handeling verboden.","Ingevolge","Ondanks","Behalve","Naast","'Ingevolge' betekent 'op grond van' of 'krachtens'. De andere opties veranderen de betekenis: 'ondanks' drukt tegenstelling uit, 'behalve' en 'naast' passen niet bij een verbod op grond van een artikel."
"Formeel register: desalniettemin","In het jaarverslag stond: de resultaten waren teleurstellend. ___ werd het project voortgezet.","Desalniettemin","Daardoor","Daarentegen","Dientengevolge","'Desalniettemin' betekent 'ondanks dat' en drukt concessie uit. De andere opties drukken oorzaak ('daardoor', 'dientengevolge') of contrast ('daarentegen') uit, niet concessie."
"Formeel register: gaarne","Wij vernemen ___ uw reactie op ons voorstel.","gaarne","gaarn","gaarnes","gaarner","'Gaarne' is de formele variant van 'graag'. De vorm is onveranderlijk: 'gaarn', 'gaarnes' en 'gaarner' bestaan niet in het Nederlands."
"Formeel register: betreffende","___ uw verzoek van 3 maart delen wij u het volgende mede.","Betreffende","Ondanks","Zonder","Namens","'Betreffende' is een formeel voorzetsel dat 'met betrekking tot' betekent. Het wordt in zakelijke brieven gebruikt. De andere opties veranderen de betekenis van de zin."
"Formeel register: middels","De informatie wordt ___ een aangetekende brief aan u kenbaar gemaakt.","middels","middel","middelend","middelijks","'Middels' is een formeel voorzetsel dat 'door middel van' betekent. 'Middel' is een zelfstandig naamwoord en geen voorzetsel; 'middelend' en 'middelijks' bestaan niet."
"Formeel register: verzoeken","Wij ___ u beleefd om de bijgevoegde stukken te retourneren.","verzoeken","verzoekt","verzocht","verzoek","'Verzoeken' is een formeel werkwoord. Bij het onderwerp 'wij' hoort de meervoudsvorm 'verzoeken'; 'verzoekt' (2e/3e persoon enkelvoud), 'verzocht' (verleden tijd enkelvoud) en 'verzoek' (1e persoon enkelvoud of stam) zijn ongrammaticaal bij 'wij'."
"Tegenwoordig deelwoord: attributief","De ___ kinderen renden door de tuin.","lachende","lachen","gelachen","lachend","Als tegenwoordig deelwoord voor een zelfstandig naamwoord staat, krijgt het een -e: 'lachend' + e = 'lachende'."
"Tegenwoordig deelwoord: attributief","Een ___ auto blokkeerde de weg.","stilstaande","stilstaan","stilstaand","gestilstaan","Het tegenwoordig deelwoord als bijvoeglijk naamwoord krijgt een -e voor het zelfstandig naamwoord: 'stilstaand' + e."
"Tegenwoordig deelwoord: predicatief","De voorstelling was bijzonder ___.","ontroerend","ontroerende","ontroerends","ontroerenden","Na een koppelwerkwoord zoals 'zijn' staat het tegenwoordig deelwoord zonder verbuiging: 'ontroerend'. De verbogen vormen met -e, -s of -en zijn ongrammaticaal in de predicatieve positie."
"Voltooid deelwoord: attributief","Het ___ boek lag op tafel.","geschreven","schrijvende","geschrijf","schrijven","Het voltooid deelwoord 'geschreven' wordt hier attributief gebruikt. Voor het zelfstandig naamwoord hoeft geen extra -e."
"Voltooid deelwoord: attributief","De ___ brief bevatte belangrijk nieuws.","verzonden","verzendende","verzond","verzenden","'Verzonden' is het voltooid deelwoord van 'verzenden'. Het beschrijft de brief als resultaat van de handeling."
"Deelwoordconstructie: uitgebreid","De door de storm ___ bomen werden opgeruimd.","omgewaaide","omwaaien","omwaaiende","gewaaid om","In een deelwoordconstructie met 'door' staat het voltooid deelwoord attributief: 'de door de storm omgewaaide bomen'."
"Deelwoordconstructie: uitgebreid","Het door de architect ___ gebouw won een prijs.","ontworpen","ontwerpende","ontwierp","ontwerpen","Het voltooid deelwoord 'ontworpen' wordt attributief gebruikt in de constructie 'het door X ontworpen gebouw'."
"Tegenwoordig deelwoord: bijwoordelijk","___ liep hij de kamer uit.","Fluitend","Fluitende","Gefloten","Fluiten","Het tegenwoordig deelwoord als bijwoord krijgt geen -e. Het beschrijft hoe iemand iets doet: 'fluitend' (al fluitend)."
"Tegenwoordig deelwoord: als zelfstandig naamwoord","De ___ moeten achter de witte lijn wachten.","reizenden","reizende","reizends","reizend","'Reizenden' is het verzelfstandigde tegenwoordig deelwoord in meervoud. Het wordt gebruikt in formeel taalgebruik, bijvoorbeeld op stations."
"Voltooid deelwoord: als bijvoeglijk naamwoord","De ___ deur kon niet meer open.","gesloten","sluitende","gesluit","sluiten","'Gesloten' is het voltooid deelwoord van 'sluiten'. Het beschrijft de staat van de deur als resultaat van een handeling."
"Deelwoordconstructie: tegenwoordig","De in de tuin ___ vogels maakten veel lawaai.","zingende","zingend","gezongen","zingen","Het tegenwoordig deelwoord in een uitgebreide constructie krijgt -e voor het zelfstandig naamwoord: 'de zingende vogels'."
"Voorzetsel-er: eronder","Het bureau was oud, maar ___ lag een geheim compartiment.","eronder","onder het","het onder","onder er","'Eronder' verwijst terug naar het bureau. 'Er + onder' wordt samengevoegd tot 'eronder'. 'Onder het', 'het onder' en 'onder er' zijn ongrammaticaal."
"Voorzetsel-er: erboven","De lamp hing ___.","erboven","boven het","het boven","boven er","'Erboven' verwijst naar een eerder genoemd object. In deze context hangt de lamp boven iets dat al genoemd is. 'Boven het', 'het boven' en 'boven er' zijn ongrammaticaal."
"Aanvoegende wijs: in vaste uitdrukkingen","Men neme driemaal daags een tablet. Dit is een voorbeeld van ___.","de aanvoegende wijs","de gebiedende wijs","de onvoltooid verleden tijd","de aantonende wijs","'Neme' is de aanvoegende wijs van 'nemen'. In bijsluiters en recepten komt deze oude vorm nog voor als vaste formulering."
"Formeel register: dienaangaande","___ willen wij het volgende opmerken.","Dienaangaande","Daarbuiten","Daartussen","Dienomtrent","'Dienaangaande' is een zeer formeel bijwoord dat 'met betrekking daartoe' betekent. Het komt voor in juridische en ambtelijke teksten. 'Dienomtrent' lijkt erop maar bestaat niet als standaardwoord."
"Deelwoordconstructie: complex","De door veel critici ___ film draait nog steeds in de bioscoop.","geprezen","prijzende","prijs","geprijsd","'Geprezen' is het voltooid deelwoord van 'prijzen'. De constructie 'de door X geprezen film' is een uitgebreide deelwoordconstructie."
"Voorzetsel-er: ermee in combinatie","Ze wilde er niet ___ ophouden.","mee","ermee","met","gemee","In de hoofdzin wordt 'ermee' gesplitst: 'er... mee'. 'Ermee' zou 'er' verdubbelen, 'met' kan niet zonder object staan, en 'gemee' bestaat niet."
