"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Arabic B2+ Vocab 1","ما الفعل المناسب: ___ قراراً حاسماً؟","اتّخذ","أخذ","عمل","فعل","نقول «اتّخذ قراراً» وليس «أخذ قراراً»، فالتلازم اللفظي ثابت في العربية الفصحى."
"Arabic B2+ Vocab 1","ما معنى كلمة «تداعيات»؟","نتائج وعواقب","أسباب ودوافع","مقدّمات وتمهيدات","ظروف وملابسات","التداعيات هي النتائج والآثار المترتّبة على حدث ما."
"Arabic B2+ Vocab 1","ما الفعل المناسب: ___ دوراً بارزاً في المفاوضات؟","أدّى","قرأ","عمل","قدّم","في الفصحى نقول «أدّى دوراً» وليس «لعب دوراً» التي هي ترجمة حرفية من الإنجليزية."
"Arabic B2+ Vocab 1","ما الفرق بين «أثّر في» و«تأثّر بـ»؟","أثّر في: فعل واقع على غيره، تأثّر بـ: فعل واقع على الذات","أثّر في: سلبي، تأثّر بـ: إيجابي","أثّر في: للجمادات فقط، تأثّر بـ: للبشر فقط","أثّر في: مؤقت، تأثّر بـ: دائم","«أثّر في» يعني ترك أثراً في شيء آخر، أمّا «تأثّر بـ» فيعني انفعل بشيء خارجي."
"Arabic B2+ Vocab 1","ما الفعل المناسب: ___ الاهتمامَ إلى القضية؟","لفت","كسر","سحب","شدّ","نقول «لفت الاهتمام» أو «لفت الانتباه» في السياق الفصيح."
"Arabic B2+ Vocab 1","ما معنى «استفحل» في جملة: استفحلت الأزمة؟","تفاقمت واشتدّت","انتهت وزالت","بدأت ونشأت","تراجعت وخفّت","استفحل الأمر يعني ازداد سوءاً وتعقيداً."
"Arabic B2+ Vocab 1","أيّ كلمة تعني «التحيّز»؟","الانحياز","الانحراف","الانحدار","الانحلال","الانحياز هو الميل إلى طرف دون آخر، أي التحيّز."
"Arabic B2+ Vocab 1","ما الفعل المناسب: ___ بالتزاماته تجاه الشركة؟","أوفى","أعطى","قضى","سدّد","نقول «أوفى بالتزاماته» أي أدّاها كاملة."
"Arabic B2+ Vocab 1","ما معنى «تسويغ»؟","تبرير وتعليل","تزوير وتحريف","تسهيل وتيسير","تصحيح وتعديل","التسويغ هو تقديم مبرّرات ودوافع لفعل ما."
"Arabic B2+ Vocab 1","ما الفعل المناسب: ___ في الاعتبار جميع العوامل؟","أخذ","جعل","حطّ","رمى","نقول «أخذ في الاعتبار» أي راعى واعتبر."
"Arabic B2+ Vocab 1","ما الفرق بين «حسم» و«حزم»؟","حسم: قطع وأنهى، حزم: ربط وشدّ","حسم: ربط، حزم: قطع","كلاهما يعني الربط والشدّ فقط","حسم: إيجابي، حزم: سلبي","حسم الأمر يعني قطعه وأنهاه، أمّا حزم فيعني ربط الشيء وشدّه."
"Arabic B2+ Vocab 1","ما الكلمة المناسبة: أبدى ___ شديداً تجاه القرار؟","تحفّظاً","تحفّزاً","تحرّزاً","تحرّكاً","نقول «أبدى تحفّظاً» أي أظهر اعتراضاً مهذّباً."
"Arabic B2+ Vocab 1","ما معنى «الشائكة» في: القضايا الشائكة؟","المعقّدة والصعبة","البسيطة والسهلة","القديمة والمهملة","الجديدة والمستحدثة","الشائكة من الشوك، وتُستخدم مجازاً للقضايا المعقّدة التي يصعب حلّها."
"Arabic B2+ Vocab 1","ما الفعل المناسب: ___ الضوءَ على المشكلة؟","سلّط","رمى","أطفأ","وجّه","نقول «سلّط الضوء على» أي أبرز وأظهر."
"Arabic B2+ Vocab 1","ما الفرق بين «تجاوز» و«تخطّى»؟","تجاوز: عبر الحدّ أو غضّ الطرف، تخطّى: مرّ فوق الشيء وتركه","تجاوز: تراجع، تخطّى: تقدّم فقط","تجاوز: للأشخاص فقط، تخطّى: للأماكن فقط","كلاهما يُستخدم للأماكن المادّية فقط","«تجاوز» يحمل معنى العفو أحياناً (تجاوز عن خطئه)، أمّا «تخطّى» فيعني المرور وترك الشيء خلفه."
"Arabic B2+ Vocab 1","ما الكلمة المناسبة: ___ في الأمر طويلاً قبل أن يقرّر؟","تروّى","تسرّع","تراخى","ترنّح","تروّى يعني تأنّى وفكّر ملياً قبل اتّخاذ القرار."
"Arabic B2+ Vocab 1","ما معنى «استهجن»؟","استنكر وعاب","استحسن وأعجب","استغرب وتعجّب","استفسر وسأل","استهجن الأمر يعني رآه قبيحاً واستنكره."
"Arabic B2+ Vocab 1","ما الفعل المناسب: ___ مسؤولية كاملة عن الخطأ؟","تحمّل","حمل","شال","رفع","نقول «تحمّل المسؤولية» وليس «حمل المسؤولية» في السياق الاصطلاحي."
"Arabic B2+ Vocab 1","ما الفرق بين «ازدراء» و«احتقار»؟","ازدراء: استخفاف شديد، احتقار: رؤية الشيء حقيراً","ازدراء: إيجابي، احتقار: سلبي","كلاهما يعني الإعجاب بدرجات مختلفة","ازدراء: جسدي، احتقار: لفظي","كلاهما سلبي لكنّ الازدراء يتضمّن استخفافاً وسخرية أكثر."
"Arabic B2+ Vocab 1","ما الكلمة المناسبة: أجرى الباحث دراسة ___؟","مستفيضة","مستفيدة","مستفزّة","مستفسرة","نقول «دراسة مستفيضة» أي شاملة ومفصّلة."
"Arabic B2+ Vocab 1","ما معنى «تقاعس»؟","تكاسل وتأخّر عن العمل","تسارع ونشط","تقدّم وبادر","تنافس وسابق","التقاعس هو التأخّر والتكاسل عن أداء الواجب."
"Arabic B2+ Vocab 1","ما الفعل المناسب: ___ على نفسه ألّا يكرّر الخطأ؟","عاهد","وعد","سامح","حلف","نقول «عاهد نفسه» أي التزم التزاماً ذاتياً."
