"title","question","correct","wrong1","wrong2","wrong3","explanation"
"French B1+ Grammar 2","Ce projet de loi? Tout le monde s'___ oppose fermement.","y","en","le","lui","'s'opposer à' → 'y'; 's'en opposer' exigerait 'de' (inexistant); 'le' et 'lui' ne reprennent pas 'à'."
"French B1+ Grammar 2","Il tient beaucoup à cette bague. Il ___ tient comme à la prunelle de ses yeux.","y","en","la","lui","'tenir à qqch' → 'y'; 'en' exigerait 'de'; 'la' supprime la préposition; 'lui' suppose un COI humain."
"French B1+ Grammar 2","Les fantômes? Franchement, je n'___ crois pas du tout.","y","en","se","leur","'croire à qqch' → 'y'; 'en' exigerait 'de'; 'se crois' est un mauvais pronom réfléchi (1re pers. = 'me'); 'leur crois' ne reprend pas 'à'."
"French B1+ Grammar 2","Tu es déjà allé en Corse? — Non, je n'___ suis jamais allé.","y","en","le","lui","'en Corse' (lieu) → 'y'; les autres formes ne reprennent pas la préposition de lieu."
"French B1+ Grammar 2","Après des années d'effort, il a fini par ___ renoncer.","y","en","le","lui","'renoncer à qqch' → 'y'; 'en renoncer' exigerait 'de'; 'le renoncer' et 'lui renoncer' sont ungrammaticaux."
"French B1+ Grammar 2","Cette question est importante, ___ !","réfléchis-y","réfléchis-en","y-réfléchis","réfléchis-le","À l'impératif affirmatif, 'y' suit le verbe; 'réfléchis-en' change la préposition; 'y-réfléchis' inverse l'ordre; 'réfléchis-le' supprime 'à'."
"French B1+ Grammar 2","Le tournoi? Oui, j'___ participe chaque année.","y","en","le","lui","'participer à' → 'y'; 'en participe' exigerait 'de' (inexistant); 'le' et 'lui' ne reprennent pas 'à'."
"French B1+ Grammar 2","Ce voyage? Je m'___ souviens encore parfaitement.","en","y","le","lui","'se souvenir de qqch' → 'en'; 'y' reprendrait 'à'; 'le' et 'lui' ne reprennent pas 'de'."
"French B1+ Grammar 2","Ce vieux dictionnaire, je m'___ sers encore souvent.","en","y","le","lui","'se servir de' → 'en'; 'y' reprendrait 'à'; 'le' et 'lui' ne reprennent pas 'de'."
"French B1+ Grammar 2","Des amis fidèles, j'___ ai très peu.","en","y","les","leur","Avec une quantité, 'en' est obligatoire; 'y ai peu', 'les ai peu', 'leur ai peu' sont ungrammaticaux."
"French B1+ Grammar 2","Son divorce? Elle refuse d'___ parler.","en","eux","le","lui","'parler de qqch' → 'en'; 'd'eux parler' a un ordre impossible (le tonique ne se place pas avant l'infinitif); 'de le parler' et 'de lui parler' ne reprennent pas 'de'."
"French B1+ Grammar 2","Les araignées? Ma sœur ___ a une peur bleue.","en","y","les","leur","'avoir peur de' → 'en'; 'y' exigerait 'à' (inexistant avec 'avoir peur'); 'les a' et 'leur a' ne reprennent pas 'de'."
"French B1+ Grammar 2","Il reste du gâteau? Alors ___ encore un peu!","prends-en","prends-y","en-prends","prends-le-en","'en' postposé à l'impératif; 'prends-y' change la préposition; 'en-prends' inverse l'ordre; 'prends-le-en' combine deux objets incompatibles."
"French B1+ Grammar 2","Des excuses? Il n'___ a jamais présenté.","en","y","les","leur","'présenter des excuses' → 'en'; les autres formes ne reprennent pas le partitif."
"French B1+ Grammar 2","Il me rend le livre. Il ___ rend.","me le","le me","me lui","m'en le","COI (me) avant COD (le); 'le me' est un ordre impossible; 'me lui' combine deux COI; 'm'en le' combine trois pronoms."
"French B1+ Grammar 2","Cette nouvelle, je ___ ai annoncée hier.","la lui","lui la","l'y","la leur en","COD (la) avant COI (lui) à la 3e personne; 'lui la' inverse l'ordre; 'l'y' ne reprend pas un COI; 'la leur en' combine trois pronoms."
"French B1+ Grammar 2","Ce livre est pour Paul. ___ !","Donne-le-lui","Donne-lui-le","Lui-le-donne","Le-lui-donne","À l'impératif affirmatif: COD-COI avec traits d'union; les autres ordres sont impossibles."
"French B1+ Grammar 2","Ce secret, ne ___ dis pas!","le lui","lui le","le-lui","lui-le","À l'impératif négatif, ordre indicatif sans traits d'union; les autres inversent l'ordre ou ajoutent des traits d'union."
"French B1+ Grammar 2","Des conseils? Ma mère ___ donne toujours trop.","m'en","me en","en me","m'y","'me' + 'en' → 'm'en' avec élision; 'me en' sans élision obligatoire; 'en me' mauvais ordre; 'm'y' change la préposition."
"French B1+ Grammar 2","Ces nouvelles, je ne veux pas ___ parler maintenant.","lui en","en lui","le lui","lui y","COI (lui) + 'en'; 'en lui' est un ordre impossible; 'le lui' ne reprend pas 'de'; 'lui y' change la préposition."
"French B1+ Grammar 2","Des touristes au musée? Bien sûr qu'il ___ a toujours.","y en","en y","y les","les y","Ordre fixe: 'y' avant 'en'; 'en y' inverse l'ordre; 'y les' et 'les y' ne reprennent pas le partitif."
"French B1+ Grammar 2","Ces photos de vacances, je ___ montrerai demain.","te les","les te","te leur","te-les","COI (te) avant COD (les); 'les te' inverse l'ordre; 'te leur' combine deux COI; 'te-les' utilise un trait d'union hors impératif."
"French B1+ Grammar 2","Cette décision, nous ___ avons expliquée longuement.","la leur","leur la","les leur","la leurs","COD (la) + COI (leur, invariable); 'leur la' inverse l'ordre; 'les leur' mauvais accord; 'la leurs' accorde 'leur' (impossible)."
"French B1+ Grammar 2","Ce problème, ___ pas, je m'en occupe.","ne t'en fais","ne te en fais","ne t'y fais","ne en te fais","'se faire de' → 't'en' avec élision; 'te en' sans élision obligatoire; 't'y' change la préposition; 'en te' mauvais ordre."
"French B1+ Grammar 2","La lettre que j'___ la veille était déjà perdue.","avais écrite","avais écrit","ai écrite","avais écrire","Plus-que-parfait avec 'avoir': accord du participe avec le COD antéposé (la lettre, fém.); 'avais écrit' sans accord; 'ai écrite' est passé composé; 'avais écrire' garde l'infinitif."
"French B1+ Grammar 2","Les mains qu'elle ___ étaient encore sales.","s'était lavées","s'avait lavées","s'était lavé","s'étaient lavée","Pronominal + COD antéposé: accord avec 'les mains' (f.pl.); 's'avait' mauvais auxiliaire; 's'était lavé' sans accord; 's'étaient lavée' accord singulier avec sujet pluriel."
"French B1+ Grammar 2","Il ___ les valises avant de repartir.","avait descendu","était descendu","avait descendues","avais descendu","'descendre' transitif prend 'avoir' sans accord (COD postposé); 'était descendu' mauvais auxiliaire (transitif); 'avait descendues' accord injustifié; 'avais' mauvaise personne."
"French B1+ Grammar 2","Elle m'a avoué qu'elle ___ cette erreur depuis des années.","avait regretté","avait regrettée","a regretté","avait regretter","COD 'cette erreur' postposé → pas d'accord; 'avait regrettée' accord injustifié; 'a regretté' est passé composé; 'avait regretter' garde l'infinitif."
"French B1+ Grammar 2","Quand la police est arrivée, les voleurs ___ depuis longtemps.","étaient sortis","avaient sortis","étaient sortir","ont sortis","'sortir' intransitif avec 'être' + accord (m.pl.); 'avaient sortis' mauvais auxiliaire; 'étaient sortir' garde l'infinitif; 'ont sortis' mauvais auxiliaire et temps."
