"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Tegenwoordige tijd: ik werk","'Ik ___ elke dag.' Wat is correct?","werk","werkt","werken","werkd","Bij 'ik' gebruik je de stam: 'Ik werk.' Geen -t bij 'ik'."
"Tegenwoordige tijd: jij werkt","'Jij ___ op kantoor.' Wat is correct?","werkt","werk","werken","werkd","Bij 'jij' krijgt de stam een -t: 'Jij werkt.'"
"Tegenwoordige tijd: hij fietst","'Hij ___ naar school.' Wat is correct?","fietst","fietsen","fiets","fiest","Bij 'hij' krijgt de stam een -t: 'Hij fietst.' De stam van 'fietsen' is 'fiets'."
"Tegenwoordige tijd: wij wonen","'Wij ___ in Amsterdam.' Wat is correct?","wonen","woont","woon","wond","Bij 'wij' gebruik je het hele werkwoord: 'Wij wonen.'"
"Tegenwoordige tijd: zij (mv) lezen","'De kinderen ___ veel boeken.' Wat is correct?","lezen","leest","lees","lezt","Bij een meervoudig onderwerp gebruik je het hele werkwoord: 'De kinderen lezen.'"
"Tegenwoordige tijd: zij (enk) leest","'Mijn zus ___ de krant.' Wat is correct?","leest","lezen","lees","lezt","Bij een enkelvoudig onderwerp (hij/zij/het) krijgt de stam een -t: 'Mijn zus leest.'"
"Tegenwoordige tijd: jullie","'Jullie ___ goed Nederlands.' Wat is correct?","spreken","spreekt","spreek","sprekken","Bij 'jullie' gebruik je het hele werkwoord: 'Jullie spreken.'"
"Tegenwoordige tijd: u","'U ___ heel goed.' Wat is correct?","zingt","zingen","zing","zinged","Bij 'u' krijgt de stam een -t: 'U zingt.'"
"Inversie: jij zonder -t","'Morgen ___ jij naar school.' Wat is correct?","ga","gaat","gaan","ging","Als 'jij' achter het werkwoord staat, valt de -t weg: 'Ga jij?' en 'Morgen ga jij.'"
"Inversie: vraag met jij","'___ jij koffie?' Wat is correct?","Drink","Drinkt","Drinken","Drinkd","In een vraag staat 'jij' achter het werkwoord. Dan valt de -t weg: 'Drink jij?'"
"Zijn: ik","'Ik ___ moe.' Wat is correct?","ben","bent","zijn","is","Bij 'ik' gebruik je 'ben': 'Ik ben moe.'"
"Zijn: jij","'Jij ___ aardig.' Wat is correct?","bent","ben","is","zijn","Bij 'jij' gebruik je 'bent': 'Jij bent aardig.'"
"Zijn: hij/zij","'Hij ___ een student.' Wat is correct?","is","ben","bent","zijn","Bij 'hij/zij' gebruik je 'is': 'Hij is een student.'"
"Zijn: wij","'Wij ___ blij.' Wat is correct?","zijn","bent","is","ben","Bij 'wij' gebruik je 'zijn': 'Wij zijn blij.'"
"Zijn: inversie jij","'___ jij ziek?' Wat is correct?","Ben","Bent","Is","Zijn","In een vraag staat 'jij' achter het werkwoord. Dan wordt 'bent' weer 'ben': 'Ben jij?'"
"Hebben: ik","'Ik ___ een hond.' Wat is correct?","heb","hebt","heeft","hebben","Bij 'ik' gebruik je 'heb': 'Ik heb een hond.'"
"Hebben: jij","'Jij ___ twee katten.' Wat is correct?","hebt","heb","heeft","hebben","Bij 'jij' gebruik je 'hebt': 'Jij hebt twee katten.'"
"Hebben: zij (enk)","'Zij ___ een fiets.' Wat is correct?","heeft","heb","hebt","hebben","Bij 'zij' (enkelvoud) gebruik je 'heeft': 'Zij heeft een fiets.'"
"Hebben: wij","'Wij ___ veel vrienden.' Wat is correct?","hebben","heeft","hebt","heb","Bij 'wij' gebruik je 'hebben': 'Wij hebben veel vrienden.'"
"Hebben: inversie jij","'___ jij een auto?' Wat is correct?","Heb","Hebt","Heeft","Hebben","In een vraag staat 'jij' achter het werkwoord. Dan wordt 'hebt' weer 'heb': 'Heb jij?'"
"Woordvolgorde: SVO","Welke gewone zin (geen vraag) heeft de correcte volgorde?","De man leest een boek.","De man een boek leest.","Een boek de man leest.","Leest man de een boek.","In een gewone mededelende zin: Subject + Werkwoord + Object. 'De man leest een boek.'"
"Woordvolgorde: tijd vooraan","'Morgen ___ ik naar de markt.' Wat is correct?","ga","ik ga","gaan","ga ik","Als de zin begint met tijd, komt het werkwoord op plaats 2: 'Morgen ga ik.'"
"Woordvolgorde: vraagzin","Wat is de correcte vraag?","Spreek jij Nederlands?","Jij spreek Nederlands?","Spreekt jij Nederlands?","Nederlands jij spreek?","In een vraag: werkwoord op plaats 1, dan het subject. En 'jij' achter het werkwoord: geen -t."
"Woordvolgorde: plaats vooraan","'In Amsterdam ___ veel mensen.' Wat is correct?","wonen","woont","woon","wonen veel","Als de zin begint met een plaats, komt het werkwoord op plaats 2: 'In Amsterdam wonen veel mensen.'"
"Woordvolgorde: gewone zin","Welke gewone zin (geen vraag) is correct?","Ik drink water.","Ik water drink.","Water ik drink.","Drink water ik.","In een gewone mededelende zin: Subject + Werkwoord + Object. 'Ik drink water.'"
"De of het: boek","'___ boek is interessant.' Wat is correct?","Het","De","Een het","Die","'Boek' is een het-woord: 'het boek'."
"De of het: kat","'___ kat slaapt op de bank.' Wat is correct?","De","Het","Den","Dem","'Kat' is een de-woord: 'de kat'."
"De of het: huis","'Wij wonen in ___ huis.' Wat is correct?","het","de","den","die","'Huis' is een het-woord: 'het huis'."
"De of het: school","'___ school is groot.' Wat is correct?","De","Het","Den","Dem","'School' is een de-woord: 'de school'."
"De of het: kind","'___ kind speelt buiten.' Wat is correct?","Het","De","Den","Die","'Kind' is een het-woord: 'het kind'."
"De of het: meervoud","'___ kinderen spelen buiten.' Wat is correct?","De","Het","Den","Dem","In het meervoud gebruik je altijd 'de': 'de kinderen'."
"De of het: tafel","'___ tafel staat in de keuken.' Wat is correct?","De","Het","Den","Dem","'Tafel' is een de-woord: 'de tafel'."
"De of het: meisje","'___ meisje eet een appel.' Wat is correct?","Het","De","Den","Die","'Meisje' is een het-woord (verkleinwoord met -je): 'het meisje'."
"Meervoud: -s (tafel)","Wat is het meervoud van 'tafel'?","tafels","tafelen","tafeleren","tafeld","'Tafel' krijgt -s in het meervoud: 'tafels'. Woorden op -el, -em, -en, -er krijgen -s."
"Meervoud: -en (boek)","Wat is het meervoud van 'boek'?","boeken","boeks","boekeren","boekd","'Boek' krijgt -en in het meervoud: 'boeken'."
"Meervoud: -s","Wat is het meervoud van 'meisje'?","meisjes","meisjen","meisje's","meisjeen","Verkleinwoorden (woorden op -je) krijgen -s: 'meisjes'."
"Meervoud: -en (stoel)","Wat is het meervoud van 'stoel'?","stoelen","stoels","stoeld","stoeleren","'Stoel' krijgt -en in het meervoud: 'stoelen'."
"Meervoud: -s (broer)","Wat is het meervoud van 'broer'?","broers","broeren","broerden","broerd","'Broer' krijgt -s in het meervoud: 'broers'. Woorden op -er krijgen vaak -s."
"Meervoud: -en (dag)","Wat is het meervoud van 'dag'?","dagen","dags","daggen","dage","'Dag' krijgt -en in het meervoud: 'dagen'."
"Meervoud: -en (man)","Wat is het meervoud van 'man'?","mannen","mans","manden","mane","'Man' krijgt -nen in het meervoud: 'mannen' (dubbele n om de korte klank te houden)."
"Negatie: niet (positie)","'Ik ben ___ moe.' Wat is correct?","niet","geen","niks","niets","Gebruik 'niet' bij bijvoeglijke naamwoorden: 'Ik ben niet moe.'"
"Negatie: geen (zelfst. nw.)","'Ik heb ___ auto.' Wat is correct?","geen","niet","niks","niet een","Gebruik 'geen' voor onbepaalde zelfstandige naamwoorden: 'Ik heb geen auto.' (in plaats van 'niet een')"
"Tegenwoordige tijd: enkelvoud (tante)","'Mijn tante ___ niet in Utrecht.' Wat is correct?","woont","wonen","woon","woond","Enkelvoudig onderwerp + werkwoord met -t: 'Mijn tante woont niet in Utrecht.'"
"Negatie: geen (meervoud)","'Wij hebben ___ kinderen.' Wat is correct?","geen","niet","niks","niet de","Gebruik 'geen' voor zelfstandige naamwoorden zonder lidwoord: 'Wij hebben geen kinderen.'"
"Negatie: niet (bijwoord)","'Hij loopt ___ snel.' Wat is correct?","niet","geen","niks","niets","Gebruik 'niet' bij bijwoorden: 'Hij loopt niet snel.'"
"Negatie: geen vs niet","'Er is ___ melk.' Wat is correct?","geen","niet","niks","niet een","Gebruik 'geen' voor onbepaalde zelfstandige naamwoorden: 'Er is geen melk.'"
"Negatie: niet (einde zin)","'Ik weet het ___.' Wat is correct?","niet","geen","niks","niets niet","'Niet' staat vaak aan het einde van de zin: 'Ik weet het niet.'"
"Combinatie: zijn + negatie","'Wij ___ niet thuis.' Wat is correct?","zijn","bent","is","ben","Bij 'wij' gebruik je 'zijn': 'Wij zijn niet thuis.'"
"Combinatie: hebben + geen","'Hij ___ geen broers.' Wat is correct?","heeft","hebben","heb","hebt","Bij 'hij' gebruik je 'heeft': 'Hij heeft geen broers.'"
"Combinatie: werkwoord + artikel","'___ eten is lekker.' Wat is correct?","Het","De","Een het","Die","'Eten' als zelfstandig naamwoord is een het-woord: 'het eten'."
