"title","question","correct","wrong1","wrong2","wrong3","explanation"
"Opinion phrase: I think","Which phrase naturally introduces a personal opinion?","In my view","In my fact","In my knowledge","In my truth","'In my view' is a common B1 phrase for giving opinions. 'In my fact' and similar combinations are not natural English expressions."
"Opinion phrase: believe","'I ___ that everyone deserves a second chance.' Which form correctly expresses a personal opinion?","believe","believes","am believe","believing","'I believe' is the correct form with the subject 'I'. 'Believes' is third-person singular, 'am believe' mixes two verbs incorrectly, and 'believing' is the -ing form and cannot stand alone as a main verb here."
"Opinion phrase: as far as","'___ I'm concerned, the plan is a good one.' Complete the phrase.","As far as","As long as","As soon as","As well as","'As far as I'm concerned' means 'in my opinion.' 'As long as' means 'on the condition that,' 'as soon as' means 'immediately when,' and 'as well as' means 'in addition to.'"
"Opinion phrase: tend to","'I ___ think that city life is more stressful.' Which form correctly completes the phrase 'tend to'?","tend to","tends to","tending to","am tend to","'I tend to think' is the correct form. 'Tends to' has wrong subject-verb agreement with 'I', 'tending to' lacks an auxiliary, and 'am tend to' ungrammatically combines two main verbs."
"Opinion phrase: personally","'___, I prefer working from home.' Which is the correct adverb form to introduce your own opinion?","Personally","Personal","Personality","Personalness","'Personally' is the adverb used to mark a personal opinion. 'Personal' is an adjective and cannot open a sentence this way, 'personality' is a noun meaning character, and 'personalness' is not a standard English word."
"Opinion phrase: seems to me","'It ___ to me that we need more time.' Which form correctly completes the opinion phrase 'it seems to me'?","seems","seem","seeming","is seems","'It seems to me' is the standard opinion phrase. 'It seem' has wrong subject-verb agreement, 'it seeming' lacks a main verb, and 'it is seems' combines two verbs ungrammatically."
"Agreeing: absolutely","Which response shows strong agreement?","Absolutely!","Possibly!","Apparently!","Eventually!","'Absolutely' expresses strong agreement. 'Possibly' shows uncertainty, 'apparently' introduces reported information, and 'eventually' refers to time."
"Agreeing: couldn't agree more","'I ___ agree more.' Complete this phrase that means 'I totally agree.'","couldn't","wouldn't","shouldn't","didn't","'I couldn't agree more' is a fixed expression meaning 'I agree completely.' The other options do not form this standard phrase."
"Agreeing: good point","'That's a very good ___.' Which form completes the fixed expression used to acknowledge a strong argument?","point","points","pointing","to point","'That's a very good point' is the fixed expression. 'Points' cannot follow the singular article 'a', 'pointing' is the -ing form and doesn't work as a noun here, and 'to point' is an infinitive that cannot follow 'a very good'."
"Agreeing: exactly","Which word means 'I agree completely with what you just said'?","Exactly","Nearly","Frequently","Gradually","'Exactly' confirms full agreement with a statement. 'Nearly' means almost, 'frequently' means often, and 'gradually' means slowly over time."
"Disagreeing: I'm not sure","Which phrase is a polite way to disagree?","I'm not sure I agree","I don't care what you think","That's completely wrong","You obviously have no idea","'I'm not sure I agree' is a soft, polite way to express disagreement. The other options are rude or aggressively direct, making them inappropriate for polite conversation."
"Disagreeing: see your point but","'I ___ your point, but I think there's another way to look at it.' Which form correctly completes the fixed expression 'I see your point'?","see","sees","seeing","to see","'I see your point' is the fixed expression, where 'see' means 'understand'. 'Sees' is wrong agreement with 'I', 'seeing' lacks an auxiliary, and 'to see' is an infinitive that cannot be a main verb here."
"Disagreeing: I'm afraid","'___ I disagree.' Which phrase makes this disagreement sound more polite?","I'm afraid","I'm angry","I'm pleased","I'm happy","'I'm afraid' is used to soften bad news or disagreement. It doesn't mean you are scared — it's a politeness marker. The other options change the meaning entirely."
"Disagreeing: not necessarily","'That's ___ true.' Which phrase means 'not in every case' and is used to politely push back?","not necessarily","not never","not reportedly","not supposedly","'Not necessarily' means 'not always' or 'not in every case.' It's a measured way to partially disagree. 'Not never' is a double negative, and the other options are unnatural with 'true.'"
"Emotion: anxious","Someone who feels ___ is worried about something that might happen in the future.","anxious","furious","exhausted","bored","'Anxious' means worried or nervous about a future event. 'Furious' means very angry, 'exhausted' means very tired, and 'bored' means uninterested."
"Emotion: relieved","After hearing that her exam results were good, Maria felt ___.","relieved","frustrated","envious","ashamed","'Relieved' means feeling happy because something worrying didn't happen or turned out well. You feel relief when stress is removed."
"Emotion: frustrated","Tom tried to fix his computer for hours but nothing worked. He felt very ___.","frustrated","delighted","grateful","impressed","'Frustrated' describes the feeling when you cannot achieve something despite trying. It combines annoyance and helplessness."
"Emotion: delighted","'I was ___ to hear about your promotion!' Which emotion word means 'very happy'?","delighted","devastated","bewildered","irritated","'Delighted' means extremely happy or pleased. 'Devastated' means extremely upset, 'bewildered' means confused, and 'irritated' means slightly annoyed."
"Emotion: devastated","She was ___ when she heard the bad news. Which word means 'extremely upset'?","devastated","fascinated","amused","embarrassed","'Devastated' means feeling extreme sadness or shock. 'Fascinated' means very interested, 'amused' means entertained, and 'embarrassed' means feeling awkward."
"Emotion: overwhelmed","Having too many tasks at once can make you feel ___.","overwhelmed","underwhelmed","overjoyed","overrated","'Overwhelmed' means having too much to deal with emotionally or practically. 'Underwhelmed' means unimpressed, 'overjoyed' means extremely happy, and 'overrated' means valued too highly."
"Emotion: embarrassed","He felt ___ when he called his teacher 'mum' by accident.","embarrassed","terrified","exhausted","homesick","'Embarrassed' means feeling awkward or ashamed in a social situation. Calling your teacher 'mum' is a classic embarrassing moment."
"Emotion: grateful","'I'm so ___ for your help.' Which word means 'thankful'?","grateful","suspicious","curious","reluctant","'Grateful' means feeling or showing thanks. 'Suspicious' means distrustful, 'curious' means wanting to know, and 'reluctant' means unwilling."
"Emotion: envious","She felt ___ of her friend's new car. Which word means 'wanting what someone else has'?","envious","proud","content","sympathetic","'Envious' (or 'jealous') means wanting something that belongs to someone else. 'Proud' means pleased with achievements, 'content' means satisfied."
"Emotion: irritated","The noise from the construction site left him feeling ___.","irritated","thrilled","inspired","nostalgic","'Irritated' means mildly annoyed. Construction noise is a common cause of irritation. 'Thrilled' means very excited, 'inspired' means creatively motivated."
"Emotion: thrilled","'We were ___ when we found out we'd won the competition!' Which word means 'extremely excited and happy'?","thrilled","stunned","concerned","puzzled","'Thrilled' means extremely pleased and excited. 'Stunned' means shocked, 'concerned' means worried, and 'puzzled' means confused."
"Emotion: disappointed","The film wasn't as good as expected. I felt quite ___.","disappointed","astonished","terrified","fascinated","'Disappointed' means sad because something didn't meet your expectations. It's the feeling when reality falls short of what you hoped."
"Emotion: sympathetic","She was very ___ when I told her about my problems. She really understood.","sympathetic","sarcastic","indifferent","competitive","'Sympathetic' means showing understanding and care for someone's difficulties. 'Indifferent' means not caring, 'sarcastic' means mocking."
